# {"t_start": 1539261895.0980856, "env_id": "CartPole-v0"} 
r,l,t
24.0,24,0.870586
11.0,11,0.875498
20.0,20,0.88385
10.0,10,0.888132
55.0,55,0.910748
16.0,16,0.917272
17.0,17,0.924181
15.0,15,0.930253
30.0,30,0.942356
29.0,29,0.954235
10.0,10,0.958039
13.0,13,0.963102
25.0,25,0.974111
36.0,36,0.989364
17.0,17,0.996742
16.0,16,1.003328
17.0,17,1.010624
25.0,25,1.020913
43.0,43,1.038128
38.0,38,1.05277
34.0,34,1.065649
14.0,14,1.071201
34.0,34,1.084211
11.0,11,1.088753
12.0,12,1.093925
17.0,17,1.101063
15.0,15,1.107042
15.0,15,1.113144
17.0,17,1.120155
23.0,23,1.129267
32.0,32,1.143423
39.0,39,1.160971
14.0,14,1.16741
28.0,28,1.179463
12.0,12,1.184704
12.0,12,1.189849
20.0,20,1.197998
50.0,50,1.218871
43.0,43,1.237314
14.0,14,1.243589
29.0,29,1.256408
13.0,13,1.262064
24.0,24,1.272146
48.0,48,1.476926
20.0,20,1.485898
19.0,19,1.494069
15.0,15,1.501571
18.0,18,1.510956
11.0,11,1.516322
18.0,18,1.524054
36.0,36,1.538749
14.0,14,1.544419
11.0,11,1.549292
13.0,13,1.554695
40.0,40,1.569724
14.0,14,1.575339
30.0,30,1.587047
23.0,23,1.5962
32.0,32,1.608748
22.0,22,1.617308
21.0,21,1.625393
18.0,18,1.632894
18.0,18,1.639982
13.0,13,1.645269
11.0,11,1.650372
68.0,68,1.676975
13.0,13,1.682052
23.0,23,1.690561
34.0,34,1.703832
15.0,15,1.709556
32.0,32,1.721539
62.0,62,1.744201
26.0,26,1.754843
23.0,23,1.767397
27.0,27,1.780487
15.0,15,1.786548
34.0,34,1.799766
11.0,11,1.80449
13.0,13,1.809989
38.0,38,1.825256
25.0,25,1.835147
42.0,42,1.851623
41.0,41,1.867747
22.0,22,1.876441
10.0,10,1.88043
54.0,54,1.999892
82.0,82,2.038285
12.0,12,2.044032
9.0,9,2.048723
25.0,25,2.061683
18.0,18,2.070451
50.0,50,2.093178
36.0,36,2.109743
19.0,19,2.118272
11.0,11,2.123257
14.0,14,2.129627
22.0,22,2.139678
18.0,18,2.148142
20.0,20,2.157306
20.0,20,2.166405
27.0,27,2.178795
13.0,13,2.184769
41.0,41,2.203279
22.0,22,2.215105
23.0,23,2.228268
28.0,28,2.240452
19.0,19,2.248265
15.0,15,2.254476
15.0,15,2.260733
49.0,49,2.279915
25.0,25,2.289685
52.0,52,2.30999
26.0,26,2.320189
9.0,9,2.323771
11.0,11,2.328125
20.0,20,2.335962
29.0,29,2.347289
18.0,18,2.354486
9.0,9,2.357915
39.0,39,2.373409
15.0,15,2.379265
16.0,16,2.38541
77.0,77,2.415059
11.0,11,2.419315
40.0,40,2.520811
14.0,14,2.527432
10.0,10,2.532723
29.0,29,2.544432
122.0,122,2.590711
30.0,30,2.603616
45.0,45,2.623944
12.0,12,2.62904
16.0,16,2.635675
10.0,10,2.639876
12.0,12,2.644861
21.0,21,2.653373
16.0,16,2.660163
27.0,27,2.672494
25.0,25,2.683518
53.0,53,2.7074
23.0,23,2.717681
29.0,29,2.730397
20.0,20,2.739028
61.0,61,2.765938
70.0,70,2.797909
17.0,17,2.805224
35.0,35,2.820007
17.0,17,2.82739
29.0,29,2.838995
21.0,21,2.847713
14.0,14,2.853612
23.0,23,2.863614
44.0,44,2.882996
18.0,18,2.890683
9.0,9,2.894595
12.0,12,2.899585
9.0,9,2.903467
39.0,39,2.920024
32.0,32,2.933261
14.0,14,2.939559
15.0,15,2.946078
19.0,19,3.051894
44.0,44,3.072369
88.0,88,3.1153
19.0,19,3.123263
43.0,43,3.141441
13.0,13,3.14691
20.0,20,3.155065
9.0,9,3.158822
60.0,60,3.18377
43.0,43,3.201055
37.0,37,3.216229
44.0,44,3.23404
13.0,13,3.239563
21.0,21,3.248585
70.0,70,3.277282
31.0,31,3.290659
21.0,21,3.299626
31.0,31,3.312117
23.0,23,3.322063
