surrgain,EpisodesSoFar,entloss,EpThisIter,optimgain,TimestepsSoFar,TimeElapsed,ev_tdlam_before,meankl,entropy,EpLenMean,EpRewMean
0.0054009855,493,0.00059581414,5,0.0059967996,42825,23.282215118408203,-0.0006489753723144531,0.0008998327,0.5958141,190.6,190.6
0.0026226863,499,0.0006042505,6,0.0032269368,43991,23.904906511306763,-0.0006462335586547852,0.00056031556,0.6042505,191.4,191.4
0.0039642733,504,0.0006042364,5,0.0045685098,44991,24.410999298095703,-0.0005922317504882812,0.0008073084,0.60423636,192.55,192.55
0.0032099732,509,0.00060515833,5,0.0038151315,45931,24.94459891319275,-0.0006506443023681641,0.00073389045,0.6051583,194.4,194.4
0.0072463234,515,0.0005922869,6,0.007838611,46985,25.49384117126465,-0.0006830692291259766,0.0008190643,0.5922868,191.175,191.175
0.0045419144,520,0.0006085848,5,0.0051504993,47985,26.030590534210205,-0.0005966424942016602,0.00081993797,0.60858476,191.65,191.65
0.005309366,526,0.00058986427,6,0.0058992305,49078,26.589860677719116,-0.0005396604537963867,0.0005825401,0.58986425,190.3,190.3
0.005407075,532,0.0005812523,6,0.0059883273,50070,27.15950298309326,-0.0006030797958374023,0.0006523003,0.5812522,186.125,186.125
0.0053378846,538,0.00059298985,6,0.0059308745,51133,27.739271879196167,-0.0005494356155395508,0.000834467,0.5929898,183.55,183.55
0.006254186,543,0.0006039472,5,0.0068581332,52133,28.308323860168457,-0.000502467155456543,0.0009424403,0.60394716,183.55,183.55
0.0062496075,550,0.0005988075,7,0.006848415,53225,28.864975929260254,-0.0005056858062744141,0.0008057972,0.5988075,177.35,177.35
0.005710355,555,0.0005878852,5,0.0062982403,54128,29.425416707992554,-0.0005027055740356445,0.00077855575,0.5878852,178.575,178.575
0.0066617336,563,0.0005598587,8,0.007221592,55242,29.961628198623657,-0.0003299713134765625,0.00082602445,0.5598587,166.95,166.95
0.005384898,568,0.00059790496,5,0.0059828027,56176,30.51265788078308,-0.0004361867904663086,0.000548749,0.5979049,169.325,169.325
0.0053280387,576,0.00059570506,8,0.005923744,57332,31.016197204589844,-0.0003560781478881836,0.00070939667,0.59570503,163.825,163.825
0.0040732617,581,0.0005892278,5,0.0046624895,58283,31.536709547042847,-0.0004984140396118164,0.0007694722,0.5892278,163.75,163.75
0.0072535574,586,0.0005892035,5,0.0078427605,59260,32.11773085594177,-0.0004355907440185547,0.0009927305,0.5892035,163.275,163.275
0.005565487,592,0.0005846018,6,0.0061500887,60365,32.640042543411255,-0.0004363059997558594,0.00087848573,0.58460176,169.575,169.575
0.0072599845,597,0.0005849953,5,0.00784498,61307,33.177303314208984,-0.00043189525604248047,0.0008006552,0.58499527,170.625,170.625
0.0040600817,603,0.0005925633,6,0.004652645,62440,33.73137068748474,-0.0004731416702270508,0.00068719574,0.5925633,179.95,179.95
0.0046047606,608,0.0005814779,5,0.0051862383,63371,34.28676438331604,-0.00039708614349365234,0.0006512689,0.5814779,179.875,179.875
0.0034729652,614,0.0005998981,6,0.004072863,64512,34.85643982887268,-0.0004096031188964844,0.00071210915,0.5998981,189.125,189.125
0.0049022324,619,0.0005834565,5,0.005485689,65512,35.41576933860779,-0.00033783912658691406,0.0010233049,0.58345646,190.1,190.1
0.0054133045,624,0.0005855177,5,0.0059988224,66491,35.979377031326294,-0.00035321712493896484,0.00082097494,0.58551764,190.775,190.775
0.006603175,630,0.00058198476,6,0.0071851597,67578,36.53975701332092,-0.0003578662872314453,0.0008245687,0.58198476,189.25,189.25
0.0037998953,635,0.0005875396,5,0.004387435,68536,37.09946656227112,-0.0003952980041503906,0.0005065196,0.58753955,189.775,189.775
0.005023212,640,0.0005942339,5,0.0056174463,69521,37.63099932670593,-0.00031697750091552734,0.0006956325,0.5942339,191.425,191.425
0.0037102168,645,0.0005878436,5,0.00429806,70518,38.177958965301514,-0.0002671480178833008,0.00084831397,0.58784354,192.425,192.425
0.0055872137,650,0.00058069936,5,0.006167913,71494,38.76918268203735,-0.00028908252716064453,0.0008483847,0.5806993,193.075,193.075
0.0068014455,656,0.0005878296,6,0.0073892754,72648,39.34970688819885,-0.00031375885009765625,0.0007453006,0.5878296,193.4,193.4
0.0035039485,661,0.00056886615,5,0.0040728147,73646,39.895108222961426,-0.00025534629821777344,0.00067091105,0.56886613,193.35,193.35
0.0048027565,666,0.0005864984,5,0.005389255,74609,40.446988344192505,-0.00036454200744628906,0.0005550374,0.5864984,193.725,193.725
0.004211922,672,0.0005851622,6,0.0047970843,75770,41.03429889678955,-0.00020587444305419922,0.0008342168,0.58516216,195.425,195.425
0.0032051334,677,0.000576276,5,0.0037814095,76687,41.58091998100281,-0.0002751350402832031,0.00069407583,0.57627594,193.775,193.775
0.0049747163,682,0.0005761687,5,0.005550885,77661,42.10608649253845,-0.00022351741790771484,0.00065492484,0.57616866,193.575,193.575
0.0039946428,688,0.00058416446,6,0.0045788074,78817,42.69332766532898,-0.00022017955780029297,0.0007602887,0.58416444,193.075,193.075
0.0033936594,693,0.00059827545,5,0.003991935,79812,43.21024990081787,-0.00023651123046875,0.0006703624,0.5982754,193.125,193.125
0.0047580395,698,0.0005911325,5,0.005349172,80812,43.72931790351868,-0.00022172927856445312,0.0006457555,0.59113246,194.1,194.1
0.005123265,703,0.0005975087,5,0.0057207737,81755,44.321383476257324,-0.00022077560424804688,0.0009929563,0.59750867,193.65,193.65
0.0051585445,708,0.0005951855,5,0.00575373,82748,44.893919229507446,-0.00018548965454101562,0.0008157782,0.59518546,193.475,193.475
0.0052004065,714,0.0005766063,6,0.005777013,83885,45.40993905067444,-0.0002142190933227539,0.0006477954,0.5766063,193.725,193.725
0.0035516615,719,0.0005770936,5,0.004128755,84813,45.99434542655945,-0.00021159648895263672,0.00057556015,0.5770936,193.15,193.15
0.005437857,725,0.00057727663,6,0.0060151336,86007,46.57650804519653,-0.0002338886260986328,0.0008427702,0.5772766,193.65,193.65
0.003593254,730,0.0005864363,5,0.00417969,86942,47.12211203575134,-0.00025200843811035156,0.000507209,0.5864363,193.125,193.125
0.0040307646,735,0.00058901706,5,0.004619782,87884,47.68451690673828,-0.00016558170318603516,0.00067828974,0.58901703,191.8,191.8
0.004361179,741,0.0005966874,6,0.0049578664,89015,48.22011208534241,-0.00019657611846923828,0.0006117774,0.5966873,190.75,190.75
0.009825887,747,0.000585822,6,0.01041171,90051,48.81244778633118,-0.00023448467254638672,0.001060089,0.5858219,187.575,187.575
0.0043435087,753,0.0006016212,6,0.00494513,91102,49.36931538581848,-0.00020456314086914062,0.0008115448,0.6016212,185.425,185.425
0.00512024,759,0.00058761647,6,0.0057078567,92115,49.93456196784973,-0.00018703937530517578,0.0008029477,0.58761644,182.55,182.55
0.005722006,765,0.0005824387,6,0.0063044447,93107,50.507352352142334,-0.00015783309936523438,0.00081681303,0.5824387,177.5,177.5
0.0068881027,771,0.000587353,6,0.0074754558,94128,51.05613732337952,-0.0001850128173828125,0.0007857303,0.587353,174.65,174.65
0.0042287377,776,0.0005915405,5,0.004820278,95065,51.62036633491516,-0.00016236305236816406,0.00084711687,0.59154046,174.525,174.525
0.0065024663,782,0.0005710665,6,0.007073533,96136,52.193809509277344,-0.00014317035675048828,0.00070729444,0.5710665,173.625,173.625
0.00489197,788,0.0005946772,6,0.0054866476,97274,52.69598579406738,-0.00014007091522216797,0.00087756076,0.5946772,175.575,175.575
0.0073979655,793,0.00058209564,5,0.007980061,98186,53.198206186294556,-0.00013828277587890625,0.00079929736,0.5820956,177.1,177.1
0.0065411916,799,0.00057641475,6,0.0071176062,99307,53.75455331802368,-0.0001456737518310547,0.0007938909,0.5764147,179.8,179.8
0.0074858246,804,0.00058488065,5,0.008070705,100272,54.34470796585083,-0.0001246929168701172,0.0011688728,0.5848806,184.125,184.125
