# {"t_start": 1539259419.4601543, "env_id": "CartPole-v0"} 
r,l,t
25.0,25,4.77515
38.0,38,4.79041
130.0,130,4.840612
25.0,25,4.850418
40.0,40,4.868246
15.0,15,4.875095
10.0,10,4.879253
16.0,16,4.885534
46.0,46,4.903493
29.0,29,4.916266
9.0,9,4.919826
52.0,52,4.939941
18.0,18,4.946826
11.0,11,4.951376
32.0,32,4.963542
47.0,47,4.983799
23.0,23,4.993068
77.0,77,5.023126
36.0,36,5.040015
80.0,80,5.179708
39.0,39,5.19621
21.0,21,5.205152
16.0,16,5.21254
65.0,65,5.242491
26.0,26,5.255708
34.0,34,5.271893
20.0,20,5.282259
36.0,36,5.301265
29.0,29,5.316288
24.0,24,5.328494
34.0,34,5.346068
25.0,25,5.359687
35.0,35,5.376208
19.0,19,5.384936
13.0,13,5.390892
35.0,35,5.40653
37.0,37,5.423607
17.0,17,5.431916
21.0,21,5.442709
23.0,23,5.454439
36.0,36,5.47286
13.0,13,5.479049
17.0,17,5.48686
39.0,39,5.504586
15.0,15,5.512137
18.0,18,5.519903
13.0,13,5.525309
42.0,42,5.541296
67.0,67,5.566448
11.0,11,5.570668
98.0,98,5.607307
20.0,20,5.615375
21.0,21,5.623512
31.0,31,5.635927
14.0,14,5.724033
18.0,18,5.734034
25.0,25,5.744105
10.0,10,5.748165
86.0,86,5.782011
15.0,15,5.787997
22.0,22,5.796681
21.0,21,5.80499
33.0,33,5.817988
38.0,38,5.833236
26.0,26,5.843572
61.0,61,5.867616
32.0,32,5.880329
23.0,23,5.889472
37.0,37,5.904083
67.0,67,5.930432
83.0,83,5.963027
32.0,32,5.97573
61.0,61,5.999743
37.0,37,6.014333
18.0,18,6.021723
26.0,26,6.031996
12.0,12,6.036762
78.0,78,6.067396
38.0,38,6.082373
18.0,18,6.089507
57.0,57,6.11208
20.0,20,6.121031
80.0,80,6.258314
69.0,69,6.290939
54.0,54,6.316355
15.0,15,6.32305
11.0,11,6.327639
35.0,35,6.34133
69.0,69,6.368142
77.0,77,6.39851
19.0,19,6.405813
44.0,44,6.422409
20.0,20,6.43021
13.0,13,6.435477
85.0,85,6.473017
63.0,63,6.498734
18.0,18,6.505527
38.0,38,6.520157
46.0,46,6.538472
49.0,49,6.557924
84.0,84,6.592355
62.0,62,6.623032
22.0,22,6.632319
15.0,15,6.638121
69.0,69,6.755432
44.0,44,6.775423
20.0,20,6.784916
43.0,43,6.804816
62.0,62,6.834876
54.0,54,6.858616
27.0,27,6.871007
54.0,54,6.895619
17.0,17,6.903412
23.0,23,6.914085
13.0,13,6.920395
43.0,43,6.940344
55.0,55,6.965052
38.0,38,6.98222
63.0,63,7.007427
32.0,32,7.020124
21.0,21,7.028482
49.0,49,7.04788
23.0,23,7.057028
60.0,60,7.082517
58.0,58,7.111619
35.0,35,7.126285
46.0,46,7.144625
64.0,64,7.169563
22.0,22,7.178704
33.0,33,7.191562
41.0,41,7.29467
35.0,35,7.309026
17.0,17,7.315678
23.0,23,7.324302
17.0,17,7.330951
48.0,48,7.349233
24.0,24,7.358333
40.0,40,7.373319
36.0,36,7.387414
42.0,42,7.406284
72.0,72,7.437397
13.0,13,7.443269
70.0,70,7.471595
39.0,39,7.486121
55.0,55,7.506917
28.0,28,7.51752
69.0,69,7.543321
28.0,28,7.553873
10.0,10,7.557648
28.0,28,7.568028
54.0,54,7.594784
39.0,39,7.615195
75.0,75,7.653219
33.0,33,7.669732
54.0,54,7.696749
72.0,72,7.824721
15.0,15,7.831325
38.0,38,7.849103
54.0,54,7.876253
26.0,26,7.888876
63.0,63,7.921095
60.0,60,7.946243
15.0,15,7.951841
32.0,32,7.96408
34.0,34,7.976811
50.0,50,7.995361
50.0,50,8.014316
29.0,29,8.025542
32.0,32,8.037961
22.0,22,8.046729
117.0,117,8.100687
48.0,48,8.128729
77.0,77,8.162183
50.0,50,8.186881
55.0,55,8.20858
59.0,59,8.237035
32.0,32,8.250268
27.0,27,8.261819
18.0,18,8.269141
23.0,23,8.373188
20.0,20,8.38209
36.0,36,8.397406
71.0,71,8.425663
98.0,98,8.46841
41.0,41,8.485319
38.0,38,8.500232
22.0,22,8.508446
22.0,22,8.516963
87.0,87,8.552792
37.0,37,8.5683
82.0,82,8.600765
58.0,58,8.623928
33.0,33,8.637322
32.0,32,8.650253
92.0,92,8.689933
41.0,41,8.708788
78.0,78,8.740367
85.0,85,8.774377
39.0,39,8.881516
