entloss,entropy,EpRewMean,EpThisIter,TimestepsSoFar,TimeElapsed,surrgain,EpLenMean,meankl,ev_tdlam_before,EpisodesSoFar,optimgain
0.0,0.5587373,187.475,5,87994,46.07100319862366,0.0060178246,187.475,0.00070687884,-0.11266803741455078,984,0.0060178246
0.0,0.5338279,185.375,5,88910,46.62096953392029,0.004762563,185.375,0.00066156965,-0.026003003120422363,989,0.004762563
0.0,0.52973175,184.25,6,90044,47.17371702194214,0.0065385867,184.25,0.0006716571,-0.01839292049407959,995,0.0065385867
0.0,0.53330135,187.075,5,91001,47.679906368255615,0.0025031348,187.075,0.0007535459,0.07758241891860962,1000,0.0025031348
0.0,0.51813227,188.95,6,92086,48.2110595703125,0.0042334786,188.95,0.00067241315,0.054007112979888916,1006,0.0042334786
0.0,0.5299306,188.2,5,93036,48.74066495895386,0.0044026645,188.2,0.0007603132,0.10038560628890991,1011,0.0044026645
0.0,0.52349854,187.675,6,94164,49.25643825531006,0.002959215,187.675,0.0005797264,0.07962101697921753,1017,0.002959215
0.0,0.5364287,181.425,6,95051,49.78565764427185,0.0043737153,181.425,0.0006118222,0.02774941921234131,1023,0.0043737153
0.0,0.5216373,181.625,6,96175,50.30344557762146,0.00551014,181.625,0.0007169182,-0.09687626361846924,1029,0.00551014
0.0,0.544895,178.225,6,97173,50.834161043167114,0.0074538346,178.225,0.0008019805,-0.04974400997161865,1035,0.0074538346
0.0,0.51167953,174.75,7,98304,51.34758973121643,0.0066879257,174.75,0.00080332113,-0.18033301830291748,1042,0.0066879257
0.0,0.5322887,172.7,5,99185,51.85369086265564,0.007814504,172.7,0.0007207341,-0.2519580125808716,1047,0.007814504
0.0,0.48210812,169.55,6,100216,52.37278962135315,0.0036123344,169.55,0.0005772074,-0.1379152536392212,1053,0.0036123344
