fps,nupdates,explained_variance,policy_entropy,total_timesteps,value_loss
1072,3300,0.43303167819976807,0.6533086895942688,16500,0.3392399549484253
1072,3400,0.2558290362358093,0.692279040813446,17000,1.1619185209274292
1072,3500,0.0353432297706604,0.6860558390617371,17500,1.1565545797348022
1072,3600,-0.10308718681335449,0.6889858245849609,18000,1.1869986057281494
1071,3700,0.008942961692810059,0.6892212629318237,18500,1899.7220458984375
1071,3800,0.19560176134109497,0.6609183549880981,19000,0.8025373220443726
1071,3900,-0.0009334087371826172,0.6700178980827332,19500,0.7166570425033569
1071,4000,-0.039330244064331055,0.6920980215072632,20000,0.5584065318107605
1072,4100,-0.11245954036712646,0.6913266777992249,20500,0.527292788028717
1072,4200,0.5257932245731354,0.686742901802063,21000,0.04436061903834343
1072,4300,0.07359123229980469,0.685747504234314,21500,0.1046498566865921
1073,4400,0.5215983688831329,0.6913889646530151,22000,0.2419396936893463
1075,4500,-0.06254398822784424,0.6930825114250183,22500,0.25162559747695923
1075,4600,0.014077723026275635,0.6927668452262878,23000,0.09311769902706146
1075,4700,0.27579939365386963,0.6905929446220398,23500,0.17567196488380432
1075,4800,-0.08511698246002197,0.6812523603439331,24000,0.10818733274936676
1075,4900,-4.012280464172363,0.6883622407913208,24500,2.612976551055908
1075,5000,0.08033686876296997,0.6876868009567261,25000,0.07901899516582489
1075,5100,0.02048671245574951,0.6878140568733215,25500,4824.60986328125
1075,5200,0.25044548511505127,0.6886995434761047,26000,8086.9208984375
1075,5300,0.006266534328460693,0.6930901408195496,26500,1703.970703125
1075,5400,0.01688683032989502,0.6919946670532227,27000,0.03567862883210182
1075,5500,0.10140657424926758,0.6889113187789917,27500,0.004472648724913597
1075,5600,-0.13651633262634277,0.6927152872085571,28000,0.015899138525128365
1074,5700,-0.22584593296051025,0.6799043416976929,28500,8429.376953125
1075,5800,-95.17131805419922,0.692569375038147,29000,0.5658564567565918
1074,5900,0.05239063501358032,0.6842311024665833,29500,3447.92626953125
1074,6000,0.6921879649162292,0.6866456270217896,30000,8715.515625
1075,6100,-19.628128051757812,0.6897705793380737,30500,0.27108341455459595
1074,6200,0.005235195159912109,0.6700721979141235,31000,0.010161217302083969
1075,6300,0.030009746551513672,0.6863807439804077,31500,6942.8544921875
1075,6400,-98.9725570678711,0.6509774327278137,32000,0.38499635457992554
1075,6500,-1.4429354667663574,0.6928682327270508,32500,0.014343162067234516
1075,6600,-3.341792583465576,0.6856560707092285,33000,0.01059161126613617
1075,6700,0.049588561058044434,0.6751812696456909,33500,3434.854736328125
1076,6800,-107.47808837890625,0.683486819267273,34000,0.6978995203971863
1076,6900,-0.31163179874420166,0.6926307678222656,34500,0.4065023958683014
1076,7000,-14.876754760742188,0.6883033514022827,35000,0.26208823919296265
1077,7100,-12.793157577514648,0.6779451966285706,35500,0.04205029457807541
1077,7200,0.0852055549621582,0.6853287816047668,36000,1709.9769287109375
1077,7300,-0.22152924537658691,0.6929687261581421,36500,0.010462993755936623
1077,7400,-64.90538787841797,0.6927531957626343,37000,0.24560877680778503
1076,7500,-9.22419261932373,0.6734403371810913,37500,0.03960782662034035
1076,7600,0.045987069606781006,0.6849133372306824,38000,3476.057861328125
1076,7700,-8.147144317626953,0.6927880048751831,38500,0.0318879596889019
1077,7800,-0.5942343473434448,0.6930820345878601,39000,0.47709694504737854
1077,7900,-6.71205472946167,0.685181736946106,39500,0.4288865029811859
1077,8000,-6.563160419464111,0.687322735786438,40000,0.04495982825756073
1077,8100,-59.261104583740234,0.689049243927002,40500,0.13989797234535217
1076,8200,-2.8575830459594727,0.6927871108055115,41000,0.11069533973932266
1077,8300,-47.755615234375,0.6889837980270386,41500,0.23330390453338623
1077,8400,0.2586996555328369,0.6929319500923157,42000,0.017359916120767593
1077,8500,-4.080287456512451,0.6915601491928101,42500,1.3579471111297607
1077,8600,-41.050174713134766,0.6924687623977661,43000,0.17749935388565063
1078,8700,-38.339359283447266,0.6926842927932739,43500,1.826306939125061
1078,8800,-216.99171447753906,0.6736207604408264,44000,0.7860235571861267
1078,8900,-2.5023481845855713,0.6864674687385559,44500,0.019367437809705734
1078,9000,-3.066889762878418,0.6923292875289917,45000,0.011029805988073349
1078,9100,0.025095999240875244,0.6800851821899414,45500,3547.83837890625
1078,9200,-41.79817581176758,0.6910327076911926,46000,0.27509981393814087
1078,9300,-177.7746124267578,0.6067000031471252,46500,7.825730800628662
1078,9400,-179.33372497558594,0.664762020111084,47000,0.684197187423706
1078,9500,-74.00335693359375,0.6921122670173645,47500,0.461975634098053
1079,9600,0.05699962377548218,0.6734806299209595,48000,5064.2548828125
1078,9700,-66.64759826660156,0.6864930391311646,48500,0.1369607001543045
1079,9800,-6.7404584884643555,0.692368745803833,49000,0.01903555355966091
1079,9900,-200.87474060058594,0.6549827456474304,49500,1.2688305377960205
1078,10000,0.03639167547225952,0.6832244992256165,50000,3527.796142578125
