# {"t_start": 1539260638.1132956, "env_id": "CartPole-v0"} 
r,l,t
11.0,11,0.909605
12.0,12,0.9144
12.0,12,0.919018
17.0,17,0.92535
23.0,23,0.934161
10.0,10,0.937962
24.0,24,0.947007
11.0,11,0.951263
42.0,42,0.968276
15.0,15,0.974483
17.0,17,0.981001
33.0,33,0.994238
17.0,17,1.000779
11.0,11,1.005187
15.0,15,1.011232
35.0,35,1.024276
17.0,17,1.030715
16.0,16,1.036832
40.0,40,1.051612
40.0,40,1.06636
22.0,22,1.074465
14.0,14,1.079807
15.0,15,1.085569
15.0,15,1.091525
17.0,17,1.098841
26.0,26,1.110864
28.0,28,1.12274
48.0,48,1.148651
19.0,19,1.157832
33.0,33,1.172793
9.0,9,1.177082
44.0,44,1.195211
16.0,16,1.202221
37.0,37,1.217948
21.0,21,1.227724
24.0,24,1.237979
36.0,36,1.253306
17.0,17,1.260418
28.0,28,1.274137
15.0,15,1.281052
18.0,18,1.290254
23.0,23,1.302113
14.0,14,1.309129
16.0,16,1.317052
20.0,20,1.327163
21.0,21,1.337576
16.0,16,1.537546
13.0,13,1.544183
34.0,34,1.560304
24.0,24,1.57246
12.0,12,1.57875
21.0,21,1.589966
19.0,19,1.599055
22.0,22,1.609654
16.0,16,1.616097
25.0,25,1.626544
14.0,14,1.631937
9.0,9,1.63549
22.0,22,1.644105
35.0,35,1.6594
14.0,14,1.665231
76.0,76,1.694169
55.0,55,1.715677
19.0,19,1.723271
52.0,52,1.742873
10.0,10,1.747074
55.0,55,1.767789
23.0,23,1.777441
38.0,38,1.793338
23.0,23,1.802653
49.0,49,1.822735
45.0,45,1.840839
11.0,11,1.845536
12.0,12,1.850715
14.0,14,1.85644
22.0,22,1.865629
34.0,34,1.880131
13.0,13,1.885721
11.0,11,1.890486
25.0,25,1.901523
16.0,16,1.908524
25.0,25,1.919018
22.0,22,1.930116
16.0,16,1.937863
20.0,20,1.948097
14.0,14,1.955175
14.0,14,1.962085
55.0,55,2.082218
37.0,37,2.100995
53.0,53,2.123552
12.0,12,2.129342
27.0,27,2.143028
28.0,28,2.157499
36.0,36,2.175072
31.0,31,2.189416
25.0,25,2.202154
13.0,13,2.208599
14.0,14,2.215492
22.0,22,2.226354
36.0,36,2.244754
17.0,17,2.25356
23.0,23,2.265177
26.0,26,2.278195
12.0,12,2.284372
17.0,17,2.292791
20.0,20,2.302916
14.0,14,2.310187
107.0,107,2.365897
24.0,24,2.377874
38.0,38,2.395264
23.0,23,2.406958
25.0,25,2.417902
25.0,25,2.427604
14.0,14,2.433179
14.0,14,2.438599
20.0,20,2.446311
15.0,15,2.45222
14.0,14,2.457775
13.0,13,2.462862
39.0,39,2.478698
18.0,18,2.485612
25.0,25,2.495179
13.0,13,2.500225
42.0,42,2.516831
22.0,22,2.525297
30.0,30,2.537623
12.0,12,2.624087
13.0,13,2.630239
56.0,56,2.652794
23.0,23,2.662127
67.0,67,2.688612
32.0,32,2.701414
16.0,16,2.707802
85.0,85,2.746345
29.0,29,2.761088
24.0,24,2.772887
19.0,19,2.782232
21.0,21,2.792724
50.0,50,2.818062
25.0,25,2.830547
12.0,12,2.836837
16.0,16,2.844719
13.0,13,2.851115
86.0,86,2.891452
14.0,14,2.897185
43.0,43,2.914141
12.0,12,2.918973
18.0,18,2.926136
36.0,36,2.940497
29.0,29,2.952042
34.0,34,2.965592
19.0,19,2.973159
31.0,31,2.98548
78.0,78,3.016361
41.0,41,3.032574
36.0,36,3.04687
30.0,30,3.058843
30.0,30,3.156371
48.0,48,3.179363
68.0,68,3.213845
41.0,41,3.230395
36.0,36,3.244503
18.0,18,3.25224
18.0,18,3.259287
35.0,35,3.273003
128.0,128,3.320163
21.0,21,3.328446
23.0,23,3.337423
18.0,18,3.344732
46.0,46,3.363319
77.0,77,3.394588
26.0,26,3.404674
36.0,36,3.418467
17.0,17,3.424819
37.0,37,3.438571
33.0,33,3.451306
17.0,17,3.458086
36.0,36,3.471774
14.0,14,3.477429
60.0,60,3.500947
44.0,44,3.52279
30.0,30,3.537318
33.0,33,3.551759
93.0,93,3.679826
27.0,27,3.693972
19.0,19,3.703472
29.0,29,3.717728
42.0,42,3.738958
76.0,76,3.776983
19.0,19,3.786406
38.0,38,3.804525
53.0,53,3.831564
62.0,62,3.862665
25.0,25,3.875423
9.0,9,3.879426
40.0,40,3.895131
10.0,10,3.89911
24.0,24,3.908553
46.0,46,3.926589
13.0,13,3.931756
27.0,27,3.942585
26.0,26,3.952842
25.0,25,3.962711
9.0,9,3.966306
46.0,46,3.984381
19.0,19,3.991916
18.0,18,3.999097
48.0,48,4.018181
17.0,17,4.0251
27.0,27,4.035989
25.0,25,4.046044
22.0,22,4.054608
43.0,43,4.071732
12.0,12,4.07653
28.0,28,4.088102
126.0,126,4.225164
18.0,18,4.232201
57.0,57,4.254217
80.0,80,4.283841
25.0,25,4.293724
43.0,43,4.313201
29.0,29,4.328213
29.0,29,4.34303
60.0,60,4.373127
18.0,18,4.382091
21.0,21,4.391925
45.0,45,4.41261
19.0,19,4.421355
98.0,98,4.466038
19.0,19,4.47493
18.0,18,4.482214
23.0,23,4.491973
135.0,135,4.552601
85.0,85,4.590663
32.0,32,4.605283
63.0,63,4.634246
20.0,20,4.643069
132.0,132,4.801271
41.0,41,4.818704
115.0,115,4.866503
27.0,27,4.880052
157.0,157,4.937912
115.0,115,4.982745
29.0,29,4.993515
38.0,38,5.00766
15.0,15,5.013193
107.0,107,5.05238
69.0,69,5.078251
18.0,18,5.085038
39.0,39,5.099372
67.0,67,5.125846
13.0,13,5.131237
68.0,68,5.257318
34.0,34,5.273602
40.0,40,5.293358
51.0,51,5.318937
64.0,64,5.347803
39.0,39,5.365073
51.0,51,5.387874
37.0,37,5.403615
10.0,10,5.407643
11.0,11,5.412065
48.0,48,5.431144
71.0,71,5.45931
69.0,69,5.486643
15.0,15,5.492664
39.0,39,5.508142
63.0,63,5.533071
75.0,75,5.562894
108.0,108,5.605633
41.0,41,5.622488
40.0,40,5.638852
17.0,17,5.645489
37.0,37,5.66312
62.0,62,5.785978
21.0,21,5.796108
129.0,129,5.846039
43.0,43,5.862665
61.0,61,5.885362
50.0,50,5.904289
94.0,94,5.941577
85.0,85,5.975271
122.0,122,6.023398
61.0,61,6.047546
57.0,57,6.070106
55.0,55,6.091861
65.0,65,6.118178
102.0,102,6.159006
14.0,14,6.165456
15.0,15,6.172108
97.0,97,6.307665
90.0,90,6.348863
50.0,50,6.374014
189.0,189,6.457654
22.0,22,6.466201
200.0,200,6.541481
150.0,150,6.606572
23.0,23,6.61968
15.0,15,6.628236
44.0,44,6.646678
197.0,197,6.829265
173.0,173,6.916486
79.0,79,6.958851
65.0,65,6.991719
134.0,134,7.059274
126.0,126,7.121752
120.0,120,7.175768
23.0,23,7.186056
64.0,64,7.214973
158.0,158,7.299312
200.0,200,7.465279
200.0,200,7.542429
132.0,132,7.607741
75.0,75,7.645163
200.0,200,7.746022
135.0,135,7.814997
110.0,110,7.869863
152.0,152,8.040867
58.0,58,8.065299
59.0,59,8.089361
126.0,126,8.140476
179.0,179,8.214151
114.0,114,8.278061
97.0,97,8.332178
109.0,109,8.395361
200.0,200,8.577766
120.0,120,8.624172
200.0,200,8.709837
200.0,200,8.808573
77.0,77,8.843606
125.0,125,8.890428
163.0,163,8.952853
133.0,133,9.085291
141.0,141,9.146347
170.0,170,9.211922
117.0,117,9.256429
142.0,142,9.312478
190.0,190,9.387591
200.0,200,9.466104
200.0,200,9.642908
109.0,109,9.686353
140.0,140,9.744451
134.0,134,9.801891
136.0,136,9.860638
159.0,159,9.928704
178.0,178,10.002555
150.0,150,10.163673
167.0,167,10.231947
58.0,58,10.254958
164.0,164,10.319729
150.0,150,10.380054
161.0,161,10.444138
126.0,126,10.495271
199.0,199,10.666108
200.0,200,10.758307
186.0,186,10.829988
105.0,105,10.869669
167.0,167,10.943238
178.0,178,11.023
95.0,95,11.164425
200.0,200,11.257935
53.0,53,11.279094
61.0,61,11.302111
90.0,90,11.33651
49.0,49,11.355124
120.0,120,11.406296
143.0,143,11.47075
181.0,181,11.547761
179.0,179,11.71202
61.0,61,11.743108
145.0,145,11.817541
200.0,200,11.919009
72.0,72,11.956683
178.0,178,12.048243
177.0,177,12.125878
200.0,200,12.307989
96.0,96,12.351892
121.0,121,12.401645
200.0,200,12.479181
200.0,200,12.566869
189.0,189,12.648261
168.0,168,12.831895
146.0,146,12.887866
142.0,142,12.940851
187.0,187,13.017645
200.0,200,13.108792
132.0,132,13.165819
57.0,57,13.189437
151.0,151,13.34779
200.0,200,13.448282
200.0,200,13.549244
176.0,176,13.638065
150.0,150,13.696484
174.0,174,13.764832
122.0,122,13.905112
200.0,200,13.988985
200.0,200,14.063372
196.0,196,14.152381
200.0,200,14.253894
200.0,200,14.44965
200.0,200,14.525734
200.0,200,14.604074
178.0,178,14.692552
200.0,200,14.779453
195.0,195,14.852872
137.0,137,15.014197
185.0,185,15.10999
200.0,200,15.207881
109.0,109,15.255635
146.0,146,15.316233
175.0,175,15.393551
200.0,200,15.588462
164.0,164,15.656486
136.0,136,15.710394
83.0,83,15.748898
200.0,200,15.840398
139.0,139,15.910096
200.0,200,16.002631
183.0,183,16.167671
200.0,200,16.246937
182.0,182,16.318403
200.0,200,16.396815
200.0,200,16.476192
200.0,200,16.653792
169.0,169,16.730958
163.0,163,16.814679
200.0,200,16.901315
183.0,183,16.981717
135.0,135,17.046799
174.0,174,17.211832
126.0,126,17.261924
200.0,200,17.355037
200.0,200,17.455974
168.0,168,17.541312
200.0,200,17.721039
200.0,200,17.800936
200.0,200,17.899611
200.0,200,17.983082
163.0,163,18.043833
200.0,200,18.125498
157.0,157,18.295189
200.0,200,18.397103
112.0,112,18.452417
200.0,200,18.528166
200.0,200,18.606035
200.0,200,18.70438
200.0,200,18.88347
175.0,175,18.964556
167.0,167,19.049926
95.0,95,19.097677
200.0,200,19.195204
200.0,200,19.372489
187.0,187,19.44635
200.0,200,19.538252
200.0,200,19.634344
200.0,200,19.728477
200.0,200,19.808007
200.0,200,19.987683
200.0,200,20.078443
200.0,200,20.158281
200.0,200,20.240777
200.0,200,20.331217
200.0,200,20.497797
200.0,200,20.591521
187.0,187,20.679743
200.0,200,20.780667
200.0,200,20.876163
200.0,200,21.047581
200.0,200,21.148705
200.0,200,21.226516
200.0,200,21.306345
200.0,200,21.385789
200.0,200,21.56719
200.0,200,21.665421
200.0,200,21.740763
200.0,200,21.824159
160.0,160,21.904501
200.0,200,22.091101
200.0,200,22.190789
200.0,200,22.292074
200.0,200,22.392988
200.0,200,22.486042
200.0,200,22.568899
200.0,200,22.754749
200.0,200,22.831761
197.0,197,22.909372
200.0,200,22.999313
200.0,200,23.098053
200.0,200,23.281555
200.0,200,23.365046
200.0,200,23.447125
200.0,200,23.53799
200.0,200,23.616288
200.0,200,23.786247
200.0,200,23.876267
200.0,200,23.966222
200.0,200,24.055544
200.0,200,24.134081
200.0,200,24.305141
200.0,200,24.395651
200.0,200,24.471637
200.0,200,24.557363
200.0,200,24.647812
128.0,128,24.7996
200.0,200,24.893764
200.0,200,24.969303
200.0,200,25.050364
183.0,183,25.133776
196.0,196,25.213378
200.0,200,25.394568
200.0,200,25.495943
200.0,200,25.594567
200.0,200,25.700751
200.0,200,25.779778
153.0,153,25.940074
200.0,200,26.018522
200.0,200,26.103881
200.0,200,26.201893
200.0,200,26.290983
172.0,172,26.461715
148.0,148,26.522991
200.0,200,26.605496
159.0,159,26.672793
200.0,200,26.760388
200.0,200,26.842426
200.0,200,27.027584
181.0,181,27.111701
200.0,200,27.20029
144.0,144,27.262733
200.0,200,27.381017
200.0,200,27.587181
178.0,178,27.657537
200.0,200,27.738361
200.0,200,27.834141
200.0,200,27.935752
145.0,145,28.008236
200.0,200,28.190407
200.0,200,28.278907
200.0,200,28.37135
67.0,67,28.399569
200.0,200,28.479625
145.0,145,28.541961
200.0,200,28.7308
200.0,200,28.820151
200.0,200,28.910506
200.0,200,28.993296
184.0,184,29.075467
200.0,200,29.255481
200.0,200,29.334267
200.0,200,29.426177
200.0,200,29.526219
200.0,200,29.613631
200.0,200,29.809099
200.0,200,29.898023
200.0,200,29.993351
200.0,200,30.082617
200.0,200,30.189833
200.0,200,30.412937
200.0,200,30.500689
200.0,200,30.582
200.0,200,30.665545
200.0,200,30.756165
200.0,200,30.915367
200.0,200,30.992
200.0,200,31.072761
200.0,200,31.153351
200.0,200,31.257621
200.0,200,31.350683
200.0,200,31.541166
200.0,200,31.62458
200.0,200,31.700392
200.0,200,31.790177
200.0,200,31.881717
200.0,200,32.069134
200.0,200,32.14617
99.0,99,32.184385
200.0,200,32.266089
200.0,200,32.34555
200.0,200,32.504644
200.0,200,32.598014
200.0,200,32.699928
182.0,182,32.79204
200.0,200,32.878421
200.0,200,32.955644
200.0,200,33.128741
200.0,200,33.209222
200.0,200,33.288886
200.0,200,33.368131
200.0,200,33.447227
200.0,200,33.629298
200.0,200,33.71532
200.0,200,33.793377
200.0,200,33.873163
200.0,200,33.965539
136.0,136,34.105239
163.0,163,34.169432
200.0,200,34.248011
200.0,200,34.33204
200.0,200,34.432888
200.0,200,34.614748
200.0,200,34.701785
200.0,200,34.797391
200.0,200,34.873627
44.0,44,34.890661
200.0,200,34.977162
182.0,182,35.167355
200.0,200,35.270265
200.0,200,35.355105
200.0,200,35.436242
176.0,176,35.523921
200.0,200,35.622696
200.0,200,35.820923
200.0,200,35.922907
200.0,200,36.012577
200.0,200,36.09499
200.0,200,36.17401
200.0,200,36.344044
200.0,200,36.43982
200.0,200,36.516371
200.0,200,36.606496
200.0,200,36.704879
156.0,156,36.883275
200.0,200,36.962032
200.0,200,37.037163
172.0,172,37.111611
200.0,200,37.198089
170.0,170,37.36705
188.0,188,37.461795
200.0,200,37.562804
200.0,200,37.663917
200.0,200,37.745389
200.0,200,37.820162
195.0,195,38.00538
189.0,189,38.079725
200.0,200,38.158658
200.0,200,38.257807
200.0,200,38.360137
200.0,200,38.548053
200.0,200,38.622927
200.0,200,38.716173
200.0,200,38.807257
200.0,200,38.882835
191.0,191,39.055969
71.0,71,39.087573
200.0,200,39.183616
200.0,200,39.285565
200.0,200,39.36322
200.0,200,39.440627
200.0,200,39.630314
200.0,200,39.709108
200.0,200,39.803411
200.0,200,39.903765
200.0,200,39.999809
200.0,200,40.174198
200.0,200,40.253156
200.0,200,40.347891
200.0,200,40.441654
200.0,200,40.54109
200.0,200,40.738924
200.0,200,40.834753
200.0,200,40.934679
200.0,200,41.056401
200.0,200,41.145677
200.0,200,41.318915
186.0,186,41.406777
180.0,180,41.498019
200.0,200,41.612446
200.0,200,41.739649
200.0,200,41.960817
200.0,200,42.060568
200.0,200,42.146824
200.0,200,42.233843
200.0,200,42.323345
200.0,200,42.417126
