TimeElapsed,TimestepsSoFar,EpisodesSoFar,EpRewMean,ev_tdlam_before,EpLenMean,surrgain,meankl,entloss,EpThisIter,entropy,optimgain
40.401816844940186,75647,663,194.4,0.00046819448471069336,194.4,0.0031586874,0.0006615332,0.0,5,0.59070647,0.0031586874
41.061931848526,76613,668,195.3,0.0002893805503845215,195.3,0.0038753625,0.0008270629,0.0,5,0.5675132,0.0038753625
41.62367391586304,77813,674,195.7,-9.679794311523438e-05,195.7,0.005225757,0.0007693837,0.0,6,0.57309335,0.005225757
42.161521673202515,78813,679,195.7,-0.00015103816986083984,195.7,0.0036274698,0.0007248208,0.0,5,0.5868328,0.0036274698
42.732409954071045,79813,684,199.15,0.00018656253814697266,199.15,0.0046979142,0.000665612,0.0,5,0.57502246,0.0046979142
43.303383111953735,80777,689,198.25,0.0004920363426208496,198.25,0.00582023,0.00088760525,0.0,5,0.5848659,0.00582023
43.85351228713989,81777,694,198.25,-0.00025963783264160156,198.25,0.0037927,0.0008251574,0.0,5,0.57730037,0.0037927
44.37657284736633,82769,699,198.05,0.0001175999641418457,198.05,0.005794974,0.0009077381,0.0,5,0.58127993,0.005794974
44.91350340843201,83948,705,197.875,0.001024484634399414,197.875,0.006751757,0.0009515331,0.0,6,0.57878757,0.006751757
45.475207805633545,84948,710,198.375,0.0002262592315673828,198.375,0.002518115,0.0007811327,0.0,5,0.5916989,0.002518115
46.04071354866028,85936,715,198.075,0.0002090930938720703,198.075,0.0042658253,0.0006793279,0.0,5,0.5723134,0.0042658253
46.58137273788452,86893,720,197.0,-0.00011277198791503906,197.0,0.0052200546,0.0006963274,0.0,5,0.59082496,0.0052200546
47.153990507125854,88023,726,195.25,0.0006532073020935059,195.25,0.0049024206,0.00078828307,0.0,6,0.5930592,0.0049024206
47.707645893096924,89023,731,196.15,3.808736801147461e-05,196.15,0.0038466067,0.0007392033,0.0,5,0.5894041,0.0038466067
48.275853395462036,90023,736,196.15,0.00013679265975952148,196.15,0.0020484151,0.0004965086,0.0,5,0.587616,0.0020484151
48.84903287887573,90989,741,196.025,0.0006975531578063965,196.025,0.007305176,0.00079023436,0.0,5,0.5832721,0.007305176
49.3675274848938,92160,747,195.3,0.0005726218223571777,195.3,0.0041521816,0.000885854,0.0,6,0.5827082,0.0041521816
49.915990591049194,93160,752,195.3,-0.00018453598022460938,195.3,0.0037299301,0.0007193235,0.0,5,0.59052587,0.0037299301
50.446361780166626,94176,758,191.625,0.0005726218223571777,191.625,0.004506888,0.0007642122,0.0,6,0.5839514,0.004506888
50.99675726890564,95176,763,192.925,0.00020962953567504883,192.925,0.0055809747,0.0007389011,0.0,5,0.5830752,0.0055809747
51.571993827819824,96076,768,191.325,0.00043779611587524414,191.325,0.004897534,0.0007506859,0.0,5,0.5738532,0.004897534
52.11461639404297,97211,774,189.7,0.00018268823623657227,189.7,0.0043955417,0.00082468253,0.0,6,0.5812924,0.0043955417
52.691306352615356,98211,779,189.7,0.00030422210693359375,189.7,0.0035787197,0.00094906497,0.0,5,0.58784485,0.0035787197
53.229838848114014,99211,784,190.55,-7.49826431274414e-05,190.55,0.00487758,0.00063208013,0.0,5,0.5709473,0.00487758
53.78353953361511,100211,789,191.275,0.0003142356872558594,191.275,0.0032670782,0.00089763285,0.0,5,0.5803371,0.0032670782
