EpThisIter,TimestepsSoFar,meankl,optimgain,surrgain,EpLenMean,entloss,EpRewMean,EpisodesSoFar,ev_tdlam_before,TimeElapsed,entropy
6,68517,0.009509621,0.022953432,0.022953432,188.8,0.0,188.8,495,0.04695683717727661,36.39239192008972,0.5080128
5,69513,0.0076172156,0.018859385,0.018859385,190.7,0.0,190.7,500,0.2104109525680542,37.00519633293152,0.4902836
5,70513,0.0075410656,0.0092639,0.0092639,192.1,0.0,192.1,505,0.2605018615722656,37.52767992019653,0.4841385
5,71513,0.0072884504,0.016140852,0.016140852,194.725,0.0,194.725,510,0.23999333381652832,38.060600996017456,0.4769613
5,72513,0.0032606942,0.0074365432,0.0074365432,195.05,0.0,195.05,515,0.34302234649658203,38.65024757385254,0.4784743
6,73713,0.007740275,0.013010816,0.013010816,195.05,0.0,195.05,521,0.5916091501712799,39.19445610046387,0.49955368
5,74713,0.013755067,0.031864893,0.031864893,196.275,0.0,196.275,526,0.6848919987678528,39.71024036407471,0.49188942
5,75713,0.011678245,0.017201513,0.017201513,199.9,0.0,199.9,531,0.7355247735977173,40.29369831085205,0.51606596
5,76698,0.010479073,0.018214302,0.018214302,199.625,0.0,199.625,536,0.39151954650878906,40.79691243171692,0.536112
6,77761,0.008119691,0.014118995,0.014118995,196.2,0.0,196.2,542,0.8403516560792923,41.29439687728882,0.52527314
5,78728,0.011633534,0.016590793,0.016590793,195.375,0.0,195.375,547,0.8101810365915298,41.88620710372925,0.5307374
5,79716,0.0085492525,0.01583885,0.01583885,195.075,0.0,195.075,552,0.800028994679451,42.45223093032837,0.53677535
5,80716,0.009163236,0.018252404,0.018252404,195.075,0.0,195.075,557,0.8309575319290161,42.98628640174866,0.521023
6,81916,0.008417506,0.015212299,0.015212299,195.075,0.0,195.075,563,0.5560279786586761,43.49090933799744,0.5118846
5,82916,0.010344306,0.021093644,0.021093644,195.075,0.0,195.075,568,0.9119299203157425,44.00524306297302,0.51064026
5,83916,0.009812176,0.020791996,0.020791996,195.075,0.0,195.075,573,0.6043625771999359,44.53335404396057,0.5155758
5,84916,0.011715051,0.017596534,0.017596534,196.4,0.0,196.4,578,0.7727443426847458,45.09785437583923,0.4994306
5,85890,0.0071536805,0.02117296,0.02117296,198.225,0.0,198.225,583,0.7912692725658417,45.652591705322266,0.5173105
5,86890,0.009000652,0.018032035,0.018032035,199.05,0.0,199.05,588,0.8846559748053551,46.182891607284546,0.5314115
5,87890,0.007209323,0.0103408955,0.0103408955,199.35,0.0,199.35,593,0.7379515171051025,46.74046325683594,0.5308654
6,88899,0.009172667,0.021755384,0.021755384,194.575,0.0,194.575,599,0.6509965062141418,47.305776596069336,0.51382595
6,90086,0.009751292,0.015723884,0.015723884,194.25,0.0,194.25,605,0.7526853829622269,47.8332724571228,0.49959284
5,91086,0.012487724,0.017030735,0.017030735,194.25,0.0,194.25,610,0.8426755517721176,48.38789749145508,0.48318046
5,92012,0.008722479,0.024599344,0.024599344,192.4,0.0,192.4,615,0.8426524996757507,48.97332549095154,0.49018723
5,93012,0.007380303,0.012919597,0.012919597,192.4,0.0,192.4,620,0.8723850548267365,49.52460265159607,0.49269468
6,94027,0.009363449,0.03035726,0.03035726,188.425,0.0,188.425,626,0.5427471995353699,50.101441621780396,0.44889003
6,95227,0.007257287,0.01738047,0.01738047,188.425,0.0,188.425,632,0.854992151260376,50.692978620529175,0.47459903
5,96227,0.009377898,0.0134709235,0.0134709235,193.1,0.0,193.1,637,0.8256790488958359,51.21325063705444,0.5080192
5,97179,0.00876667,0.031259403,0.031259403,192.325,0.0,192.325,642,0.7339887917041779,51.74849605560303,0.48291683
5,98179,0.013269152,0.019523457,0.019523457,192.325,0.0,192.325,647,0.7425795793533325,52.25823640823364,0.4697685
5,99179,0.011075383,0.01816333,0.01816333,193.15,0.0,193.15,652,0.8806489259004593,52.784382343292236,0.46828556
5,100179,0.0060217325,0.008131612,0.008131612,194.175,0.0,194.175,657,0.7310964465141296,53.308403730392456,0.47452262
