entropy,EpLenMean,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl,ev_tdlam_before,entloss,TimeElapsed,optimgain,EpThisIter,surrgain
0.42570662,173.9,742,89062,173.9,0.04727476,0.46961700916290283,0.0,48.66381502151489,0.028852062,5,0.028852062
0.45207763,167.775,748,90012,167.775,0.019914834,0.48416948318481445,0.0,49.25432085990906,0.0371883,6,0.0371883
0.43108118,173.075,753,91012,173.075,0.047193773,0.4524652361869812,0.0,49.85383319854736,0.027336644,5,0.027336644
0.47186276,173.075,758,92012,173.075,0.06241402,0.4237445592880249,0.0,50.42508387565613,0.049321666,5,0.049321666
0.40632302,179.2,763,93012,179.2,0.06901986,0.4013567566871643,0.0,51.000813484191895,0.01562741,5,0.01562741
0.410438,179.725,769,94197,179.725,0.015377156,0.3968775272369385,0.0,51.594033002853394,0.029271806,6,0.029271806
0.39729965,188.0,774,95197,188.0,0.07231441,0.5289462506771088,0.0,52.162182331085205,0.024551475,5,0.024551475
0.38308504,193.375,779,96197,193.375,0.023347476,0.18521684408187866,0.0,52.73030996322632,0.016571026,5,0.016571026
0.40994415,194.375,784,97197,194.375,0.027317721,0.15422898530960083,0.0,53.29792928695679,0.018994289,5,0.018994289
0.4383472,199.625,789,98197,199.625,0.060692605,0.1740010380744934,0.0,53.89159345626831,0.032599647,5,0.032599647
0.35806262,192.45,796,99310,192.45,0.07188696,0.08937793970108032,0.0,54.443114280700684,0.023973487,7,0.023973487
0.4410261,173.325,805,100345,173.325,0.037148677,-0.2279510498046875,0.0,55.023108959198,0.025574751,9,0.025574751
