entloss,EpLenMean,meankl,EpThisIter,optimgain,entropy,TimestepsSoFar,EpRewMean,TimeElapsed,surrgain,EpisodesSoFar,ev_tdlam_before
0.0,187.275,0.00057551777,6,0.0033099053,0.5930405,44011,187.275,23.357568740844727,0.0033099053,491,-5.316734313964844e-05
0.0,190.725,0.0007805377,5,0.0030929074,0.5862589,44942,190.725,23.90151023864746,0.0030929074,496,-3.4689903259277344e-05
0.0,191.675,0.00056617265,5,0.0039455798,0.5952507,45915,191.675,24.400668382644653,0.0039455798,501,-3.5881996154785156e-05
0.0,193.725,0.0006995177,6,0.003562665,0.5796,47021,193.725,24.955981254577637,0.003562665,507,-4.4465065002441406e-05
0.0,189.425,0.00092966645,6,0.0064615635,0.58865553,48049,189.425,25.499083518981934,0.0064615635,513,-7.617473602294922e-05
0.0,189.975,0.0005318124,5,0.003908427,0.5961016,49049,189.975,25.99625515937805,0.003908427,518,-3.790855407714844e-05
0.0,189.975,0.0007659667,5,0.003712016,0.5903312,50049,189.975,26.558347463607788,0.003712016,523,-3.5881996154785156e-05
0.0,190.95,0.0007853722,5,0.004315161,0.5957699,51049,190.95,27.092979907989502,0.004315161,528,-3.921985626220703e-05
0.0,190.95,0.0008319035,5,0.0042423983,0.5923289,52049,190.95,27.605412244796753,0.0042423983,533,-8.225440979003906e-06
0.0,190.15,0.0008231108,6,0.0044300016,0.59997034,53148,190.15,28.148208379745483,0.0044300016,539,1.3113021850585938e-06
0.0,191.025,0.0009440293,5,0.0022366138,0.5893011,54148,191.025,28.66746425628662,0.0022366138,544,2.9802322387695312e-06
0.0,193.575,0.00067896047,6,0.0051704794,0.5885109,55289,193.575,29.187144994735718,0.0051704794,550,-1.8477439880371094e-05
0.0,196.0,0.0006876192,5,0.0037933034,0.57271636,56289,196.0,29.754640817642212,0.0037933034,555,1.5914440155029297e-05
0.0,193.95,0.0006838697,5,0.0036400517,0.5766417,57207,193.95,30.26189422607422,0.0036400517,560,1.71661376953125e-05
0.0,193.95,0.0006549477,5,0.002815247,0.59518546,58207,193.95,30.752657175064087,0.002815247,565,5.543231964111328e-06
0.0,193.95,0.00070664065,5,0.0018999998,0.58622956,59207,193.95,31.309107780456543,0.0018999998,570,8.344650268554688e-07
0.0,193.325,0.0009214771,6,0.0055535324,0.5787959,60281,193.325,31.815460443496704,0.0055535324,576,8.344650268554688e-07
0.0,193.325,0.00096746476,5,0.0037982075,0.57490945,61281,193.325,32.35285139083862,0.0037982075,581,2.8014183044433594e-06
0.0,193.325,0.000760049,5,0.0049627377,0.5838669,62271,193.325,32.87393617630005,0.0049627377,586,-7.748603820800781e-06
0.0,191.0,0.0006618069,6,0.0037583557,0.60567755,63329,191.0,33.35285496711731,0.0037583557,592,8.58306884765625e-06
0.0,189.3,0.00066629855,6,0.004924495,0.5727408,64379,189.3,33.90116906166077,0.004924495,598,-9.5367431640625e-06
0.0,187.975,0.00063255924,6,0.0028674928,0.5765634,65526,187.975,34.43721127510071,0.0028674928,604,-4.0531158447265625e-06
0.0,187.975,0.0008075849,5,0.003258053,0.5815089,66526,187.975,34.94710445404053,0.003258053,609,6.020069122314453e-06
0.0,187.975,0.0008325516,5,0.002052825,0.5701878,67526,187.975,35.47701454162598,0.002052825,614,7.867813110351562e-06
0.0,191.125,0.0007970955,5,0.003395706,0.5891891,68526,191.125,36.002939224243164,0.003395706,619,-5.960464477539062e-07
0.0,191.125,0.0007180957,5,0.003711195,0.58773917,69526,191.125,36.50338101387024,0.003711195,624,1.9073486328125e-06
0.0,194.175,0.0006252628,5,0.0029147866,0.57528245,70496,194.175,37.02970600128174,0.0029147866,629,1.5854835510253906e-05
