entropy,ev_tdlam_before,EpRewMean,optimgain,surrgain,TimestepsSoFar,EpLenMean,TimeElapsed,EpThisIter,entloss,meankl,EpisodesSoFar
0.5857498,0.8019746541976929,192.75,0.0034495897,0.0034495897,44967,192.75,29.326446056365967,6,0.0,0.000567598,502
0.6017151,0.27976930141448975,193.225,0.0034169895,0.0034169895,45964,193.225,29.983829498291016,5,0.0,0.0007377836,507
0.5824523,0.45301342010498047,192.0,0.006763826,0.006763826,47100,192.0,30.64503026008606,6,0.0,0.0007012257,513
0.5914948,0.5798977613449097,191.4,0.0028518096,0.0028518096,48054,191.4,31.34548568725586,5,0.0,0.00081209786,518
0.5826889,0.13180196285247803,186.025,0.005358372,0.005358372,49039,186.025,32.00058698654175,6,0.0,0.0007752059,524
0.5982859,0.31941962242126465,188.25,0.002546981,0.002546981,50039,188.25,32.64133834838867,5,0.0,0.00062480464,529
0.60789657,0.8547633141279221,188.15,0.0024536191,0.0024536191,51010,188.15,33.299416065216064,5,0.0,0.0006896944,534
0.6052985,0.715314120054245,187.425,0.0025560276,0.0025560276,52122,187.425,33.99785137176514,6,0.0,0.00080344104,540
0.61589,0.8492876589298248,185.775,0.00278676,0.00278676,53195,185.775,34.68134355545044,6,0.0,0.00082001206,546
0.5937101,0.6945409774780273,183.775,0.005861586,0.005861586,54251,183.775,35.36401987075806,6,0.0,0.00081863446,552
0.5692338,0.29047131538391113,184.325,0.0054263277,0.0054263277,55251,184.325,36.046377420425415,5,0.0,0.0006891972,557
0.5830463,0.5031746327877045,185.875,0.0023009386,0.0023009386,56236,185.875,36.7166690826416,5,0.0,0.0005552224,562
0.59492075,0.7241432368755341,189.875,0.0070635793,0.0070635793,57234,189.875,37.38808274269104,5,0.0,0.00077773666,567
0.5861509,0.4338383674621582,190.6,0.003176358,0.003176358,58234,190.6,38.07690787315369,5,0.0,0.00075224426,572
0.5861554,0.6602953374385834,191.6,0.0037936096,0.0037936096,59234,191.6,38.794201135635376,5,0.0,0.0008474842,577
0.58272004,0.33209770917892456,193.6,0.0057469243,0.0057469243,60402,193.6,39.48470091819763,6,0.0,0.0008293262,583
0.58831656,0.1852799654006958,195.45,0.0047000838,0.0047000838,61402,195.45,40.10914468765259,5,0.0,0.0008044896,588
0.5895901,0.3856077790260315,198.775,0.002615882,0.002615882,62402,198.775,40.72360610961914,5,0.0,0.00060494454,593
0.5776891,0.3208443522453308,199.15,0.00422425,0.00422425,63402,199.15,41.38600039482117,5,0.0,0.00075039925,598
0.5634849,0.14539414644241333,196.2,0.0049523683,0.0049523683,64484,196.2,42.01996159553528,6,0.0,0.00094160775,604
0.5508115,0.42434900999069214,192.15,0.0063054482,0.0063054482,65520,192.15,42.67892503738403,6,0.0,0.00067720923,610
0.57063913,0.31961727142333984,192.15,0.003643707,0.003643707,66520,192.15,43.35187792778015,5,0.0,0.0006553094,615
0.5610227,0.48265528678894043,192.15,0.0034503564,0.0034503564,67520,192.15,44.01410436630249,5,0.0,0.00061801984,620
0.5759878,0.47740644216537476,192.95,0.0045752125,0.0045752125,68520,192.95,44.678155183792114,5,0.0,0.0008936556,625
0.5610783,0.8064644634723663,192.95,0.0042777336,0.0042777336,69520,192.95,45.34143877029419,5,0.0,0.00095086894,630
0.58048,0.21067780256271362,192.95,0.0035773516,0.0035773516,70520,192.95,46.007465839385986,5,0.0,0.0008057566,635
0.5642688,0.5155624449253082,192.95,0.0039670044,0.0039670044,71520,192.95,46.650049448013306,5,0.0,0.00069123425,640
0.5613482,0.351823627948761,195.9,0.004839761,0.004839761,72520,195.9,47.3320996761322,5,0.0,0.0007826976,645
0.56997204,0.3311001658439636,200.0,0.006591426,0.006591426,73720,200.0,47.98190951347351,6,0.0,0.0009610219,651
0.57245684,0.8384852856397629,200.0,0.005173632,0.005173632,74720,200.0,48.64202332496643,5,0.0,0.00084437337,656
0.5630075,0.838874951004982,198.625,0.0031942294,0.0031942294,75665,198.625,49.316025495529175,5,0.0,0.00071909546,661
0.5741805,0.7591762691736221,198.625,0.008193969,0.008193969,76665,198.625,50.023526668548584,5,0.0,0.0009359919,666
0.5802171,0.4616732597351074,197.525,0.005931554,0.005931554,77821,197.525,50.68198895454407,6,0.0,0.0010206888,672
0.5652729,0.48751533031463623,194.325,0.0068054604,0.0068054604,78693,194.325,51.38685488700867,5,0.0,0.00065293047,677
0.57138443,0.7296648919582367,194.325,0.009227466,0.009227466,79693,194.325,52.02567458152771,5,0.0,0.0010505401,682
0.57641214,0.5426173210144043,194.325,0.0017999881,0.0017999881,80893,194.325,52.65332627296448,6,0.0,0.0006257726,688
0.56829685,0.24803251028060913,194.325,0.0038968585,0.0038968585,81893,194.325,53.366286277770996,5,0.0,0.00079566153,693
0.5638921,0.566312164068222,194.325,0.0040151044,0.0040151044,82893,194.325,54.01118326187134,5,0.0,0.00073652854,698
0.5602343,0.8050717413425446,195.7,0.004121169,0.004121169,83893,195.7,54.69752383232117,5,0.0,0.00067327695,703
0.5745019,0.34669065475463867,196.8,0.003256553,0.003256553,84893,196.8,55.34762263298035,5,0.0,0.00074267766,708
0.56491506,0.35148340463638306,196.8,0.005750063,0.005750063,85893,196.8,56.017661333084106,5,0.0,0.0008857901,713
0.5550698,0.32398247718811035,200.0,0.0040645166,0.0040645166,86893,200.0,56.6634681224823,5,0.0,0.00075197883,718
0.5732205,0.3170928359031677,200.0,0.0023644892,0.0023644892,87893,200.0,57.33847188949585,5,0.0,0.0008916303,723
0.56538105,0.36602872610092163,200.0,0.0029811105,0.0029811105,88893,200.0,58.01927638053894,5,0.0,0.0006586991,728
0.55768853,0.5105683207511902,200.0,0.004175144,0.004175144,90093,200.0,58.7153046131134,6,0.0,0.0007244786,734
0.5574559,0.701361894607544,200.0,0.003366204,0.003366204,91093,200.0,59.41157293319702,5,0.0,0.00071422267,739
0.5722203,0.24574005603790283,200.0,0.0044486877,0.0044486877,92093,200.0,60.06007742881775,5,0.0,0.00089518033,744
0.55283517,0.2368677854537964,200.0,0.0035573007,0.0035573007,93093,200.0,60.75288534164429,5,0.0,0.0006909138,749
0.5636113,0.2573264241218567,200.0,0.0036449428,0.0036449428,94093,200.0,61.41575217247009,5,0.0,0.0007226959,754
0.5856745,0.3978835344314575,200.0,0.0028350474,0.0028350474,95093,200.0,62.06440472602844,5,0.0,0.0008853484,759
0.5591134,0.5616482794284821,200.0,0.0031778659,0.0031778659,96093,200.0,62.72877645492554,5,0.0,0.00079695415,764
0.5693301,0.2790508270263672,200.0,0.002595098,0.002595098,97093,200.0,63.40733742713928,5,0.0,0.000547966,769
0.5618557,0.34312868118286133,200.0,0.004208688,0.004208688,98293,200.0,64.06410050392151,6,0.0,0.0010727479,775
0.5586138,0.45890694856643677,200.0,0.0042326944,0.0042326944,99293,200.0,64.75659823417664,5,0.0,0.00100547,780
0.5444068,0.009334027767181396,200.0,0.0037540314,0.0037540314,100293,200.0,65.43002414703369,5,0.0,0.00074917317,785
