TimeElapsed,surrgain,EpThisIter,TimestepsSoFar,meankl,entropy,EpisodesSoFar,optimgain,ev_tdlam_before,EpRewMean,entloss,EpLenMean
29.622255086898804,0.005297942,5,55204,0.00092521735,0.58694035,555,0.005297942,0.0015586614608764648,186.025,0.0,186.025
30.143718719482422,0.0013888604,5,56204,0.00026760297,0.5955659,560,0.0013888604,0.0022432804107666016,187.825,0.0,187.825
30.705008268356323,0.004294979,5,57204,0.00093277456,0.58845264,565,0.004294979,-0.005629897117614746,188.125,0.0,188.125
31.289926052093506,0.0036451642,5,58192,0.0005666291,0.573421,570,0.0036451642,0.019786834716796875,187.925,0.0,187.925
31.84658408164978,0.0041428464,6,59360,0.00077381555,0.5871585,576,0.0041428464,0.00397723913192749,190.525,0.0,190.525
32.4038827419281,0.007637499,5,60248,0.0010308863,0.57699347,581,0.007637499,0.015801846981048584,189.0,0.0,189.0
32.90799427032471,0.004548973,5,61248,0.0007123173,0.58281714,586,0.004548973,0.022125720977783203,196.1,0.0,196.1
33.432363510131836,0.004663797,6,62408,0.00074472174,0.5696901,592,0.004663797,0.011086106300354004,195.1,0.0,195.1
33.96301198005676,0.0071215946,5,63404,0.0011599273,0.5731641,597,0.0071215946,0.013415694236755371,195.0,0.0,195.0
34.56086778640747,0.005675232,5,64404,0.00063063874,0.5773623,602,0.005675232,0.015700995922088623,195.0,0.0,195.0
35.08952569961548,0.003570334,5,65404,0.0006265105,0.58400786,607,0.003570334,-0.0024465322494506836,195.3,0.0,195.3
35.64116287231445,0.004571495,5,66401,0.0006930502,0.58931863,612,0.004571495,0.018401622772216797,195.225,0.0,195.225
36.24101185798645,0.0083472375,5,67401,0.000929291,0.59126073,617,0.0083472375,0.009179234504699707,196.15,0.0,196.15
36.8062744140625,0.005776204,6,68601,0.00089795375,0.5955957,623,0.005776204,0.0015784502029418945,198.825,0.0,198.825
37.33691072463989,0.005385341,5,69509,0.0007601029,0.5871426,628,0.005385341,0.014340519905090332,196.525,0.0,196.525
37.874236822128296,0.0058079557,5,70488,0.00082817243,0.5961553,633,0.0058079557,0.005166351795196533,197.0,0.0,197.0
38.447654485702515,0.0055048605,6,71636,0.0007792663,0.5880809,639,0.0055048605,0.0003466010093688965,195.8,0.0,195.8
39.00190734863281,0.0059147985,5,72569,0.00070239435,0.5923072,644,0.0059147985,0.0035529732704162598,194.125,0.0,194.125
39.56578326225281,0.0040101088,6,73672,0.0005876971,0.6039088,650,0.0040101088,-0.006246089935302734,191.775,0.0,191.775
40.07359766960144,0.005802959,5,74631,0.0008225031,0.5850948,655,0.005802959,-0.003805398941040039,190.75,0.0,190.75
