EpThisIter,EpisodesSoFar,entropy,ev_tdlam_before,entloss,EpRewMean,EpLenMean,optimgain,meankl,surrgain,TimestepsSoFar,TimeElapsed
48,48,0.692234,0.0034064054489135742,0.0,20.8,20.8,0.0077147605,0.00085148774,0.0077147605,1010,0.6208474636077881
38,86,0.6893026,-0.005539894104003906,0.0,27.15,27.15,0.0065928306,0.0010264968,0.0065928306,2034,1.118725299835205
29,115,0.6857752,0.014533460140228271,0.0,32.9,32.9,0.008355979,0.0010386861,0.008355979,3058,1.666938304901123
36,151,0.6775272,0.016968488693237305,0.0,28.35,28.35,0.008263942,0.0010768033,0.008263942,4088,2.1951444149017334
32,183,0.66946304,-0.006467223167419434,0.0,32.025,32.025,0.007536199,0.0010195542,0.007536199,5113,2.70613169670105
23,206,0.666548,0.008757710456848145,0.0,37.75,37.75,0.0070701046,0.0008559285,0.0070701046,6104,3.2898871898651123
27,233,0.6547359,0.008105635643005371,0.0,37.875,37.875,0.008021697,0.00084643764,0.008021697,7114,3.8450071811676025
15,248,0.6563456,0.013465940952301025,0.0,47.3,47.3,0.006417487,0.0008684856,0.006417487,8080,4.36153244972229
18,266,0.6378968,0.01736903190612793,0.0,55.7,55.7,0.008554321,0.00091574027,0.008554321,9130,4.910648345947266
16,282,0.6315243,0.020500361919403076,0.0,62.25,62.25,0.0072444337,0.0008788606,0.0072444337,10177,5.46824836730957
13,295,0.630288,0.04422670602798462,0.0,68.025,68.025,0.0068691215,0.000875758,0.0068691215,11240,5.958733081817627
9,304,0.62378836,0.06706148386001587,0.0,83.775,83.775,0.005669635,0.0008771053,0.005669635,12270,6.476675987243652
9,313,0.6133994,0.09624963998794556,0.0,86.65,86.65,0.0049534193,0.000996311,0.0049534193,13130,6.992022752761841
7,320,0.62358546,0.0014420151710510254,0.0,100.65,100.65,0.0059865126,0.00080254587,0.0059865126,14157,7.500429153442383
7,327,0.6107272,0.08563673496246338,0.0,120.575,120.575,0.005813338,0.00082295784,0.005813338,15300,8.07500433921814
6,333,0.6127003,0.08253729343414307,0.0,132.4,132.4,0.00296019,0.00061566423,0.00296019,16368,8.621022462844849
5,338,0.61920476,0.10916489362716675,0.0,139.8,139.8,0.0032555813,0.00044965,0.0032555813,17301,9.172421932220459
6,344,0.5974808,0.13293522596359253,0.0,149.95,149.95,0.0049953097,0.0008143595,0.0049953097,18268,9.730098247528076
6,350,0.5994178,0.09030091762542725,0.0,157.55,157.55,0.005401092,0.0006256832,0.005401092,19268,10.276071786880493
8,358,0.5802521,0.08937925100326538,0.0,160.325,160.325,0.0047267503,0.00078880135,0.0047267503,20400,10.820980072021484
5,363,0.60751194,0.0978783369064331,0.0,167.625,167.625,0.004684057,0.00082723156,0.004684057,21376,11.376849174499512
5,368,0.60747194,0.07274073362350464,0.0,171.9,171.9,0.00550892,0.0005887556,0.00550892,22376,11.903666973114014
6,374,0.60122406,0.22268670797348022,0.0,170.9,170.9,0.0070775156,0.0005693134,0.0070775156,23404,12.408190250396729
6,380,0.60528934,0.09213525056838989,0.0,173.2,173.2,0.005388854,0.0006742049,0.005388854,24542,12.9470796585083
5,385,0.6152781,0.23393303155899048,0.0,174.975,174.975,0.004830671,0.0007935895,0.004830671,25467,13.470285654067993
6,391,0.6006061,0.10394269227981567,0.0,176.325,176.325,0.0044558207,0.0006630854,0.0044558207,26521,13.992575407028198
6,397,0.59379506,0.18706870079040527,0.0,184.125,184.125,0.0064826505,0.00060890906,0.0064826505,27565,14.596054792404175
5,402,0.606689,0.01997298002243042,0.0,184.725,184.725,0.0032379883,0.00052870816,0.0032379883,28565,15.130441427230835
6,408,0.59406,0.11844801902770996,0.0,178.9,178.9,0.0049726535,0.00083217694,0.0049726535,29532,15.650821208953857
6,414,0.61067194,0.06891083717346191,0.0,182.875,182.875,0.005537704,0.00060352264,0.005537704,30719,16.208070755004883
5,419,0.5974319,0.10759055614471436,0.0,182.925,182.925,0.00333763,0.0007508849,0.00333763,31659,16.770745754241943
5,424,0.59915054,0.13978534936904907,0.0,183.275,183.275,0.0055072233,0.00075262954,0.0055072233,32659,17.34371829032898
6,430,0.61281204,0.1714457869529724,0.0,186.425,186.425,0.0025629268,0.0005008202,0.0025629268,33778,17.891313314437866
6,436,0.5950535,0.2965315580368042,0.0,184.9,184.9,0.0049327645,0.0005474654,0.0049327645,34805,18.40754532814026
6,442,0.5918673,0.15598058700561523,0.0,179.55,179.55,0.004153631,0.00055117754,0.004153631,35747,18.917951583862305
6,448,0.58948004,0.14206254482269287,0.0,179.425,179.425,0.0059725083,0.0008177273,0.0059725083,36709,19.43864393234253
6,454,0.582604,0.11699479818344116,0.0,178.7,178.7,0.0053438395,0.00097115943,0.0053438395,37867,19.986576557159424
5,459,0.6121665,0.16497927904129028,0.0,180.2,180.2,0.0042489674,0.0006823466,0.0042489674,38867,20.503846168518066
5,464,0.59428704,0.18266642093658447,0.0,178.3,178.3,0.006756442,0.000998864,0.006756442,39791,21.050453662872314
6,470,0.60700387,0.06534713506698608,0.0,179.2,179.2,0.004839753,0.00066400884,0.004839753,40946,21.598649501800537
5,475,0.5913979,0.12218540906906128,0.0,180.025,180.025,0.0035594143,0.0006368584,0.0035594143,41888,22.137183904647827
5,480,0.5960063,0.09525889158248901,0.0,182.875,182.875,0.0035349126,0.00051669596,0.0035349126,42838,22.67382049560547
6,486,0.5951795,0.029621899127960205,0.0,189.125,189.125,0.0048231347,0.0006112005,0.0048231347,44002,23.21650457382202
5,491,0.5811207,0.10396617650985718,0.0,189.975,189.975,0.004060816,0.0009399571,0.004060816,44908,23.7686710357666
6,497,0.5929593,0.08159494400024414,0.0,189.4,189.4,0.004115911,0.00067836826,0.004115911,46043,24.332804679870605
5,502,0.59410787,0.24021852016448975,0.0,190.65,190.65,0.0027451618,0.0004931397,0.0027451618,47028,24.90696668624878
5,507,0.5909164,0.29579681158065796,0.0,191.625,191.625,0.0044333097,0.0004661196,0.0044333097,48028,25.443381786346436
5,512,0.5988487,0.34938931465148926,0.0,193.05,193.05,0.005234524,0.00097377464,0.005234524,49028,25.96429419517517
5,517,0.60424656,0.2999612092971802,0.0,194.75,194.75,0.0032964451,0.00079477683,0.0032964451,50028,26.533700704574585
