entropy,TimeElapsed,EpisodesSoFar,EpLenMean,entloss,optimgain,TimestepsSoFar,EpRewMean,meankl,EpThisIter,ev_tdlam_before,surrgain
0.6923074,0.6832160949707031,50,19.15,0.0,0.00666774,1007,19.15,0.000856308,50,0.004712164402008057,0.00666774
0.68944037,1.1947343349456787,105,17.5,0.0,0.0070117004,2015,17.5,0.001077789,55,0.010205745697021484,0.0070117004
0.6854919,1.6836483478546143,141,28.6,0.0,0.008531962,3067,28.6,0.0011253785,36,0.0062177181243896484,0.008531962
0.67979276,2.198957920074463,176,30.15,0.0,0.010548596,4078,30.15,0.00088944053,35,0.01683908700942993,0.010548596
0.6739824,2.719546318054199,208,32.5,0.0,0.009451253,5069,32.5,0.00095510436,32,0.04293173551559448,0.009451253
0.6658139,3.264730930328369,235,35.725,0.0,0.006672815,6123,35.725,0.00091071136,27,-0.0006418228149414062,0.006672815
0.6559268,3.769346237182617,262,39.1,0.0,0.00716765,7167,39.1,0.0009393332,27,0.014737725257873535,0.00716765
0.65469897,4.288025140762329,277,43.675,0.0,0.0071514314,8096,43.675,0.00095842406,15,0.04922211170196533,0.0071514314
0.64283013,4.815576076507568,294,57.65,0.0,0.009144792,9215,57.65,0.0009759513,17,0.014921307563781738,0.009144792
0.63843787,5.30124306678772,305,71.5,0.0,0.0075997654,10145,71.5,0.00097261835,11,-0.0013337135314941406,0.0075997654
0.6257344,5.8434898853302,317,78.85,0.0,0.0072939633,11250,78.85,0.0009987594,12,0.009479224681854248,0.0072939633
0.6210445,6.358591794967651,328,85.725,0.0,0.007803309,12285,85.725,0.0009226736,11,0.002738356590270996,0.007803309
0.6185303,6.8955066204071045,335,99.95,0.0,0.006303672,13305,99.95,0.00072061294,7,0.024881422519683838,0.006303672
0.6246734,7.413339376449585,341,112.45,0.0,0.0043046777,14212,112.45,0.00078510935,6,0.0006383061408996582,0.0043046777
0.60395443,7.953017711639404,349,119.75,0.0,0.007799221,15334,119.75,0.00081975484,8,0.00013500452041625977,0.007799221
0.6016021,8.487746477127075,356,127.15,0.0,0.0049956045,16291,127.15,0.0007835853,7,4.374980926513672e-05,0.0049956045
0.60161924,9.010875940322876,363,138.775,0.0,0.0059921425,17379,138.775,0.00082427624,7,0.003606140613555908,0.0059921425
0.61196196,9.536451578140259,369,148.575,0.0,0.003091106,18428,148.575,0.0006735921,6,0.0028444528579711914,0.003091106
0.6079949,10.02535367012024,374,154.625,0.0,0.0041601006,19381,154.625,0.0009457186,5,0.0009667277336120605,0.0041601006
0.6066071,10.56803846359253,380,156.35,0.0,0.004278862,20317,156.35,0.00076978764,6,0.005805075168609619,0.004278862
0.5963863,11.115137815475464,386,162.3,0.0,0.0044717332,21323,162.3,0.00046439498,6,0.007576942443847656,0.0044717332
0.59090376,11.627348184585571,393,162.2,0.0,0.00566453,22474,162.2,0.0008259726,7,0.050860047340393066,0.00566453
0.60112953,12.158734798431396,398,170.075,0.0,0.0045363405,23419,170.075,0.0008231567,5,0.12720483541488647,0.0045363405
0.58030725,12.672484159469604,404,172.7,0.0,0.0064135217,24447,172.7,0.0008399541,6,0.2838171124458313,0.0064135217
0.59541523,13.178423643112183,409,175.125,0.0,0.0037309646,25433,175.125,0.00067686016,5,0.1259474754333496,0.0037309646
0.59487367,13.75287914276123,414,176.225,0.0,0.005949688,26430,176.225,0.00087414915,5,0.20184063911437988,0.005949688
0.59423566,14.269979476928711,420,179.225,0.0,0.005244319,27486,179.225,0.0009776205,6,0.2271522879600525,0.005244319
0.58418703,14.788849115371704,426,181.525,0.0,0.006630794,28584,181.525,0.0008448562,6,0.24821144342422485,0.006630794
0.5953335,15.284535646438599,431,184.725,0.0,0.0026074206,29580,184.725,0.0008006129,5,0.2889089584350586,0.0026074206
0.58168024,15.790950298309326,436,188.45,0.0,0.0038160784,30557,188.45,0.0008931437,5,0.10111689567565918,0.0038160784
0.5945853,16.323049783706665,441,188.45,0.0,0.00397153,31557,188.45,0.0008492498,5,0.0715646743774414,0.00397153
0.5925361,16.86496067047119,447,192.75,0.0,0.0036290244,32757,192.75,0.0008993718,6,0.16709643602371216,0.0036290244
0.5970788,17.380633115768433,452,193.175,0.0,0.0040897997,33757,193.175,0.00073773356,5,0.14170849323272705,0.0040897997
0.59376764,17.921103715896606,457,193.65,0.0,0.0055054277,34664,193.65,0.00089958403,5,0.13662922382354736,0.0055054277
0.56912124,18.465494632720947,463,192.45,0.0,0.005349437,35756,192.45,0.0006439252,6,0.10901373624801636,0.005349437
0.5815908,18.98226761817932,468,194.3,0.0,0.00474001,36756,194.3,0.00063233223,5,0.1110914945602417,0.00474001
0.59071356,19.510950565338135,473,194.4,0.0,0.004444356,37756,194.4,0.0009041197,5,0.3955543637275696,0.004444356
0.57599807,20.072416305541992,478,194.975,0.0,0.0031479585,38756,194.975,0.00058443093,5,0.01945596933364868,0.0031479585
0.5799736,20.57706117630005,483,194.975,0.0,0.002851306,39756,194.975,0.0007733191,5,0.20987308025360107,0.002851306
0.57580227,21.093488454818726,489,192.05,0.0,0.004409102,40839,192.05,0.0005981342,6,0.16711777448654175,0.004409102
0.5745214,21.640049934387207,494,191.85,0.0,0.0020809264,41831,191.85,0.0006525183,5,0.22658228874206543,0.0020809264
0.5847689,22.151412963867188,499,196.875,0.0,0.0018884209,42831,196.875,0.0005277211,5,0.19448226690292358,0.0018884209
0.57380736,22.66819167137146,505,196.875,0.0,0.003426349,44031,196.875,0.00070515886,6,0.1101917028427124,0.003426349
