meankl,EpisodesSoFar,entloss,EpThisIter,TimestepsSoFar,optimgain,EpRewMean,ev_tdlam_before,surrgain,EpLenMean,entropy,TimeElapsed
0.00090332923,619,0.0,5,64322,0.006798707,199.05,0.09354948997497559,0.006798707,199.05,0.5877555,34.94607400894165
0.00091806636,625,0.0,6,65522,0.0053203497,199.05,0.19333243370056152,0.0053203497,199.05,0.5820036,35.52610230445862
0.00083106343,630,0.0,5,66501,0.0032573603,198.525,0.07848942279815674,0.0032573603,198.525,0.5789203,36.1039776802063
0.00065562956,635,0.0,5,67501,0.003422915,199.475,0.054473936557769775,0.003422915,199.475,0.57387733,36.62332510948181
0.0008068889,640,0.0,5,68501,0.0033747656,199.475,0.17864841222763062,0.0033747656,199.475,0.58070135,37.1927273273468
0.00071149634,645,0.0,5,69501,0.006462996,199.475,0.11715751886367798,0.006462996,199.475,0.57764685,37.75878405570984
0.0008838953,650,0.0,5,70501,0.0040866137,199.475,0.06254363059997559,0.0040866137,199.475,0.58252066,38.28197526931763
0.00072036136,655,0.0,5,71501,0.0052804947,199.475,0.042786478996276855,0.0052804947,199.475,0.56188357,38.8398973941803
0.0007378404,661,0.0,6,72701,0.009255064,199.475,0.19521111249923706,0.009255064,199.475,0.58432657,39.431233167648315
0.0006453287,666,0.0,5,73701,0.0038374076,199.475,0.17098724842071533,0.0038374076,199.475,0.58121485,39.98895025253296
0.0008456991,671,0.0,5,74701,0.0024202792,200.0,0.17631667852401733,0.0024202792,200.0,0.57478714,40.534438133239746
0.00087678584,676,0.0,5,75665,0.008542036,199.1,0.10045629739761353,0.008542036,199.1,0.5655291,41.063724994659424
0.0009164814,681,0.0,5,76665,0.0037896475,199.1,0.1155281662940979,0.0037896475,199.1,0.5783749,41.56828022003174
0.00072748016,687,0.0,6,77728,0.009532607,195.675,0.028004944324493408,0.009532607,195.675,0.5817281,42.1143593788147
0.0009029354,692,0.0,5,78728,0.005320927,195.675,0.1565893292427063,0.005320927,195.675,0.5739788,42.70951795578003
