ev_tdlam_before,entloss,meankl,surrgain,optimgain,TimeElapsed,EpisodesSoFar,EpLenMean,entropy,EpRewMean,TimestepsSoFar,EpThisIter
0.6944076418876648,0.0,0.0006508101,0.0035721012,0.0035721012,24.612985372543335,502,200.0,0.5772338,200.0,44874,5
0.6464325189590454,0.0,0.00091360585,0.003893821,0.003893821,25.244940042495728,508,200.0,0.60374427,200.0,46074,6
0.4937957525253296,0.0,0.00084529945,0.0033812984,0.0033812984,25.78950786590576,513,200.0,0.58374155,200.0,47074,5
0.6870430111885071,0.0,0.0009863215,0.0033033784,0.0033033784,26.311498403549194,518,200.0,0.5998143,200.0,48074,5
0.6278603971004486,0.0,0.0005342173,0.0035423394,0.0035423394,26.84056782722473,524,196.6,0.58949244,196.6,49138,6
0.5467006266117096,0.0,0.0006496252,0.005654457,0.005654457,27.425341844558716,530,192.35,0.58404195,192.35,50168,6
0.5772239863872528,0.0,0.000661021,0.0045920424,0.0045920424,27.99621558189392,535,192.3,0.5478382,192.3,51166,5
0.5597161650657654,0.0,0.00081206113,0.003163014,0.003163014,28.527289867401123,540,192.3,0.56091547,192.3,52166,5
0.6334130465984344,0.0,0.00095823547,0.0037448118,0.0037448118,29.266205549240112,545,192.3,0.5751504,192.3,53166,5
0.4468398690223694,0.0,0.0007696417,0.0031851982,0.0031851982,29.94579291343689,550,192.3,0.582439,192.3,54166,5
0.2195848822593689,0.0,0.0007363931,0.0040597613,0.0040597613,30.533772706985474,555,191.875,0.59726954,191.875,55149,5
0.3819814920425415,0.0,0.0008831526,0.0021915953,0.0021915953,31.063568353652954,561,194.1,0.5893655,194.1,56302,6
0.5181178152561188,0.0,0.0007421624,0.0035240692,0.0035240692,31.576560020446777,566,194.1,0.5891038,194.1,57302,5
0.46114015579223633,0.0,0.00073458673,0.003169883,0.003169883,32.134589195251465,571,195.875,0.57502055,195.875,58203,5
0.32862961292266846,0.0,0.00081161584,0.002989066,0.002989066,32.674153089523315,576,195.925,0.5895139,195.925,59203,5
0.6509422361850739,0.0,0.0007466797,0.0028011093,0.0028011093,33.21857833862305,582,195.925,0.59428835,195.925,60403,6
0.5804239213466644,0.0,0.0009650868,0.005293272,0.005293272,33.77431297302246,587,195.925,0.60263216,195.925,61403,5
0.5003826916217804,0.0,0.0006372174,0.0019204749,0.0019204749,34.35332798957825,592,196.35,0.5917491,196.35,62403,5
0.4607597589492798,0.0,0.0006781241,0.0040468685,0.0040468685,34.9146990776062,597,197.525,0.5861219,197.525,63403,5
0.5206975638866425,0.0,0.00085258565,0.004784669,0.004784669,35.50775074958801,602,195.45,0.5748571,195.45,64320,5
0.6946870982646942,0.0,0.0008106604,0.0031425806,0.0031425806,36.04914665222168,608,195.45,0.5789393,195.45,65520,6
0.2919483184814453,0.0,0.0008355702,0.0037633139,0.0037633139,36.6273078918457,613,197.925,0.5516716,197.925,66520,5
0.013720989227294922,0.0,0.00083553,0.0036277473,0.0036277473,37.14899158477783,618,197.875,0.59215057,197.875,67518,5
0.3899562358856201,0.0,0.0009560083,0.006819304,0.006819304,37.72092938423157,624,194.65,0.5877384,194.65,68589,6
0.41244763135910034,0.0,0.0007339574,0.0037206197,0.0037206197,38.28953433036804,630,188.425,0.5456891,188.425,69540,6
0.32937324047088623,0.0,0.0006476239,0.004127234,0.004127234,38.881749868392944,636,185.2,0.5437696,185.2,70611,6
0.5354687869548798,0.0,0.0007306159,0.0025138296,0.0025138296,39.48702120780945,641,185.2,0.5655707,185.2,71611,5
