TimestepsSoFar,EpThisIter,entropy,EpisodesSoFar,TimeElapsed,entloss,meankl,EpLenMean,surrgain,optimgain,EpRewMean,ev_tdlam_before
66559,6,0.56237954,633,34.81675672531128,0.0,0.00071217323,194.6,0.0076691564,0.0076691564,194.6,0.03829491138458252
67559,5,0.56369984,638,35.32237720489502,0.0,0.0006398797,195.275,0.0033052224,0.0033052224,195.275,-0.00011682510375976562
68590,6,0.5574533,644,35.835625410079956,0.0,0.00088730885,191.05,0.0071518123,0.0071518123,191.05,0.01867300271987915
69545,5,0.5623809,649,36.356359004974365,0.0,0.00073403376,190.425,0.0048325984,0.0048325984,190.425,0.004007458686828613
70531,5,0.5854517,654,36.8744375705719,0.0,0.00069897255,191.525,0.0042362087,0.0042362087,191.525,-0.0010486841201782227
71531,5,0.56768215,659,37.40487813949585,0.0,0.00091574376,191.6,0.0036977557,0.0036977557,191.6,-0.0008115768432617188
72701,6,0.5740095,665,37.9328351020813,0.0,0.00065070274,191.2,0.0039352323,0.0039352323,191.2,-0.0010352134704589844
73656,5,0.5724083,670,38.46296286582947,0.0,0.0007296647,190.075,0.0045604166,0.0045604166,190.075,-0.0014432668685913086
74625,5,0.5731892,675,38.964478969573975,0.0,0.00068485533,191.65,0.0055793733,0.0055793733,191.65,-0.0014667510986328125
75625,5,0.55517375,680,39.49474620819092,0.0,0.00088707136,191.65,0.0057672756,0.0057672756,191.65,-0.0021545886993408203
76625,5,0.55729806,685,40.02836728096008,0.0,0.00090427947,197.0,0.0055757747,0.0055757747,197.0,-0.0007616281509399414
77785,6,0.5561196,691,40.560715198516846,0.0,0.00082386273,196.025,0.0051547345,0.0051547345,196.025,-0.0007930994033813477
78784,5,0.56228244,696,41.106789350509644,0.0,0.0010011403,196.325,0.0054490915,0.0054490915,196.325,-0.0015385150909423828
79784,5,0.57953936,701,41.66461420059204,0.0,0.00080148876,197.075,0.0051099593,0.0051099593,197.075,-0.0007077455520629883
80832,6,0.56478286,707,42.172513008117676,0.0,0.0007788895,193.275,0.0063285036,0.0063285036,193.275,-2.4318695068359375e-05
81880,6,0.5612748,713,42.71888875961304,0.0,0.0008617608,191.375,0.006598089,0.006598089,191.375,-0.00022971630096435547
82923,6,0.5694115,719,43.263176679611206,0.0,0.0006460714,187.45,0.00623585,0.00623585,187.45,-0.0012276172637939453
83873,5,0.58211434,724,43.812920331954956,0.0,0.00083968916,186.2,0.0069290125,0.0069290125,186.2,-0.0005443096160888672
84947,6,0.55829084,730,44.34375357627869,0.0,0.001032412,184.05,0.0073785298,0.0073785298,184.05,-0.00035774707794189453
85869,5,0.56923187,735,44.874271392822266,0.0,0.00097417505,182.125,0.004875211,0.004875211,182.125,-0.0004978179931640625
87003,6,0.55483097,741,45.42596745491028,0.0,0.0008121878,180.475,0.007904043,0.007904043,180.475,-0.0005432367324829102
87891,5,0.5592065,746,45.94161295890808,0.0,0.0009594283,181.475,0.008029124,0.008029124,181.475,-0.00017392635345458984
89024,6,0.5575274,752,46.488852977752686,0.0,0.00082088925,183.6,0.007143889,0.007143889,183.6,-0.00023043155670166016
90024,5,0.5729185,757,47.040984869003296,0.0,0.00082157145,185.55,0.0047020693,0.0047020693,185.55,-0.00039064884185791016
91001,5,0.5613625,762,47.553609132766724,0.0,0.0008169713,186.95,0.005798978,0.005798978,186.95,0.0008202791213989258
92001,5,0.56742954,767,48.08648085594177,0.0,0.00074749405,191.35,0.0069178543,0.0069178543,191.35,-0.0002745389938354492
93001,5,0.56874,772,48.62318301200867,0.0,0.0007496466,191.35,0.0035471155,0.0035471155,191.35,-0.0004444122314453125
94117,6,0.5676267,778,49.128941774368286,0.0,0.0007425364,192.85,0.0061143353,0.0061143353,192.85,0.0022988319396972656
95112,5,0.5610385,783,49.68747305870056,0.0,0.00082189066,193.55,0.006908537,0.006908537,193.55,0.0023128390312194824
96112,5,0.55925405,788,50.254053592681885,0.0,0.00045938016,195.9,0.0034476456,0.0034476456,195.9,0.009624898433685303
97112,5,0.5835391,793,50.80167555809021,0.0,0.00079239963,197.2,0.0053428626,0.0053428626,197.2,0.020699679851531982
98265,6,0.5694436,799,51.34758400917053,0.0,0.0008441877,196.025,0.005494198,0.005494198,196.025,0.039621055126190186
99265,6,0.55864275,805,51.88641834259033,0.0,0.0008819779,191.6,0.007207297,0.007207297,191.6,0.030823707580566406
100349,7,0.5496479,812,52.4137544631958,0.0,0.00075895875,183.7,0.0058412375,0.0058412375,183.7,0.09336310625076294
