# {"t_start": 1539260316.813338, "env_id": "CartPole-v0"} 
r,l,t
35.0,35,5.866447
55.0,55,5.887696
25.0,25,5.899762
35.0,35,5.91848
29.0,29,5.93357
99.0,99,5.984902
112.0,112,6.043432
20.0,20,6.053569
26.0,26,6.066761
18.0,18,6.075865
23.0,23,6.087563
23.0,23,6.099519
49.0,49,6.124191
20.0,20,6.134568
200.0,200,6.23709
88.0,88,6.281615
91.0,91,6.325077
21.0,21,6.334816
23.0,23,6.434269
74.0,74,6.464448
32.0,32,6.476515
76.0,76,6.504928
94.0,94,6.54448
73.0,73,6.57314
50.0,50,6.593009
101.0,101,6.631673
51.0,51,6.651159
71.0,71,6.677991
114.0,114,6.728349
76.0,76,6.762264
146.0,146,6.822157
18.0,18,6.831146
60.0,60,6.94296
18.0,18,6.951252
81.0,81,6.986506
79.0,79,7.0193
60.0,60,7.043078
98.0,98,7.092633
54.0,54,7.120053
103.0,103,7.171984
25.0,25,7.183762
29.0,29,7.195793
80.0,80,7.225809
191.0,191,7.300082
81.0,81,7.33286
75.0,75,7.362945
64.0,64,7.475132
167.0,167,7.558919
66.0,66,7.592712
25.0,25,7.60563
27.0,27,7.619545
132.0,132,7.687136
40.0,40,7.707584
81.0,81,7.748957
126.0,126,7.814092
16.0,16,7.822308
99.0,99,7.868398
96.0,96,7.918171
133.0,133,8.065815
26.0,26,8.080255
41.0,41,8.102472
133.0,133,8.155152
20.0,20,8.163091
114.0,114,8.207374
119.0,119,8.256568
46.0,46,8.274824
154.0,154,8.340282
123.0,123,8.396456
79.0,79,8.437273
58.0,58,8.467166
114.0,114,8.616642
36.0,36,8.635522
91.0,91,8.681169
122.0,122,8.742724
73.0,73,8.77821
12.0,12,8.783496
62.0,62,8.808981
147.0,147,8.864535
115.0,115,8.909089
174.0,174,8.978407
59.0,59,9.001134
200.0,200,9.184909
200.0,200,9.269048
143.0,143,9.326242
193.0,193,9.423982
41.0,41,9.444525
115.0,115,9.50298
200.0,200,9.600657
114.0,114,9.740623
200.0,200,9.828143
82.0,82,9.864257
131.0,131,9.921681
25.0,25,9.932723
200.0,200,10.020214
88.0,88,10.058981
100.0,100,10.102961
89.0,89,10.142148
161.0,161,10.312756
125.0,125,10.379881
134.0,134,10.436116
200.0,200,10.516455
200.0,200,10.602588
200.0,200,10.689632
29.0,29,10.705194
49.0,49,10.826502
48.0,48,10.855855
30.0,30,10.870492
157.0,157,10.944899
195.0,195,11.028702
175.0,175,11.11787
129.0,129,11.183505
78.0,78,11.215275
159.0,159,11.276732
200.0,200,11.444624
200.0,200,11.526262
128.0,128,11.584457
172.0,172,11.662432
172.0,172,11.740704
200.0,200,11.927823
150.0,150,11.997961
173.0,173,12.06653
147.0,147,12.122179
200.0,200,12.200342
188.0,188,12.271833
200.0,200,12.431548
200.0,200,12.518635
200.0,200,12.620083
126.0,126,12.682738
200.0,200,12.784537
190.0,190,12.864545
82.0,82,12.983232
138.0,138,13.037897
110.0,110,13.081267
200.0,200,13.159985
158.0,158,13.222534
200.0,200,13.301856
153.0,153,13.362237
200.0,200,13.559817
109.0,109,13.609787
142.0,142,13.664424
200.0,200,13.746118
200.0,200,13.827306
200.0,200,14.003369
200.0,200,14.100097
200.0,200,14.202072
167.0,167,14.286574
123.0,123,14.347876
124.0,124,14.408027
200.0,200,14.483608
179.0,179,14.637433
200.0,200,14.718287
200.0,200,14.797159
200.0,200,14.875848
200.0,200,14.954384
194.0,194,15.110342
200.0,200,15.207639
67.0,67,15.232682
200.0,200,15.309223
200.0,200,15.38637
200.0,200,15.461196
200.0,200,15.658055
200.0,200,15.760111
189.0,189,15.854231
200.0,200,15.946202
200.0,200,16.039799
167.0,167,16.190142
200.0,200,16.269464
200.0,200,16.357646
185.0,185,16.433623
200.0,200,16.533521
200.0,200,16.713965
200.0,200,16.808832
200.0,200,16.895704
200.0,200,16.974359
200.0,200,17.053078
200.0,200,17.239121
200.0,200,17.341704
199.0,199,17.442281
200.0,200,17.543693
200.0,200,17.633082
200.0,200,17.790509
200.0,200,17.866548
200.0,200,17.951052
200.0,200,18.04225
127.0,127,18.098993
200.0,200,18.190262
200.0,200,18.36123
200.0,200,18.440521
200.0,200,18.519516
192.0,192,18.595406
200.0,200,18.674268
200.0,200,18.83323
200.0,200,18.912166
200.0,200,18.991509
200.0,200,19.070477
149.0,149,19.129296
200.0,200,19.292203
200.0,200,19.377254
176.0,176,19.45312
185.0,185,19.524548
184.0,184,19.604476
22.0,22,19.615137
200.0,200,19.694965
189.0,189,19.869503
200.0,200,19.949225
170.0,170,20.016751
200.0,200,20.096002
200.0,200,20.176126
200.0,200,20.340032
200.0,200,20.415984
200.0,200,20.497926
200.0,200,20.58955
200.0,200,20.686147
200.0,200,20.882061
200.0,200,20.976285
200.0,200,21.056272
200.0,200,21.144212
200.0,200,21.245905
200.0,200,21.442212
200.0,200,21.544901
181.0,181,21.631031
200.0,200,21.717228
200.0,200,21.814038
200.0,200,21.997141
150.0,150,22.064989
200.0,200,22.164602
200.0,200,22.269759
200.0,200,22.372665
142.0,142,22.437633
200.0,200,22.613285
200.0,200,22.691683
167.0,167,22.757279
200.0,200,22.847111
200.0,200,22.930948
200.0,200,23.109485
200.0,200,23.212661
200.0,200,23.292673
143.0,143,23.347522
200.0,200,23.43012
200.0,200,23.504069
160.0,160,23.674172
200.0,200,23.776438
200.0,200,23.875207
173.0,173,23.964135
200.0,200,24.0539
183.0,183,24.216057
145.0,145,24.273266
200.0,200,24.35505
200.0,200,24.450906
200.0,200,24.554088
200.0,200,24.655833
185.0,185,24.841194
193.0,193,24.925246
200.0,200,25.00188
200.0,200,25.077533
200.0,200,25.161225
200.0,200,25.357136
200.0,200,25.459136
200.0,200,25.561245
179.0,179,25.647589
200.0,200,25.721722
200.0,200,25.885684
172.0,172,25.956341
175.0,175,26.025721
179.0,179,26.096328
189.0,189,26.170631
200.0,200,26.259727
200.0,200,26.462972
200.0,200,26.544477
200.0,200,26.625051
190.0,190,26.699262
179.0,179,26.771178
200.0,200,26.93963
200.0,200,27.018541
200.0,200,27.097303
184.0,184,27.169639
200.0,200,27.257308
200.0,200,27.451414
200.0,200,27.529542
190.0,190,27.604742
200.0,200,27.706158
200.0,200,27.806277
200.0,200,28.005554
188.0,188,28.087419
200.0,200,28.163943
135.0,135,28.219626
172.0,172,28.298827
200.0,200,28.385256
200.0,200,28.58775
200.0,200,28.689179
162.0,162,28.771946
200.0,200,28.867908
200.0,200,28.944524
200.0,200,29.110938
200.0,200,29.19964
184.0,184,29.294324
200.0,200,29.395551
200.0,200,29.498128
200.0,200,29.600578
200.0,200,29.776544
191.0,191,29.851051
200.0,200,29.926631
200.0,200,30.01298
200.0,200,30.110598
200.0,200,30.308194
200.0,200,30.409354
200.0,200,30.49552
200.0,200,30.571603
200.0,200,30.655713
184.0,184,30.851779
181.0,181,30.92254
200.0,200,31.001578
200.0,200,31.089135
166.0,166,31.164231
200.0,200,31.342547
