entropy,TimeElapsed,surrgain,EpLenMean,EpisodesSoFar,EpThisIter,TimestepsSoFar,optimgain,EpRewMean,meankl,entloss,ev_tdlam_before
0.5718817,29.811437129974365,0.003923,197.325,547,5,54222,0.003923,197.325,0.0006354832,0.0,0.5361678302288055
0.57360387,30.396053791046143,0.003960236,197.325,552,5,55222,0.003960236,197.325,0.0006070894,0.0,0.37086498737335205
0.56783676,30.99769878387451,0.0029331795,197.325,557,5,56222,0.0029331795,197.325,0.00071421446,0.0,0.33697545528411865
0.57240355,31.55927848815918,0.0045312922,197.325,562,5,57222,0.0045312922,197.325,0.0008542753,0.0,0.5903942286968231
0.57719463,32.15346026420593,0.0032099546,197.325,567,5,58222,0.0032099546,197.325,0.0006690541,0.0,0.45764589309692383
0.5793021,32.758177757263184,0.002936415,197.325,572,5,59222,0.002936415,197.325,0.0006731035,0.0,0.5757979154586792
0.56440914,33.35214591026306,0.0052435007,195.975,578,6,60368,0.0052435007,195.975,0.0007798725,0.0,0.3954606056213379
0.56555235,33.92047643661499,0.0040808804,198.65,583,5,61368,0.0040808804,198.65,0.0008502449,0.0,0.5250730216503143
0.5624939,34.50582957267761,0.0027103748,198.65,588,5,62368,0.0027103748,198.65,0.0010579734,0.0,0.17578727006912231
0.56461036,35.10100531578064,0.0050664856,198.65,593,5,63368,0.0050664856,198.65,0.0010095998,0.0,0.3344953656196594
0.54978424,35.66738224029541,0.004096401,198.65,598,5,64368,0.004096401,198.65,0.0009095988,0.0,-0.2442626953125
0.5669617,36.22710394859314,0.0034703275,198.65,603,5,65368,0.0034703275,198.65,0.0007091417,0.0,0.4624103307723999
0.56885904,36.81619834899902,0.0024398766,198.65,608,5,66368,0.0024398766,198.65,0.00062565913,0.0,0.32099032402038574
0.5589893,37.40249705314636,0.004004007,198.65,614,6,67568,0.004004007,198.65,0.00067691354,0.0,0.18620097637176514
0.5627006,37.98367404937744,0.003899719,200.0,619,5,68568,0.003899719,200.0,0.0009890965,0.0,0.5617915391921997
0.56232584,38.562015771865845,0.003029021,200.0,624,5,69568,0.003029021,200.0,0.00056926394,0.0,0.552465558052063
0.56153893,39.13011193275452,0.0047325576,200.0,629,5,70568,0.0047325576,200.0,0.00083672284,0.0,0.6994151771068573
0.57103413,39.689072608947754,0.0017493449,200.0,634,5,71568,0.0017493449,200.0,0.00078604394,0.0,0.4194875955581665
0.57942045,40.271138429641724,0.001663609,200.0,639,5,72568,0.001663609,200.0,0.0006856477,0.0,0.6037996113300323
0.5735518,40.91248440742493,0.002305549,200.0,644,5,73568,0.002305549,200.0,0.0007188517,0.0,0.1472340226173401
0.5574484,41.49612212181091,0.004478943,200.0,649,5,74568,0.004478943,200.0,0.0008752835,0.0,0.402934193611145
0.5684668,42.07788896560669,0.003306856,200.0,655,6,75768,0.003306856,200.0,0.0009692885,0.0,0.5267150104045868
0.5732386,42.65265154838562,0.0018329374,200.0,660,5,76768,0.0018329374,200.0,0.0007735699,0.0,0.5266599655151367
0.5699383,43.21733117103577,0.0022255944,200.0,665,5,77768,0.0022255944,200.0,0.00075736607,0.0,0.03875058889389038
0.56402814,43.78441882133484,0.0041743424,200.0,670,5,78768,0.0041743424,200.0,0.00067843904,0.0,0.6287448108196259
0.5652966,44.3842613697052,0.0024680658,200.0,675,5,79768,0.0024680658,200.0,0.0007230542,0.0,0.37567269802093506
0.56114435,44.95458769798279,0.004278104,200.0,680,5,80768,0.004278104,200.0,0.00085537834,0.0,0.21900320053100586
0.54946685,45.55933952331543,0.0052103754,200.0,685,5,81768,0.0052103754,200.0,0.00086931605,0.0,0.4193490147590637
0.5697082,46.1138916015625,0.0025369357,200.0,690,5,82768,0.0025369357,200.0,0.0007557344,0.0,0.40488380193710327
0.5631069,46.625943183898926,0.0030190707,200.0,696,6,83968,0.0030190707,200.0,0.00065949577,0.0,0.25281912088394165
0.5764507,47.20120716094971,0.0023452705,200.0,701,5,84968,0.0023452705,200.0,0.0007301171,0.0,0.6333451867103577
0.57967925,47.74348306655884,0.004913676,200.0,706,5,85968,0.004913676,200.0,0.0008730356,0.0,0.2877795696258545
0.5534818,48.287349224090576,0.0036695665,200.0,711,5,86968,0.0036695665,200.0,0.00064506487,0.0,-0.10262000560760498
