entloss,meankl,EpisodesSoFar,entropy,TimestepsSoFar,TimeElapsed,EpLenMean,ev_tdlam_before,surrgain,EpThisIter,EpRewMean,optimgain
0.0,0.0009086374,700,0.5769088,78736,45.00286269187927,199.15,0.5240038931369781,0.0035717997,5,199.15,0.0035717997
0.0,0.0008938859,705,0.57122356,79736,45.5510630607605,200.0,0.5255207419395447,0.0016750034,5,200.0,0.0016750034
0.0,0.00086050585,710,0.5628941,80736,46.106306076049805,200.0,0.6394789218902588,0.002922607,5,200.0,0.002922607
0.0,0.0007501801,715,0.5523359,81736,46.625210762023926,200.0,0.7384623289108276,0.0031577102,5,200.0,0.0031577102
0.0,0.0008724192,721,0.5633656,82936,47.24131989479065,200.0,0.481015145778656,0.0026046638,6,200.0,0.0026046638
0.0,0.0008434913,726,0.56014,83936,47.79631471633911,200.0,0.3331700563430786,0.003420283,5,200.0,0.003420283
0.0,0.00081871194,731,0.56060314,84936,48.403958559036255,200.0,0.6300812661647797,0.0020859784,5,200.0,0.0020859784
0.0,0.0010069534,736,0.58434284,85936,49.017542123794556,200.0,0.4738169312477112,0.0042339573,5,200.0,0.0042339573
0.0,0.00070388726,741,0.5512302,86936,49.57343554496765,200.0,0.3926810622215271,0.002543253,5,200.0,0.002543253
0.0,0.00068201416,746,0.5628255,87936,50.13826560974121,200.0,0.4597867727279663,0.0024544988,5,200.0,0.0024544988
0.0,0.0009067975,751,0.5684308,88936,50.754358530044556,200.0,0.4761452078819275,0.004217831,5,200.0,0.004217831
0.0,0.00085681025,756,0.5695154,89936,51.37425255775452,200.0,0.46430253982543945,0.0046970034,5,200.0,0.0046970034
0.0,0.00088048814,762,0.5591047,91136,51.96804404258728,200.0,0.18951743841171265,0.0056237113,6,200.0,0.0056237113
0.0,0.0007775518,767,0.5576962,92136,52.538206815719604,200.0,0.2874037027359009,0.0035853689,5,200.0,0.0035853689
0.0,0.0008248498,772,0.55913234,93136,53.11657500267029,200.0,0.3110460042953491,0.0033549557,5,200.0,0.0033549557
0.0,0.00078157894,777,0.56072134,94136,53.7256863117218,200.0,0.14833533763885498,0.004286936,5,200.0,0.004286936
0.0,0.0008095289,782,0.56911546,95136,54.35121822357178,200.0,0.40060847997665405,0.004800668,5,200.0,0.004800668
0.0,0.0008871992,787,0.5596979,96136,54.88849997520447,200.0,0.5525434911251068,0.0046513407,5,200.0,0.0046513407
0.0,0.0008896368,792,0.54318726,97097,55.420817375183105,199.025,0.3151199221611023,0.0064259293,5,199.025,0.0064259293
0.0,0.0008568634,798,0.56371665,98297,55.99720621109009,199.025,0.07685822248458862,0.0033409642,6,199.025,0.0033409642
0.0,0.0007445299,803,0.57297283,99297,56.54835081100464,199.025,-0.023014307022094727,0.0036507486,5,199.025,0.0036507486
0.0,0.0005837109,808,0.53469235,100297,57.13253426551819,199.025,0.2261596918106079,0.0022150264,5,199.025,0.0022150264
