fps,policy_entropy,nupdates,total_timesteps,value_loss,explained_variance
1083,0.6877187490463257,10800,54000,0.21493813395500183,-191.51129150390625
1083,0.6839761734008789,10900,54500,0.00596744054928422,-2.6891937255859375
1083,0.6655800938606262,11000,55000,0.1546185314655304,-138.44558715820312
1083,0.633808970451355,11100,55500,0.41253501176834106,-178.46014404296875
1083,0.4809243083000183,11200,56000,6405.08837890625,0.13217926025390625
1083,0.6294110417366028,11300,56500,0.6198657751083374,-339.8786315917969
1083,0.560749351978302,11400,57000,0.4690898060798645,-298.79541015625
1083,0.6094390749931335,11500,57500,1.9811923503875732,-435.7550964355469
1084,0.6418615579605103,11600,58000,0.02672882005572319,-16.988109588623047
1084,0.5958607792854309,11700,58500,9052.5576171875,0.15261489152908325
1084,0.679532527923584,11800,59000,0.5973919034004211,-814.3087158203125
1084,0.6920828819274902,11900,59500,0.0023104900028556585,-1.5604076385498047
1084,0.6926313042640686,12000,60000,0.0021369450259953737,-3.3727097511291504
1084,0.6680759787559509,12100,60500,0.19120781123638153,-14.134867668151855
1085,0.5090844035148621,12200,61000,2.992222785949707,-759.670654296875
1085,0.6899089217185974,12300,61500,0.008712771348655224,-4.481503486633301
1085,0.6779575347900391,12400,62000,0.13429909944534302,-131.21566772460938
1085,0.6908729076385498,12500,62500,0.034113891422748566,-27.6195068359375
1078,0.6144589185714722,12600,63000,0.03923051804304123,-57.15763854980469
1078,0.5512325763702393,12700,63500,0.15471121668815613,-47.9224967956543
1078,0.4852515757083893,12800,64000,9006.1728515625,0.3595001697540283
1078,0.6910907030105591,12900,64500,0.0382801815867424,-1.7704949378967285
1078,0.6561124920845032,13000,65000,1859.6412353515625,0.03389197587966919
1079,0.6675347089767456,13100,65500,3764.770751953125,0.018451690673828125
1079,0.6878026127815247,13200,66000,0.003516608849167824,-8.655991554260254
1079,0.6860755085945129,13300,66500,0.009982661344110966,-24.095823287963867
1079,0.6270384788513184,13400,67000,0.09595989435911179,-218.93580627441406
1079,0.6661009192466736,13500,67500,0.01687607914209366,-115.93568420410156
1080,0.5984426736831665,13600,68000,3779.042236328125,0.021510303020477295
1080,0.6815453767776489,13700,68500,0.002788629848510027,-108.05625915527344
1081,0.6910296678543091,13800,69000,0.002603342290967703,-34.78691482543945
1081,0.6608198881149292,13900,69500,0.06096656247973442,-208.5569610595703
1081,0.6857956051826477,14000,70000,0.0038377970922738314,-45.01908493041992
1082,0.6838711500167847,14100,70500,0.05260997265577316,-608.875732421875
1082,0.685542106628418,14200,71000,0.001343635842204094,-89.26911926269531
1082,0.6836798787117004,14300,71500,0.050784625113010406,-5.991621494293213
1082,0.6625004410743713,14400,72000,0.01445884071290493,-29.428253173828125
1083,0.6015373468399048,14500,72500,0.031423985958099365,-146.38101196289062
1083,0.6518420577049255,14600,73000,0.02387971058487892,-183.24343872070312
1083,0.635635256767273,14700,73500,9224.71875,0.10868781805038452
1083,0.5866451859474182,14800,74000,0.035174183547496796,-298.0591735839844
1083,0.6873512268066406,14900,74500,0.028504392132163048,-2361.10888671875
1084,0.44594842195510864,15000,75000,9236.9248046875,0.1116744875907898
1084,0.648236870765686,15100,75500,0.010114501230418682,-956.4074096679688
1084,0.5347367525100708,15200,76000,0.024136226624250412,-235.4976348876953
1084,0.6443965435028076,15300,76500,0.0018317460780963302,-10.020323753356934
1084,0.6541608572006226,15400,77000,0.0013108644634485245,-6.9011125564575195
1085,0.5265119075775146,15500,77500,0.012062372639775276,-173.1065673828125
1085,0.5245354771614075,15600,78000,0.02562379464507103,-4939.17919921875
1085,0.6740768551826477,15700,78500,0.00046591032878495753,-22.539058685302734
1085,0.6577910780906677,15800,79000,0.003011278109624982,-285.550537109375
1085,0.6423215866088867,15900,79500,0.005868628621101379,-77.39766693115234
1085,0.6833850741386414,16000,80000,0.0004765916964970529,-7.911330223083496
1086,0.4129146933555603,16100,80500,0.015130892395973206,-1107.4403076171875
1086,0.6301137208938599,16200,81000,0.0008843323448672891,-137.303955078125
1086,0.38923054933547974,16300,81500,0.005609555169939995,-126.42497253417969
1085,0.680458664894104,16400,82000,0.0006618715124204755,-115.96382904052734
1086,0.6675389409065247,16500,82500,0.001228835666552186,-1719.160400390625
1086,0.6397873759269714,16600,83000,0.12989699840545654,-3198.45166015625
1086,0.5916221737861633,16700,83500,0.013722811825573444,-18648311.0
1087,0.6677752733230591,16800,84000,0.004127618856728077,-107.81880950927734
1087,0.5919650793075562,16900,84500,0.004395157098770142,-102.04637908935547
1087,0.6546506285667419,17000,85000,0.010077858343720436,-199.11178588867188
1087,0.5380805134773254,17100,85500,0.0021027240436524153,-666.9017333984375
1088,0.6027811765670776,17200,86000,0.040091373026371,-67.43463897705078
1088,0.6191856265068054,17300,86500,0.005090327002108097,-27.53067970275879
1088,0.6458145380020142,17400,87000,0.009348230436444283,-48.79802703857422
1088,0.5585981607437134,17500,87500,0.0015313548501580954,-193.72540283203125
1088,0.6780473589897156,17600,88000,0.008521122857928276,-32.3228874206543
1088,0.6564701199531555,17700,88500,0.020195748656988144,-109.00629425048828
1088,0.6574519872665405,17800,89000,0.01917332224547863,-61.63034439086914
1088,0.669757068157196,17900,89500,0.006395205855369568,-22.601436614990234
1089,0.4835006594657898,18000,90000,0.006924898829311132,-43.334144592285156
1089,0.6652021408081055,18100,90500,0.0004344086046330631,-18.923494338989258
1089,0.6244889497756958,18200,91000,0.004869261756539345,-27.323360443115234
1089,0.6632126569747925,18300,91500,0.0003493797266855836,-62.3183479309082
1089,0.49146756529808044,18400,92000,0.1003398448228836,-1393.713134765625
1089,0.6696036458015442,18500,92500,0.028450483456254005,-13.596476554870605
1090,0.35373973846435547,18600,93000,0.010204492136836052,-429372.34375
1090,0.6034761667251587,18700,93500,0.00036022518179379404,-67.1126480102539
1090,0.5985047221183777,18800,94000,1960.029052734375,0.0013489723205566406
1090,0.6261072754859924,18900,94500,0.00016845337813720107,-1307.2288818359375
1090,0.6569263935089111,19000,95000,0.0038628303445875645,-52.08449935913086
1090,0.6813284754753113,19100,95500,0.019775113090872765,-60.47669219970703
1090,0.6827828288078308,19200,96000,0.00043407577322795987,-4.928486347198486
1090,0.6738948822021484,19300,96500,0.0001263754820683971,-96.04485321044922
1090,0.6639240980148315,19400,97000,0.00016099095228128135,-1.0615570545196533
