# {"t_start": 1539468831.6708305, "env_id": "CartPole-v0"} 
r,l,t
14.0,14,6.854111
14.0,14,6.867781
18.0,18,6.882598
15.0,15,6.897341
22.0,22,6.919898
25.0,25,6.943128
16.0,16,6.959606
31.0,31,6.99846
20.0,20,7.019376
27.0,27,7.044511
16.0,16,7.059414
14.0,14,7.074572
11.0,11,7.088743
17.0,17,7.103097
19.0,19,7.122036
33.0,33,7.150822
14.0,14,7.164551
25.0,25,7.185902
18.0,18,7.207287
18.0,18,7.223449
33.0,33,7.24946
12.0,12,7.261191
17.0,17,7.275101
16.0,16,7.290714
49.0,49,7.331698
22.0,22,7.35382
13.0,13,7.365919
43.0,43,7.402459
15.0,15,7.422052
11.0,11,7.433081
17.0,17,7.447877
20.0,20,7.468091
41.0,41,7.505783
13.0,13,7.519543
30.0,30,7.545396
17.0,17,7.560146
19.0,19,7.580621
36.0,36,7.613655
13.0,13,7.625852
36.0,36,7.657794
83.0,83,7.74148
17.0,17,7.757054
56.0,56,7.807239
23.0,23,7.831549
11.0,11,7.842204
16.0,16,7.856091
13.0,13,7.874203
39.0,39,7.913107
35.0,35,7.950305
15.0,15,7.964796
38.0,38,8.003327
20.0,20,8.021328
20.0,20,8.044527
52.0,52,8.092855
30.0,30,8.12009
23.0,23,8.141401
19.0,19,8.15715
18.0,18,8.174355
11.0,11,8.185308
26.0,26,8.210244
19.0,19,8.227283
44.0,44,8.266674
17.0,17,8.282395
30.0,30,8.309668
23.0,23,8.32969
71.0,71,8.420147
28.0,28,8.450029
13.0,13,8.46199
107.0,107,8.560365
15.0,15,8.574959
24.0,24,8.594042
20.0,20,8.612214
75.0,75,8.681075
24.0,24,8.703554
21.0,21,8.721728
19.0,19,8.740719
13.0,13,8.754795
29.0,29,8.780605
22.0,22,8.800048
32.0,32,8.827135
47.0,47,8.871695
19.0,19,8.889722
50.0,50,8.936494
13.0,13,8.946995
25.0,25,8.96843
17.0,17,8.984653
17.0,17,8.999491
20.0,20,9.018601
35.0,35,9.048665
19.0,19,9.072964
34.0,34,9.106606
30.0,30,9.133995
12.0,12,9.144873
29.0,29,9.170988
18.0,18,9.185508
18.0,18,9.202143
23.0,23,9.224149
23.0,23,9.243848
12.0,12,9.25672
18.0,18,9.274837
20.0,20,9.291864
27.0,27,9.319228
14.0,14,9.331376
23.0,23,9.35487
19.0,19,9.372584
31.0,31,9.39747
17.0,17,9.411682
16.0,16,9.43077
14.0,14,9.441971
31.0,31,9.472622
13.0,13,9.483399
26.0,26,9.505515
12.0,12,9.517792
29.0,29,9.544006
23.0,23,9.564787
15.0,15,9.577556
14.0,14,9.591798
26.0,26,9.617576
13.0,13,9.630831
28.0,28,9.655086
11.0,11,9.666147
15.0,15,9.682221
11.0,11,9.692009
21.0,21,9.710328
30.0,30,9.73788
18.0,18,9.753717
23.0,23,9.772862
10.0,10,9.782621
12.0,12,9.801264
12.0,12,9.816605
17.0,17,9.835894
14.0,14,9.848844
12.0,12,9.860246
18.0,18,9.876127
59.0,59,9.928668
9.0,9,9.938119
19.0,19,9.957513
17.0,17,9.972459
21.0,21,9.99185
10.0,10,10.002446
12.0,12,10.014153
13.0,13,10.026602
13.0,13,10.039113
14.0,14,10.051972
15.0,15,10.066444
39.0,39,10.09866
13.0,13,10.111438
51.0,51,10.155691
27.0,27,10.182238
17.0,17,10.196156
26.0,26,10.221304
11.0,11,10.230992
17.0,17,10.24868
18.0,18,10.26515
16.0,16,10.281683
13.0,13,10.295239
19.0,19,10.312606
16.0,16,10.326753
19.0,19,10.343325
10.0,10,10.35237
28.0,28,10.378668
13.0,13,10.388995
16.0,16,10.402457
10.0,10,10.4134
23.0,23,10.442343
32.0,32,10.473132
12.0,12,10.485015
29.0,29,10.510006
11.0,11,10.519549
20.0,20,10.54583
14.0,14,10.564593
18.0,18,10.580357
9.0,9,10.58908
16.0,16,10.603766
15.0,15,10.617955
15.0,15,10.630745
22.0,22,10.651671
14.0,14,10.662359
37.0,37,10.698563
31.0,31,10.726369
14.0,14,10.740163
18.0,18,10.75784
21.0,21,10.781037
22.0,22,10.799894
40.0,40,10.835376
54.0,54,10.88336
13.0,13,10.894399
10.0,10,10.902899
13.0,13,10.918808
35.0,35,10.94989
19.0,19,10.966649
37.0,37,10.997829
16.0,16,11.012722
23.0,23,11.037564
11.0,11,11.049136
28.0,28,11.074275
16.0,16,11.088567
13.0,13,11.100352
17.0,17,11.116172
15.0,15,11.129956
64.0,64,11.184515
19.0,19,11.202726
11.0,11,11.213996
11.0,11,11.223075
17.0,17,11.238976
9.0,9,11.248601
14.0,14,11.261842
11.0,11,11.271926
10.0,10,11.281369
21.0,21,11.300296
20.0,20,11.321332
21.0,21,11.34028
13.0,13,11.350823
13.0,13,11.363028
27.0,27,11.387005
14.0,14,11.400067
11.0,11,11.411518
18.0,18,11.429294
23.0,23,11.450526
15.0,15,11.466046
18.0,18,11.48336
18.0,18,11.500102
38.0,38,11.534036
13.0,13,11.556677
28.0,28,11.584607
14.0,14,11.60202
46.0,46,11.650605
22.0,22,11.672981
11.0,11,11.683475
21.0,21,11.710827
24.0,24,11.736822
19.0,19,11.754655
14.0,14,11.767353
15.0,15,11.781309
48.0,48,11.820229
25.0,25,11.840833
23.0,23,11.863752
40.0,40,11.900331
25.0,25,11.925335
28.0,28,11.950168
15.0,15,11.963877
26.0,26,11.988225
20.0,20,12.005614
16.0,16,12.01895
13.0,13,12.030281
10.0,10,12.04219
18.0,18,12.058994
14.0,14,12.072465
16.0,16,12.086854
26.0,26,12.111972
20.0,20,12.130968
28.0,28,12.156612
10.0,10,12.168202
11.0,11,12.177767
26.0,26,12.201786
35.0,35,12.231921
30.0,30,12.259886
49.0,49,12.302258
11.0,11,12.312301
24.0,24,12.338542
24.0,24,12.36338
20.0,20,12.381198
17.0,17,12.395161
54.0,54,12.444153
9.0,9,12.455698
28.0,28,12.484499
25.0,25,12.513759
28.0,28,12.545906
28.0,28,12.579255
21.0,21,12.603168
49.0,49,12.659292
48.0,48,12.712812
12.0,12,12.730325
88.0,88,12.818517
15.0,15,12.834882
17.0,17,12.855077
37.0,37,12.890438
31.0,31,12.918772
10.0,10,12.931193
37.0,37,12.963209
22.0,22,12.982718
12.0,12,12.994298
51.0,51,13.038691
42.0,42,13.079388
16.0,16,13.095247
16.0,16,13.110013
13.0,13,13.125427
23.0,23,13.147578
52.0,52,13.19538
29.0,29,13.22415
18.0,18,13.240388
33.0,33,13.27045
27.0,27,13.293697
11.0,11,13.305184
17.0,17,13.319782
14.0,14,13.333684
16.0,16,13.34708
25.0,25,13.368675
14.0,14,13.382194
61.0,61,13.437375
22.0,22,13.456984
17.0,17,13.473616
28.0,28,13.498222
20.0,20,13.517494
18.0,18,13.537239
25.0,25,13.559103
43.0,43,13.603086
62.0,62,13.659932
11.0,11,13.669611
15.0,15,13.68326
17.0,17,13.699884
37.0,37,13.730354
15.0,15,13.743551
25.0,25,13.766189
20.0,20,13.786003
36.0,36,13.816295
13.0,13,13.82974
14.0,14,13.843459
12.0,12,13.853714
15.0,15,13.867763
11.0,11,13.878223
17.0,17,13.895033
23.0,23,13.913343
16.0,16,13.932309
48.0,48,13.975138
17.0,17,13.9907
20.0,20,14.009068
17.0,17,14.026286
12.0,12,14.036712
21.0,21,14.055715
15.0,15,14.06961
13.0,13,14.082924
18.0,18,14.102439
12.0,12,14.114323
16.0,16,14.131593
21.0,21,14.150886
16.0,16,14.170111
14.0,14,14.181118
16.0,16,14.197027
19.0,19,14.212542
21.0,21,14.232607
49.0,49,14.274664
36.0,36,14.305484
25.0,25,14.332025
39.0,39,14.369726
14.0,14,14.382319
10.0,10,14.391876
33.0,33,14.425646
21.0,21,14.447528
55.0,55,14.49475
16.0,16,14.50924
22.0,22,14.530593
22.0,22,14.549268
21.0,21,14.574141
15.0,15,14.588202
21.0,21,14.608361
14.0,14,14.622003
25.0,25,14.645468
18.0,18,14.663244
80.0,80,14.733601
15.0,15,14.747171
36.0,36,14.776744
25.0,25,14.799337
21.0,21,14.817414
19.0,19,14.837115
23.0,23,14.857847
51.0,51,14.90204
17.0,17,14.918283
25.0,25,14.940704
40.0,40,14.974997
13.0,13,14.991436
36.0,36,15.032176
12.0,12,15.043595
10.0,10,15.052902
14.0,14,15.066395
47.0,47,15.107847
57.0,57,15.154228
18.0,18,15.172194
20.0,20,15.190517
18.0,18,15.207237
28.0,28,15.231932
49.0,49,15.275876
22.0,22,15.29467
14.0,14,15.307935
26.0,26,15.329869
20.0,20,15.34664
14.0,14,15.359659
19.0,19,15.378879
16.0,16,15.395167
14.0,14,15.408286
17.0,17,15.429788
15.0,15,15.443137
16.0,16,15.457503
10.0,10,15.466494
34.0,34,15.497868
31.0,31,15.52484
21.0,21,15.543655
20.0,20,15.567186
13.0,13,15.580871
29.0,29,15.606994
22.0,22,15.628868
23.0,23,15.650008
23.0,23,15.671343
20.0,20,15.689328
21.0,21,15.709292
35.0,35,15.745527
22.0,22,15.765888
25.0,25,15.790247
13.0,13,15.803395
17.0,17,15.818552
17.0,17,15.833589
35.0,35,15.865764
13.0,13,15.878489
20.0,20,15.895475
17.0,17,15.911197
32.0,32,15.944783
23.0,23,15.967286
15.0,15,15.981851
33.0,33,16.011402
53.0,53,16.057569
11.0,11,16.068476
23.0,23,16.09314
18.0,18,16.111064
16.0,16,16.126621
15.0,15,16.139745
17.0,17,16.1551
18.0,18,16.169363
33.0,33,16.197616
22.0,22,16.217118
17.0,17,16.232866
23.0,23,16.252658
73.0,73,16.312594
11.0,11,16.323167
12.0,12,16.333036
9.0,9,16.342513
35.0,35,16.371943
15.0,15,16.384843
14.0,14,16.397003
62.0,62,16.45695
18.0,18,16.476398
13.0,13,16.488354
12.0,12,16.498395
21.0,21,16.51588
32.0,32,16.543452
20.0,20,16.560929
40.0,40,16.597029
17.0,17,16.612015
61.0,61,16.669981
22.0,22,16.692405
13.0,13,16.704212
11.0,11,16.715742
15.0,15,16.732768
13.0,13,16.747022
25.0,25,16.771273
25.0,25,16.794266
21.0,21,16.813472
12.0,12,16.826576
16.0,16,16.841529
29.0,29,16.868068
17.0,17,16.884587
18.0,18,16.902128
14.0,14,16.915513
21.0,21,16.937816
14.0,14,16.94855
8.0,8,16.957348
13.0,13,16.969241
18.0,18,16.984853
12.0,12,16.997141
25.0,25,17.019887
17.0,17,17.0351
22.0,22,17.056103
10.0,10,17.067556
17.0,17,17.084871
35.0,35,17.114271
20.0,20,17.133102
12.0,12,17.142675
21.0,21,17.161943
12.0,12,17.173455
21.0,21,17.192
14.0,14,17.205283
24.0,24,17.225732
13.0,13,17.236151
39.0,39,17.268745
43.0,43,17.308288
24.0,24,17.328123
17.0,17,17.350885
46.0,46,17.391989
35.0,35,17.423448
16.0,16,17.439853
21.0,21,17.458952
11.0,11,17.471689
21.0,21,17.489555
50.0,50,17.534437
25.0,25,17.556541
42.0,42,17.597362
20.0,20,17.616239
21.0,21,17.634255
14.0,14,17.647264
14.0,14,17.659687
16.0,16,17.673862
12.0,12,17.685835
12.0,12,17.699135
17.0,17,17.716394
28.0,28,17.74452
35.0,35,17.77601
16.0,16,17.789545
41.0,41,17.832412
15.0,15,17.847216
46.0,46,17.889052
33.0,33,17.922409
28.0,28,17.949111
47.0,47,17.992329
29.0,29,18.019882
41.0,41,18.055624
22.0,22,18.077027
19.0,19,18.095279
28.0,28,18.119766
10.0,10,18.128718
13.0,13,18.14193
14.0,14,18.154167
40.0,40,18.19238
16.0,16,18.20926
46.0,46,18.248247
13.0,13,18.261415
13.0,13,18.273308
9.0,9,18.288133
14.0,14,18.303044
23.0,23,18.323993
51.0,51,18.370662
25.0,25,18.398316
24.0,24,18.435493
31.0,31,18.464575
16.0,16,18.480901
24.0,24,18.501431
17.0,17,18.52082
21.0,21,18.539399
79.0,79,18.613413
45.0,45,18.655166
45.0,45,18.694409
13.0,13,18.707598
25.0,25,18.731264
23.0,23,18.753479
29.0,29,18.786868
20.0,20,18.807094
22.0,22,18.824933
14.0,14,18.8373
29.0,29,18.863105
21.0,21,18.881386
10.0,10,18.891042
20.0,20,18.909656
22.0,22,18.931017
11.0,11,18.94253
18.0,18,18.959491
33.0,33,18.989155
15.0,15,19.001902
15.0,15,19.015755
15.0,15,19.029872
14.0,14,19.046043
26.0,26,19.070343
20.0,20,19.088831
14.0,14,19.101761
10.0,10,19.11073
9.0,9,19.117723
30.0,30,19.144411
15.0,15,19.157286
17.0,17,19.172259
10.0,10,19.181937
21.0,21,19.200589
27.0,27,19.224614
17.0,17,19.241713
16.0,16,19.256947
8.0,8,19.266106
21.0,21,19.284171
12.0,12,19.294792
12.0,12,19.307853
50.0,50,19.35118
16.0,16,19.364436
41.0,41,19.3986
27.0,27,19.424754
18.0,18,19.442029
36.0,36,19.473003
19.0,19,19.490141
63.0,63,19.545617
24.0,24,19.564357
13.0,13,19.577583
22.0,22,19.596703
16.0,16,19.614424
31.0,31,19.642164
22.0,22,19.660844
42.0,42,19.702075
25.0,25,19.731926
15.0,15,19.747454
35.0,35,19.780223
30.0,30,19.805324
32.0,32,19.832928
38.0,38,19.86788
27.0,27,19.891804
49.0,49,19.938168
30.0,30,19.963675
25.0,25,19.985705
16.0,16,19.999525
31.0,31,20.024993
20.0,20,20.042546
25.0,25,20.064076
17.0,17,20.079319
18.0,18,20.094281
12.0,12,20.106704
19.0,19,20.122645
37.0,37,20.158949
12.0,12,20.168953
12.0,12,20.180551
59.0,59,20.230146
19.0,19,20.247704
17.0,17,20.26267
20.0,20,20.279409
35.0,35,20.309021
15.0,15,20.321598
21.0,21,20.343584
25.0,25,20.369907
16.0,16,20.382878
12.0,12,20.392217
12.0,12,20.404536
19.0,19,20.426614
13.0,13,20.44372
14.0,14,20.455715
17.0,17,20.469087
11.0,11,20.479002
23.0,23,20.496618
21.0,21,20.512998
18.0,18,20.527939
34.0,34,20.55632
17.0,17,20.569335
13.0,13,20.580815
15.0,15,20.593519
28.0,28,20.616882
11.0,11,20.627453
57.0,57,20.672336
20.0,20,20.689594
18.0,18,20.705159
16.0,16,20.71917
41.0,41,20.756583
25.0,25,20.780603
24.0,24,20.801882
13.0,13,20.811949
86.0,86,20.888486
23.0,23,20.908394
24.0,24,20.932258
29.0,29,20.963421
24.0,24,20.98333
27.0,27,21.005103
12.0,12,21.014951
19.0,19,21.032906
47.0,47,21.07383
20.0,20,21.091441
14.0,14,21.102637
17.0,17,21.120175
12.0,12,21.145981
12.0,12,21.161865
44.0,44,21.196734
27.0,27,21.219782
16.0,16,21.232862
26.0,26,21.253969
22.0,22,21.273062
24.0,24,21.29166
21.0,21,21.309906
14.0,14,21.32064
18.0,18,21.336405
17.0,17,21.350337
23.0,23,21.370825
25.0,25,21.39145
36.0,36,21.429647
17.0,17,21.444817
14.0,14,21.455377
10.0,10,21.464375
13.0,13,21.479456
13.0,13,21.493567
16.0,16,21.507793
36.0,36,21.537791
27.0,27,21.560289
12.0,12,21.57165
22.0,22,21.5934
33.0,33,21.624413
42.0,42,21.660202
45.0,45,21.698115
19.0,19,21.714333
15.0,15,21.727139
29.0,29,21.751038
