meankl,entropy,TimestepsSoFar,ev_tdlam_before,entloss,EpisodesSoFar,surrgain,EpLenMean,EpRewMean,optimgain,TimeElapsed,EpThisIter
0.00031986032,0.5826775,82901,0.3409857749938965,0.0,803,0.0029892111,195.95,195.95,0.0029892111,45.06516790390015,5
0.00038741506,0.58523047,83901,0.5910346210002899,0.0,808,0.0046310974,195.95,195.95,0.0046310974,45.606536626815796,5
0.00039223745,0.5842757,84901,0.5081509947776794,0.0,813,0.0022626165,196.7,196.7,0.0022626165,46.12117147445679,5
0.00039272645,0.59002584,85901,0.3130650520324707,0.0,818,0.0025080675,196.7,196.7,0.0025080675,46.67499566078186,5
0.00039801633,0.58353794,87010,0.31743544340133667,0.0,824,0.00410874,195.4,195.4,0.00410874,47.25974154472351,6
0.00047739476,0.5788993,88010,0.4608444571495056,0.0,829,0.0042814314,195.4,195.4,0.0042814314,47.801867961883545,5
0.0004611725,0.589959,88985,0.4750317335128784,0.0,834,0.0048850146,194.775,194.775,0.0048850146,48.349100828170776,5
0.0003313218,0.5824676,89985,0.3019114136695862,0.0,839,0.00258262,197.1,197.1,0.00258262,48.945080041885376,5
0.00038304718,0.566947,90985,0.5386492609977722,0.0,844,0.00447677,197.1,197.1,0.00447677,49.509278535842896,5
0.00036396823,0.5853696,91985,0.30542606115341187,0.0,849,0.0015274365,197.1,197.1,0.0015274365,50.055707931518555,5
0.00042627388,0.58284986,92985,0.4252391457557678,0.0,854,0.002906595,197.1,197.1,0.002906595,50.602617263793945,5
0.00036792975,0.58704287,94185,0.4510597586631775,0.0,860,0.003042662,199.025,199.025,0.003042662,51.14121127128601,6
0.00034699915,0.5848266,95185,0.5121534764766693,0.0,865,0.002220931,199.375,199.375,0.002220931,51.67530107498169,5
0.00038468337,0.5827111,96185,0.4736374020576477,0.0,870,0.0021164669,199.375,199.375,0.0021164669,52.23768496513367,5
0.00027493847,0.57187474,97280,0.3092004656791687,0.0,876,0.0040347558,197.375,197.375,0.0040347558,52.80022478103638,6
0.00038104632,0.5947837,98280,0.5203043818473816,0.0,881,0.0027909204,197.375,197.375,0.0027909204,53.34322476387024,5
0.0003871276,0.5881053,99280,0.4787554144859314,0.0,886,0.0021343622,197.375,197.375,0.0021343622,53.92091751098633,5
0.00039166195,0.59459966,100280,0.5803399980068207,0.0,891,0.002580602,197.375,197.375,0.002580602,54.48653864860535,5
