# {"t_start": 1539261114.1002004, "env_id": "CartPole-v0"} 
r,l,t
25.0,25,0.963123
25.0,25,0.973222
19.0,19,0.980711
17.0,17,0.987428
16.0,16,0.993527
21.0,21,1.00182
34.0,34,1.015471
22.0,22,1.024176
52.0,52,1.044025
27.0,27,1.054397
17.0,17,1.060717
35.0,35,1.074372
29.0,29,1.087049
17.0,17,1.095633
11.0,11,1.100658
20.0,20,1.109725
22.0,22,1.119448
9.0,9,1.123614
10.0,10,1.128037
29.0,29,1.140498
10.0,10,1.145024
10.0,10,1.14902
11.0,11,1.153308
13.0,13,1.158703
77.0,77,1.194246
33.0,33,1.210263
22.0,22,1.221136
20.0,20,1.231006
21.0,21,1.241423
28.0,28,1.25343
37.0,37,1.270198
14.0,14,1.276815
17.0,17,1.283984
56.0,56,1.308497
11.0,11,1.313293
25.0,25,1.324655
25.0,25,1.336022
10.0,10,1.340684
18.0,18,1.348603
11.0,11,1.353572
26.0,26,1.365065
15.0,15,1.371723
18.0,18,1.379995
16.0,16,1.387275
17.0,17,1.395082
25.0,25,1.591156
12.0,12,1.596843
14.0,14,1.60307
27.0,27,1.614024
32.0,32,1.625931
20.0,20,1.633349
12.0,12,1.637851
29.0,29,1.648822
19.0,19,1.655926
39.0,39,1.670366
18.0,18,1.677114
42.0,42,1.692497
51.0,51,1.711704
22.0,22,1.720207
70.0,70,1.746485
76.0,76,1.775493
23.0,23,1.784001
12.0,12,1.788603
22.0,22,1.797251
18.0,18,1.804095
19.0,19,1.81133
18.0,18,1.81821
15.0,15,1.824003
15.0,15,1.829832
20.0,20,1.837541
11.0,11,1.841906
31.0,31,1.853968
21.0,21,1.862142
27.0,27,1.872912
61.0,61,1.896764
27.0,27,1.908707
22.0,22,1.91872
12.0,12,1.924212
17.0,17,1.932399
31.0,31,1.948627
13.0,13,1.955185
18.0,18,1.964342
28.0,28,1.978678
23.0,23,1.990318
13.0,13,1.997097
32.0,32,2.08712
34.0,34,2.104358
9.0,9,2.108837
21.0,21,2.119487
49.0,49,2.143605
39.0,39,2.163491
13.0,13,2.170182
15.0,15,2.177742
12.0,12,2.183197
11.0,11,2.187944
16.0,16,2.194647
25.0,25,2.205106
16.0,16,2.212054
27.0,27,2.2232
26.0,26,2.233938
14.0,14,2.239775
21.0,21,2.248313
22.0,22,2.257719
17.0,17,2.264726
18.0,18,2.272404
25.0,25,2.282673
13.0,13,2.288311
39.0,39,2.304367
35.0,35,2.319004
15.0,15,2.325697
19.0,19,2.333808
25.0,25,2.344557
18.0,18,2.351888
14.0,14,2.358301
26.0,26,2.36937
16.0,16,2.376197
28.0,28,2.388052
55.0,55,2.412407
14.0,14,2.419949
24.0,24,2.433031
23.0,23,2.444003
22.0,22,2.452312
14.0,14,2.457643
62.0,62,2.480974
22.0,22,2.489264
20.0,20,2.496758
20.0,20,2.50429
26.0,26,2.513993
26.0,26,2.591182
24.0,24,2.601315
17.0,17,2.608313
35.0,35,2.622086
23.0,23,2.630746
22.0,22,2.639316
11.0,11,2.643832
26.0,26,2.653822
16.0,16,2.660175
19.0,19,2.667537
18.0,18,2.674608
24.0,24,2.683899
31.0,31,2.695677
28.0,28,2.70683
16.0,16,2.713225
33.0,33,2.727126
17.0,17,2.734593
36.0,36,2.749748
37.0,37,2.767129
13.0,13,2.77368
14.0,14,2.779814
50.0,50,2.805195
12.0,12,2.811162
16.0,16,2.819309
15.0,15,2.826976
38.0,38,2.845642
9.0,9,2.849764
24.0,24,2.859575
11.0,11,2.864136
32.0,32,2.878248
25.0,25,2.889032
21.0,21,2.897841
89.0,89,2.936865
36.0,36,2.953516
17.0,17,2.961162
17.0,17,2.969583
15.0,15,2.976671
34.0,34,2.99142
20.0,20,2.999929
30.0,30,3.011764
70.0,70,3.104098
70.0,70,3.131559
24.0,24,3.14103
76.0,76,3.170754
21.0,21,3.179057
20.0,20,3.186955
34.0,34,3.20033
34.0,34,3.213701
11.0,11,3.218408
60.0,60,3.241995
15.0,15,3.248007
18.0,18,3.25513
24.0,24,3.264703
26.0,26,3.27484
22.0,22,3.28347
23.0,23,3.292644
19.0,19,3.30039
25.0,25,3.310638
17.0,17,3.317326
46.0,46,3.335491
15.0,15,3.341355
28.0,28,3.352766
27.0,27,3.364712
106.0,106,3.407775
62.0,62,3.431636
49.0,49,3.450687
52.0,52,3.471182
13.0,13,3.476525
60.0,60,3.50177
18.0,18,3.588033
22.0,22,3.59768
31.0,31,3.612602
26.0,26,3.625766
21.0,21,3.636539
39.0,39,3.656289
22.0,22,3.667525
56.0,56,3.694674
22.0,22,3.70485
20.0,20,3.715038
19.0,19,3.724567
43.0,43,3.746091
21.0,21,3.756724
84.0,84,3.798655
53.0,53,3.825261
77.0,77,3.86413
21.0,21,3.874239
17.0,17,3.882219
32.0,32,3.89924
14.0,14,3.90573
35.0,35,3.923366
27.0,27,3.936929
18.0,18,3.946045
48.0,48,3.970081
22.0,22,3.981487
37.0,37,4.00025
9.0,9,4.00457
25.0,25,4.017188
26.0,26,4.028144
16.0,16,4.034541
28.0,28,4.045302
93.0,93,4.149056
15.0,15,4.155987
20.0,20,4.165183
68.0,68,4.194478
25.0,25,4.204305
20.0,20,4.211962
11.0,11,4.216411
16.0,16,4.222682
26.0,26,4.233489
12.0,12,4.239034
58.0,58,4.26305
14.0,14,4.268759
140.0,140,4.325568
56.0,56,4.35362
38.0,38,4.372675
35.0,35,4.389014
16.0,16,4.396297
58.0,58,4.423547
49.0,49,4.44806
55.0,55,4.47568
18.0,18,4.484775
15.0,15,4.491916
60.0,60,4.52125
27.0,27,4.533548
35.0,35,4.551395
37.0,37,4.570261
20.0,20,4.580212
51.0,51,4.606313
46.0,46,4.705941
35.0,35,4.721678
47.0,47,4.741515
40.0,40,4.758647
20.0,20,4.767221
38.0,38,4.78306
13.0,13,4.788535
41.0,41,4.806433
36.0,36,4.822854
35.0,35,4.842075
58.0,58,4.869718
18.0,18,4.877503
67.0,67,4.90531
34.0,34,4.919026
89.0,89,4.955835
82.0,82,4.988839
92.0,92,5.026921
63.0,63,5.052113
63.0,63,5.077887
16.0,16,5.084633
65.0,65,5.110017
34.0,34,5.122606
112.0,112,5.23463
28.0,28,5.245706
32.0,32,5.258404
39.0,39,5.274198
19.0,19,5.281947
52.0,52,5.302486
81.0,81,5.334119
118.0,118,5.380289
53.0,53,5.401028
18.0,18,5.408134
92.0,92,5.444084
41.0,41,5.46016
19.0,19,5.467625
25.0,25,5.477448
77.0,77,5.507606
120.0,120,5.561228
36.0,36,5.579114
58.0,58,5.608614
22.0,22,5.68895
95.0,95,5.727174
102.0,102,5.767079
139.0,139,5.822462
117.0,117,5.866665
22.0,22,5.87534
73.0,73,5.902599
35.0,35,5.915838
139.0,139,5.977298
30.0,30,5.991108
66.0,66,6.025196
25.0,25,6.037237
140.0,140,6.108196
136.0,136,6.252671
20.0,20,6.262655
15.0,15,6.270656
34.0,34,6.287815
50.0,50,6.313183
132.0,132,6.379334
107.0,107,6.431106
60.0,60,6.454217
34.0,34,6.466779
145.0,145,6.534341
105.0,105,6.579623
95.0,95,6.618011
35.0,35,6.631905
127.0,127,6.75355
42.0,42,6.771002
76.0,76,6.804734
12.0,12,6.810292
80.0,80,6.846502
186.0,186,6.931065
116.0,116,6.983726
181.0,181,7.063929
73.0,73,7.094824
150.0,150,7.162415
139.0,139,7.29636
123.0,123,7.342463
145.0,145,7.401752
91.0,91,7.436846
200.0,200,7.511163
79.0,79,7.541001
155.0,155,7.613445
132.0,132,7.673087
200.0,200,7.836067
101.0,101,7.881662
120.0,120,7.930024
200.0,200,8.026056
72.0,72,8.055959
155.0,155,8.113648
86.0,86,8.145499
48.0,48,8.163321
145.0,145,8.304395
56.0,56,8.326229
160.0,160,8.3877
200.0,200,8.465001
70.0,70,8.493879
55.0,55,8.517131
139.0,139,8.57457
174.0,174,8.65132
200.0,200,8.812276
134.0,134,8.865145
130.0,130,8.914539
192.0,192,8.987716
200.0,200,9.066367
182.0,182,9.135312
200.0,200,9.285959
162.0,162,9.358771
200.0,200,9.448964
200.0,200,9.538672
200.0,200,9.629729
98.0,98,9.667513
200.0,200,9.824734
200.0,200,9.913888
147.0,147,9.969008
200.0,200,10.043895
200.0,200,10.137748
200.0,200,10.3072
187.0,187,10.391169
136.0,136,10.455067
87.0,87,10.489188
200.0,200,10.564667
166.0,166,10.637469
176.0,176,10.787912
200.0,200,10.865706
200.0,200,10.966625
200.0,200,11.068078
156.0,156,11.147798
191.0,191,11.243402
180.0,180,11.379375
200.0,200,11.46959
200.0,200,11.549731
200.0,200,11.624152
200.0,200,11.70814
200.0,200,11.879729
200.0,200,11.980681
78.0,78,12.016757
124.0,124,12.066761
200.0,200,12.141345
200.0,200,12.223412
132.0,132,12.290132
200.0,200,12.440876
200.0,200,12.530467
200.0,200,12.63289
162.0,162,12.714342
200.0,200,12.817186
200.0,200,12.970515
171.0,171,13.050295
200.0,200,13.142998
194.0,194,13.215248
110.0,110,13.256869
200.0,200,13.357909
200.0,200,13.539986
200.0,200,13.647688
190.0,190,13.724708
200.0,200,13.806241
200.0,200,13.911996
200.0,200,14.070646
187.0,187,14.16492
200.0,200,14.267127
189.0,189,14.363983
169.0,169,14.448712
200.0,200,14.614997
200.0,200,14.715992
200.0,200,14.792705
140.0,140,14.849093
200.0,200,14.937403
200.0,200,15.027965
200.0,200,15.20305
132.0,132,15.26148
200.0,200,15.335027
200.0,200,15.429578
164.0,164,15.512514
190.0,190,15.658096
171.0,171,15.735239
53.0,53,15.761832
196.0,196,15.8615
200.0,200,15.962779
200.0,200,16.060781
200.0,200,16.209561
200.0,200,16.299009
200.0,200,16.380104
200.0,200,16.458695
200.0,200,16.537463
200.0,200,16.689098
200.0,200,16.778263
200.0,200,16.857176
200.0,200,16.935807
200.0,200,17.0224
200.0,200,17.197872
200.0,200,17.277441
200.0,200,17.378431
200.0,200,17.475561
200.0,200,17.576721
200.0,200,17.672358
200.0,200,17.82439
200.0,200,17.914623
200.0,200,18.000845
200.0,200,18.07519
200.0,200,18.164532
200.0,200,18.335781
200.0,200,18.437193
200.0,200,18.518074
200.0,200,18.59539
191.0,191,18.67922
200.0,200,18.841781
200.0,200,18.929966
200.0,200,19.031139
114.0,114,19.08373
200.0,200,19.184873
122.0,122,19.246573
122.0,122,19.36945
200.0,200,19.44976
200.0,200,19.532075
200.0,200,19.609212
197.0,197,19.694496
200.0,200,19.851732
200.0,200,19.934015
200.0,200,20.012751
200.0,200,20.095025
200.0,200,20.171998
200.0,200,20.333893
187.0,187,20.413151
200.0,200,20.50125
145.0,145,20.566655
188.0,188,20.651205
159.0,159,20.720983
200.0,200,20.889698
200.0,200,20.96781
200.0,200,21.048737
200.0,200,21.136119
200.0,200,21.210204
200.0,200,21.3579
200.0,200,21.457016
200.0,200,21.55755
200.0,200,21.65768
200.0,200,21.733944
200.0,200,21.886425
200.0,200,21.968481
200.0,200,22.048375
200.0,200,22.139469
146.0,146,22.216537
200.0,200,22.333954
200.0,200,22.532252
200.0,200,22.616872
200.0,200,22.715249
200.0,200,22.79477
200.0,200,22.869437
200.0,200,23.044832
200.0,200,23.147124
200.0,200,23.237364
200.0,200,23.320627
200.0,200,23.398626
200.0,200,23.570477
200.0,200,23.649524
200.0,200,23.734616
200.0,200,23.822236
200.0,200,23.923245
200.0,200,24.098525
200.0,200,24.17687
200.0,200,24.265399
200.0,200,24.352391
200.0,200,24.431047
200.0,200,24.597579
200.0,200,24.698518
200.0,200,24.794658
200.0,200,24.884636
200.0,200,24.967448
200.0,200,25.134482
200.0,200,25.221466
200.0,200,25.307399
200.0,200,25.409149
163.0,163,25.484201
200.0,200,25.584888
200.0,200,25.744778
200.0,200,25.833558
200.0,200,25.9122
