TimestepsSoFar,entloss,EpThisIter,EpRewMean,optimgain,EpisodesSoFar,surrgain,ev_tdlam_before,entropy,TimeElapsed,meankl,EpLenMean
80710,0.0,5,195.2,0.002325228,699,0.002325228,0.17548763751983643,0.58587956,41.669203996658325,0.0005694858,195.2
81916,0.0,7,191.525,0.0039647776,706,0.0039647776,0.11913228034973145,0.58173364,42.16326427459717,0.0006446161,191.525
82916,0.0,5,193.0,0.002886855,711,0.002886855,0.14153707027435303,0.59492373,42.692604780197144,0.00054246956,193.0
83783,0.0,5,190.475,0.0050079203,716,0.0050079203,0.055863022804260254,0.5770173,43.210389137268066,0.00066534494,190.475
84967,0.0,6,191.15,0.0026039064,722,0.0026039064,0.07051384449005127,0.5813192,43.73559641838074,0.00065963645,191.15
85851,0.0,5,188.525,0.0033423437,727,0.0033423437,0.03459209203720093,0.5900279,44.27853965759277,0.00049009104,188.525
87019,0.0,6,187.725,0.0031125203,733,0.0031125203,-0.02770376205444336,0.569483,44.78931498527527,0.0005180778,187.725
88061,0.0,6,183.775,0.004565159,739,0.004565159,0.09065669775009155,0.57254314,45.3052659034729,0.0008045313,183.775
89061,0.0,5,188.625,0.003941266,744,0.003941266,0.0005508661270141602,0.58651614,45.80370759963989,0.0007211905,188.625
89996,0.0,5,187.0,0.0042007444,749,0.0042007444,-0.002844691276550293,0.57248116,46.329824924468994,0.0008225818,187.0
90996,0.0,5,190.325,0.0039087376,754,0.0039087376,0.027951061725616455,0.5702522,46.854755878448486,0.00072259177,190.325
92116,0.0,6,188.725,0.0058534928,760,0.0058534928,0.089741051197052,0.57146287,47.40668606758118,0.0007022039,188.725
93116,0.0,5,191.625,0.002723947,765,0.002723947,0.014744043350219727,0.5830027,47.945027112960815,0.0008045989,191.625
94047,0.0,5,189.9,0.004271487,770,0.004271487,0.005719542503356934,0.5714084,48.44649910926819,0.0006530261,189.9
95121,0.0,6,187.55,0.007658696,776,0.007658696,0.05373042821884155,0.55970407,48.96919107437134,0.00083127234,187.55
96157,0.0,6,187.4,0.0066042617,782,0.0066042617,0.04921501874923706,0.5687689,49.504070520401,0.00076100806,187.4
97103,0.0,5,187.675,0.009007282,787,0.009007282,0.022043704986572266,0.5685042,50.01463770866394,0.00091550197,187.675
98303,0.0,6,187.675,0.0046658986,793,0.0046658986,-0.006865382194519043,0.5678463,50.52767491340637,0.0006822271,187.675
99239,0.0,5,188.075,0.005485802,798,0.005485802,0.007652759552001953,0.55841196,51.029348373413086,0.00080893014,188.075
100239,0.0,5,188.075,0.004938003,803,0.004938003,0.014152348041534424,0.5708749,51.57895350456238,0.00059723435,188.075
