EpLenMean,EpisodesSoFar,EpRewMean,TimestepsSoFar,optimgain,TimeElapsed,EpThisIter,entloss,entropy,surrgain,ev_tdlam_before,meankl
187.25,627,187.25,70565,0.009021731,36.960503578186035,6,0.0,0.5737244,0.009021731,0.44462698698043823,0.0007969402
188.45,632,188.45,71565,0.0035973112,37.48116183280945,5,0.0,0.58665276,0.0035973112,0.6245952546596527,0.0005783979
190.7,637,190.7,72565,0.0059242733,38.016650438308716,5,0.0,0.5812663,0.0059242733,0.5370418429374695,0.0008583119
191.4,643,191.4,73719,0.0049451957,38.54531502723694,6,0.0,0.56853545,0.0049451957,0.47365719079971313,0.00075240445
191.875,648,191.875,74686,0.004636256,39.05239129066467,5,0.0,0.5933275,0.004636256,0.45408087968826294,0.00082771375
189.45,654,189.45,75756,0.004490338,39.607993841171265,6,0.0,0.5800151,0.004490338,0.4211242198944092,0.0007431974
190.8,659,190.8,76729,0.0072445013,40.15161609649658,5,0.0,0.5910404,0.0072445013,0.5723986923694611,0.000920174
190.85,664,190.85,77627,0.006687696,40.69398880004883,5,0.0,0.58124447,0.006687696,0.6983642578125,0.0005931725
191.55,670,191.55,78827,0.0048754606,41.21664500236511,6,0.0,0.59176785,0.0048754606,0.4126521348953247,0.00072144496
188.5,675,188.5,79705,0.00684103,41.74202108383179,5,0.0,0.5748396,0.00684103,0.5858660638332367,0.00061329384
188.075,681,188.075,80865,0.006132338,42.26078987121582,6,0.0,0.5853947,0.006132338,0.5236019790172577,0.00070295646
185.625,687,185.625,81911,0.0073462687,42.79998779296875,6,0.0,0.5756998,0.0073462687,0.6363802254199982,0.0009184226
188.725,692,188.725,82905,0.0034243548,43.342148303985596,5,0.0,0.60191023,0.0034243548,0.7801617830991745,0.0006928876
188.95,697,188.95,83894,0.008644087,43.86627221107483,5,0.0,0.5752733,0.008644087,0.4181351661682129,0.0007205924
191.6,702,191.6,84891,0.004017073,44.398616790771484,5,0.0,0.5730611,0.004017073,0.42810434103012085,0.00065090234
191.6,707,191.6,85891,0.00511962,44.95614171028137,5,0.0,0.5883195,0.00511962,0.03485137224197388,0.0007188108
193.675,712,193.675,86891,0.0034932536,45.485034465789795,5,0.0,0.5823842,0.0034932536,0.4689527153968811,0.00080494303
194.65,717,194.65,87891,0.002974457,46.007487773895264,5,0.0,0.5826872,0.002974457,0.4644591808319092,0.000751158
197.4,722,197.4,88891,0.0046732053,46.57920551300049,5,0.0,0.59625494,0.0046732053,0.39788955450057983,0.00060287974
199.65,728,199.65,90091,0.003249975,47.114386558532715,6,0.0,0.5937237,0.003249975,0.08661341667175293,0.0006003442
199.475,733,199.475,91084,0.0032889424,47.64395809173584,5,0.0,0.58209807,0.0032889424,0.5441418886184692,0.00073191203
199.75,738,199.75,92084,0.0040140348,48.19755268096924,5,0.0,0.59797823,0.0040140348,0.05316871404647827,0.00073481305
199.825,743,199.825,93084,0.0041538933,48.7292423248291,5,0.0,0.5937302,0.0041538933,0.3433037996292114,0.00058348983
197.15,749,197.15,94177,0.004281578,49.251198291778564,6,0.0,0.58827037,0.004281578,0.20847302675247192,0.00082115416
196.4,754,196.4,95147,0.0063123317,49.81374764442444,5,0.0,0.57912403,0.0063123317,0.3931847810745239,0.0009319028
196.4,759,196.4,96147,0.004647563,50.34886050224304,5,0.0,0.5864211,0.004647563,0.5382696986198425,0.0006817291
196.4,764,196.4,97147,0.003985199,50.871357917785645,5,0.0,0.59759235,0.003985199,0.2842112183570862,0.0007851488
195.35,770,195.35,98298,0.006551138,51.42896127700806,6,0.0,0.57632,0.006551138,0.4427035450935364,0.0007524828
191.125,775,191.125,99129,0.004484799,51.936161279678345,5,0.0,0.5858069,0.004484799,0.11334067583084106,0.00075488276
189.2,781,189.2,100252,0.006380532,52.45788860321045,6,0.0,0.5921395,0.006380532,0.6067234575748444,0.0007172734
