TimeElapsed,optimgain,EpThisIter,EpLenMean,entropy,EpRewMean,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,entloss,surrgain,meankl
23.980070114135742,0.0027883109,9,128.85,0.61848927,128.85,0.10590946674346924,43989,1007,0.0,0.0027883109,8.716864e-05
24.53585410118103,0.0018937173,6,131.325,0.62989855,131.325,0.15369248390197754,44921,1013,0.0,0.0018937173,6.510147e-05
25.084222078323364,0.0021416177,9,133.525,0.61378884,133.525,0.10873770713806152,46048,1022,0.0,0.0021416177,8.23342e-05
25.67129373550415,0.0020277218,7,138.675,0.61987585,138.675,0.12313604354858398,47070,1029,0.0,0.0020277218,8.0751284e-05
26.218140602111816,0.0015492132,8,132.825,0.61634576,132.825,0.0508195161819458,48127,1037,0.0,0.0015492132,7.677202e-05
26.76114535331726,0.002768537,7,133.3,0.62193036,133.3,0.10954004526138306,49091,1044,0.0,0.002768537,7.885232e-05
27.322343349456787,0.001266435,6,142.7,0.62061495,142.7,0.2541659474372864,50173,1050,0.0,0.001266435,8.299181e-05
27.875290393829346,0.001493138,5,145.8,0.62299573,145.8,0.16123396158218384,51021,1055,0.0,0.001493138,8.235505e-05
28.38697052001953,0.0019820172,7,149.725,0.6145247,149.725,0.27231305837631226,52037,1062,0.0,0.0019820172,8.993081e-05
28.904496908187866,0.001127583,6,152.525,0.61688787,152.525,0.3737605810165405,53071,1068,0.0,0.001127583,7.241733e-05
29.476800680160522,0.0018285133,8,152.775,0.610555,152.775,0.2930780053138733,54182,1076,0.0,0.0018285133,8.22579e-05
30.00946855545044,0.0015074569,6,160.35,0.6198867,160.35,0.45298880338668823,55278,1082,0.0,0.0015074569,7.115255e-05
30.59058141708374,0.0023872443,6,159.875,0.60191506,159.875,0.2976418733596802,56251,1088,0.0,0.0023872443,7.4115706e-05
31.160504579544067,0.0016096694,5,163.95,0.60794085,163.95,0.2118901014328003,57206,1093,0.0,0.0016096694,5.8173184e-05
31.681378841400146,0.0023202007,7,162.425,0.5992208,162.425,0.2057960033416748,58321,1100,0.0,0.0023202007,7.871887e-05
32.2370502948761,0.0018662452,5,166.325,0.59752655,166.325,0.32411837577819824,59243,1105,0.0,0.0018662452,8.774798e-05
32.78981256484985,0.001794833,6,168.15,0.5903193,168.15,0.34049612283706665,60230,1111,0.0,0.001794833,8.1101774e-05
33.31001949310303,0.0017248434,6,173.45,0.5994669,173.45,0.20060664415359497,61314,1117,0.0,0.0017248434,7.521312e-05
33.893227100372314,0.001997993,6,174.975,0.5945654,174.975,0.1160309910774231,62407,1123,0.0,0.001997993,8.293175e-05
