optimgain,EpLenMean,ev_tdlam_before,EpRewMean,EpThisIter,entloss,TimestepsSoFar,entropy,meankl,TimeElapsed,EpisodesSoFar,surrgain
0.0019841734,200.0,-0.0007234811782836914,200.0,5,0.0,88034,0.5757972,0.0007334482,47.04591703414917,749,0.0019841734
0.0038565826,197.475,-0.00033843517303466797,197.475,5,0.0,88933,0.5713319,0.00042007375,47.576058864593506,754,0.0038565826
0.0072108964,197.475,-0.0009275674819946289,197.475,5,0.0,89933,0.57477653,0.0009221912,48.14221167564392,759,0.0072108964
0.00286669,197.475,-0.0009986162185668945,197.475,6,0.0,91133,0.5635352,0.0005965569,48.64180254936218,765,0.00286669
0.0038142577,197.475,-0.0007534027099609375,197.475,5,0.0,92133,0.5757818,0.0008066455,49.1827027797699,770,0.0038142577
0.0049549714,197.475,-0.0013195276260375977,197.475,5,0.0,93133,0.5702764,0.000799139,49.784729957580566,775,0.0049549714
0.0036699716,197.475,-0.0007380247116088867,197.475,5,0.0,94133,0.55882823,0.0009459838,50.309813261032104,780,0.0036699716
0.003713617,197.475,-0.0006831884384155273,197.475,5,0.0,95133,0.5767026,0.0010647976,50.828548192977905,785,0.003713617
0.004106353,197.475,-0.0005850791931152344,197.475,5,0.0,96133,0.5564023,0.00063777063,51.42123079299927,790,0.004106353
0.004496676,200.0,-0.0006049871444702148,200.0,5,0.0,97133,0.57882154,0.001030761,51.94073486328125,795,0.004496676
0.007420942,200.0,-0.00045371055603027344,200.0,5,0.0,98133,0.5699805,0.0009153852,52.447715282440186,800,0.007420942
0.004176724,200.0,-0.0007722377777099609,200.0,5,0.0,99133,0.54509234,0.00068356236,52.97180700302124,805,0.004176724
0.0038274918,200.0,-0.0006084442138671875,200.0,6,0.0,100333,0.56879157,0.00085674616,53.49758744239807,811,0.0038274918
