EpisodesSoFar,TimestepsSoFar,entropy,EpThisIter,surrgain,ev_tdlam_before,entloss,optimgain,meankl,EpLenMean,TimeElapsed,EpRewMean
561,55173,0.5810395,6,0.0066868663,-0.00063323974609375,0.0,0.0066868663,0.0007215703,197.35,30.300771951675415,197.35
566,56173,0.5997708,5,0.003110867,0.002023756504058838,0.0,0.003110867,0.0006706639,197.35,30.786621809005737,197.35
571,57173,0.59604365,5,0.003013146,6.139278411865234e-05,0.0,0.003013146,0.0008626006,197.35,31.348044395446777,197.35
577,58311,0.59168863,6,0.0043745125,0.016026794910430908,0.0,0.0043745125,0.00078719424,195.8,31.903451204299927,195.8
582,59311,0.5993494,5,0.0029455265,0.03052067756652832,0.0,0.0029455265,0.0007172572,195.8,32.42438292503357,195.8
587,60311,0.5813595,5,0.004864381,0.5925785005092621,0.0,0.004864381,0.0004825677,195.8,32.9702033996582,195.8
592,61273,0.6050528,5,0.004720654,0.04361093044281006,0.0,0.004720654,0.000705551,194.85,33.496153593063354,194.85
597,62273,0.60537845,5,0.003349997,0.21751940250396729,0.0,0.003349997,0.00072641554,194.85,34.014899492263794,194.85
603,63473,0.5969461,6,0.0024995534,-0.006377696990966797,0.0,0.0024995534,0.0003939863,197.5,34.573604583740234,197.5
608,64473,0.5968152,5,0.0041655716,0.7948066145181656,0.0,0.0041655716,0.0004116854,197.5,35.13043260574341,197.5
613,65391,0.5961411,5,0.0039490815,0.6530855000019073,0.0,0.0039490815,0.00048359056,195.45,35.64164137840271,195.45
618,66364,0.58766925,5,0.006147084,0.7316240966320038,0.0,0.006147084,0.0007642661,196.325,36.18831491470337,196.325
624,67539,0.6031163,6,0.0081259385,0.717368483543396,0.0,0.0081259385,0.0005563994,195.7,36.72870588302612,195.7
629,68495,0.5939091,5,0.009016562,0.8849983662366867,0.0,0.009016562,0.0008809535,194.6,37.26088857650757,194.6
634,69495,0.59852064,5,0.006650756,0.32019203901290894,0.0,0.006650756,0.00072893803,195.55,37.81901502609253,195.55
640,70588,0.6015711,6,0.007716312,0.6586633324623108,0.0,0.007716312,0.00088799436,192.875,38.34742212295532,192.875
645,71581,0.5962678,5,0.0061616357,0.829445019364357,0.0,0.0061616357,0.00062026427,192.7,38.891377210617065,192.7
650,72576,0.6040727,5,0.0058035767,0.7201033532619476,0.0,0.0058035767,0.00081488426,194.625,39.433069944381714,194.625
656,73701,0.59144485,6,0.0064455746,-0.003601551055908203,0.0,0.0064455746,0.0005923789,193.425,39.99690341949463,193.425
661,74629,0.59344965,5,0.0048701735,0.2962040901184082,0.0,0.0048701735,0.00065771386,192.25,40.55060005187988,192.25
666,75629,0.60135484,5,0.004423149,0.6700836718082428,0.0,0.004423149,0.0009154178,192.9,41.11943244934082,192.9
671,76629,0.58646774,5,0.0048049386,0.03993344306945801,0.0,0.0048049386,0.00074354827,193.35,41.633747816085815,193.35
677,77818,0.5873482,6,0.006353548,0.0050185322761535645,0.0,0.006353548,0.00060908037,193.85,42.151169776916504,193.85
682,78797,0.59285855,5,0.0044992855,0.13224369287490845,0.0,0.0044992855,0.0009114916,195.4,42.72658729553223,195.4
687,79797,0.59950256,5,0.0050303163,-0.005897164344787598,0.0,0.0050303163,0.0007953782,195.4,43.29902982711792,195.4
692,80797,0.57827634,5,0.0037861583,-0.0041931867599487305,0.0,0.0037861583,0.0009367205,196.25,43.849457025527954,196.25
697,81744,0.58471775,5,0.004637057,-0.0012423992156982422,0.0,0.004637057,0.0007462809,197.875,44.37142610549927,197.875
703,82832,0.5755048,6,0.008879199,0.1437041163444519,0.0,0.008879199,0.00076015154,195.075,44.94251465797424,195.075
708,83832,0.5799717,5,0.00527267,-0.0010595321655273438,0.0,0.00527267,0.0005039913,195.075,45.50161027908325,195.075
713,84832,0.58246726,5,0.003933681,0.0015386343002319336,0.0,0.003933681,0.0007545923,195.075,46.02734851837158,195.075
718,85832,0.59154534,5,0.0041180695,0.0012308359146118164,0.0,0.0041180695,0.00079738843,195.35,46.61150527000427,195.35
724,87032,0.5875133,6,0.0042762044,0.007451951503753662,0.0,0.0042762044,0.00045444648,195.875,47.190059185028076,195.875
729,88032,0.58934855,5,0.0031499248,0.08594745397567749,0.0,0.0031499248,0.0004776575,195.875,47.72780632972717,195.875
734,89032,0.5991001,5,0.0029910249,0.02137857675552368,0.0,0.0029910249,0.00067726435,195.9,48.28098392486572,195.9
739,90032,0.57912827,5,0.0076426566,0.19054436683654785,0.0,0.0076426566,0.001010482,197.2,48.85029721260071,197.2
744,91032,0.57788366,5,0.004725219,0.38204360008239746,0.0,0.004725219,0.00066895405,200.0,49.388843297958374,200.0
749,92032,0.58416337,5,0.0022786325,0.3965771794319153,0.0,0.0022786325,0.0004578191,200.0,49.96060824394226,200.0
754,93032,0.58905756,5,0.0033250125,0.8027215600013733,0.0,0.0033250125,0.0007953524,200.0,50.516485929489136,200.0
759,94032,0.5903051,5,0.004006319,0.9408941604197025,0.0,0.004006319,0.00076603657,200.0,51.09412956237793,200.0
765,95232,0.5871562,6,0.0060499227,0.731198787689209,0.0,0.0060499227,0.0008574631,200.0,51.63883447647095,200.0
770,96232,0.5759449,5,0.0031018364,0.6660824716091156,0.0,0.0031018364,0.0006997041,200.0,52.18193817138672,200.0
775,97232,0.5860294,5,0.0037765186,0.7409833371639252,0.0,0.0037765186,0.00089270447,200.0,52.701897621154785,200.0
780,98190,0.5622077,5,0.003637948,0.8346802145242691,0.0,0.003637948,0.00040738718,198.95,53.2404248714447,198.95
786,99281,0.56034815,6,0.0045686257,0.6183912456035614,0.0,0.0045686257,0.00061765895,196.225,53.822601318359375,196.225
791,100281,0.57488286,5,0.005168153,0.8171571046113968,0.0,0.005168153,0.0007748378,196.225,54.38452768325806,196.225
