EpThisIter,TimestepsSoFar,ev_tdlam_before,entropy,surrgain,EpLenMean,EpRewMean,meankl,EpisodesSoFar,optimgain,entloss,TimeElapsed
5,69489,0.7237545549869537,0.5423064,0.00510819,196.7,196.7,0.00061973894,607,0.00510819,0.0,37.813318967819214
5,70489,0.5862758457660675,0.5475769,0.0059193503,198.55,198.55,0.00081184914,612,0.0059193503,0.0,38.36984372138977
5,71485,0.5071904361248016,0.5558387,0.0039316774,198.45,198.45,0.0009260157,617,0.0039316774,0.0,38.87274765968323
6,72685,0.6601038873195648,0.5446931,0.008083317,198.45,198.45,0.0011784853,623,0.008083317,0.0,39.44227862358093
5,73685,0.7946530878543854,0.5424303,0.0041092015,198.45,198.45,0.0006476927,628,0.0041092015,0.0,40.00814962387085
5,74685,0.4473723769187927,0.52869415,0.005156795,198.45,198.45,0.0007922567,633,0.005156795,0.0,40.55200672149658
5,75685,0.09194022417068481,0.5289233,0.0038029526,198.45,198.45,0.0007874927,638,0.0038029526,0.0,41.09088587760925
5,76685,0.3508366346359253,0.5324451,0.0017575489,198.45,198.45,0.0009585307,643,0.0017575489,0.0,41.65771245956421
5,77685,0.46211081743240356,0.54584,0.0033905953,199.9,199.9,0.0010105525,648,0.0033905953,0.0,42.20924782752991
5,78685,0.34133726358413696,0.545781,0.0042616255,199.9,199.9,0.0008215507,653,0.0042616255,0.0,42.77339005470276
5,79685,0.5186076462268829,0.5387416,0.0030788817,200.0,200.0,0.00061732414,658,0.0030788817,0.0,43.30961894989014
6,80885,0.4613773822784424,0.5237496,0.0037390324,200.0,200.0,0.0008576242,664,0.0037390324,0.0,43.85541391372681
5,81885,0.2645223140716553,0.5149945,0.0024019878,200.0,200.0,0.0007805563,669,0.0024019878,0.0,44.43142366409302
5,82885,0.41709691286087036,0.54069877,0.0038099508,200.0,200.0,0.00061165914,674,0.0038099508,0.0,45.01341390609741
5,83885,0.18169522285461426,0.5344116,0.0015286014,200.0,200.0,0.0004399274,679,0.0015286014,0.0,45.54785394668579
5,84885,0.4196450710296631,0.5403259,0.004677762,200.0,200.0,0.0007508617,684,0.004677762,0.0,46.067049741744995
5,85885,0.5837978422641754,0.5474952,0.004615482,200.0,200.0,0.0008869862,689,0.004615482,0.0,46.60253310203552
5,86885,0.5669849216938019,0.5451398,0.003573207,200.0,200.0,0.0007344234,694,0.003573207,0.0,47.13480091094971
5,87885,0.08381730318069458,0.5309297,0.0017737532,200.0,200.0,0.00090192514,699,0.0017737532,0.0,47.65613532066345
6,89085,0.34385037422180176,0.53936356,0.0021546744,200.0,200.0,0.0007821787,705,0.0021546744,0.0,48.24000692367554
5,90085,0.3375667333602905,0.5188401,0.004480467,200.0,200.0,0.0007958131,710,0.004480467,0.0,48.79726552963257
5,91085,0.11469173431396484,0.54536015,0.003122333,200.0,200.0,0.00072166475,715,0.003122333,0.0,49.34134030342102
5,92085,0.26558440923690796,0.5512162,0.0042628446,200.0,200.0,0.0010789488,720,0.0042628446,0.0,49.95023012161255
5,93085,0.312685489654541,0.5376266,0.002690124,200.0,200.0,0.00075895526,725,0.002690124,0.0,50.49908256530762
5,94085,0.39110368490219116,0.53041613,0.0060074385,200.0,200.0,0.0012146807,730,0.0060074385,0.0,51.012139081954956
5,95085,-0.11656725406646729,0.5323999,0.0050641717,200.0,200.0,0.0008682364,735,0.0050641717,0.0,51.59424376487732
5,96085,-0.021000027656555176,0.536823,0.0024303568,200.0,200.0,0.0008506123,740,0.0024303568,0.0,52.18652129173279
5,97085,0.05798912048339844,0.52667105,0.0031315084,200.0,200.0,0.0007072373,745,0.0031315084,0.0,52.732059717178345
6,98285,0.19800567626953125,0.5485319,0.0028208727,200.0,200.0,0.00072294154,751,0.0028208727,0.0,53.274561166763306
5,99285,0.21037864685058594,0.5302403,0.002340122,200.0,200.0,0.00068678265,756,0.002340122,0.0,53.84421133995056
5,100285,-0.031282782554626465,0.52885234,0.004700518,200.0,200.0,0.0008785033,761,0.004700518,0.0,54.38403034210205
