# {"t_start": 1539260753.499362, "env_id": "CartPole-v0"} 
r,l,t
26.0,26,6.728685
75.0,75,6.757401
135.0,135,6.823511
89.0,89,6.8683
176.0,176,7.052959
182.0,182,7.145676
72.0,72,7.18232
200.0,200,7.285265
103.0,103,7.330904
58.0,58,7.35367
144.0,144,7.408714
94.0,94,7.445956
92.0,92,7.481811
200.0,200,7.66216
200.0,200,7.740922
91.0,91,7.776981
144.0,144,7.833779
12.0,12,7.838722
26.0,26,7.84914
182.0,182,7.921203
136.0,136,7.991334
14.0,14,7.998366
200.0,200,8.171032
74.0,74,8.198467
199.0,199,8.279378
87.0,87,8.314685
50.0,50,8.334882
79.0,79,8.367129
66.0,66,8.393091
200.0,200,8.471515
170.0,170,8.647025
60.0,60,8.677702
73.0,73,8.714203
153.0,153,8.791058
200.0,200,8.89341
200.0,200,8.969955
32.0,32,8.981864
195.0,195,9.059485
200.0,200,9.255042
200.0,200,9.334524
42.0,42,9.351736
200.0,200,9.426449
166.0,166,9.489267
135.0,135,9.542153
144.0,144,9.694197
189.0,189,9.766603
200.0,200,9.84254
200.0,200,9.917516
158.0,158,9.979784
200.0,200,10.07509
200.0,200,10.276488
195.0,195,10.375503
160.0,160,10.457004
200.0,200,10.536926
193.0,193,10.611505
200.0,200,10.778822
200.0,200,10.87467
199.0,199,10.949964
200.0,200,11.040477
200.0,200,11.142539
143.0,143,11.213896
150.0,150,11.369152
47.0,47,11.386555
175.0,175,11.45379
181.0,181,11.521011
153.0,153,11.581196
168.0,168,11.655027
200.0,200,11.840811
187.0,187,11.935617
171.0,171,12.023424
200.0,200,12.123816
200.0,200,12.202087
200.0,200,12.282032
200.0,200,12.462668
200.0,200,12.564095
200.0,200,12.65846
200.0,200,12.75968
178.0,178,12.849819
200.0,200,13.020254
200.0,200,13.099987
200.0,200,13.17461
120.0,120,13.235188
182.0,182,13.328565
200.0,200,13.522948
161.0,161,13.595468
129.0,129,13.658144
94.0,94,13.696747
200.0,200,13.778235
145.0,145,13.83918
98.0,98,13.879524
200.0,200,14.074327
200.0,200,14.179796
200.0,200,14.278085
196.0,196,14.38189
177.0,177,14.470403
151.0,151,14.533482
200.0,200,14.704641
200.0,200,14.786839
200.0,200,14.884653
200.0,200,14.98589
200.0,200,15.087699
200.0,200,15.286072
181.0,181,15.35508
200.0,200,15.428959
200.0,200,15.505225
200.0,200,15.582479
200.0,200,15.766679
200.0,200,15.868477
200.0,200,15.969967
200.0,200,16.071583
200.0,200,16.15327
200.0,200,16.313231
200.0,200,16.394104
200.0,200,16.494453
200.0,200,16.596945
200.0,200,16.698003
200.0,200,16.79982
200.0,200,16.975497
200.0,200,17.054135
200.0,200,17.132473
200.0,200,17.21151
200.0,200,17.303874
200.0,200,17.483081
200.0,200,17.578607
200.0,200,17.661107
200.0,200,17.749758
200.0,200,17.832299
169.0,169,17.980262
200.0,200,18.068128
200.0,200,18.165856
200.0,200,18.266838
200.0,200,18.369743
200.0,200,18.542428
200.0,200,18.62566
200.0,200,18.704015
200.0,200,18.781605
200.0,200,18.884182
200.0,200,19.079843
200.0,200,19.180733
200.0,200,19.280829
200.0,200,19.372106
200.0,200,19.448395
200.0,200,19.616908
200.0,200,19.710514
200.0,200,19.811608
200.0,200,19.910345
197.0,197,20.000975
200.0,200,20.184874
200.0,200,20.28155
200.0,200,20.369675
200.0,200,20.464352
200.0,200,20.565898
200.0,200,20.696241
200.0,200,20.917937
200.0,200,21.021517
200.0,200,21.110583
200.0,200,21.196434
200.0,200,21.298232
200.0,200,21.489735
200.0,200,21.591101
200.0,200,21.690582
200.0,200,21.799267
200.0,200,21.883712
200.0,200,22.053579
200.0,200,22.15803
200.0,200,22.25846
200.0,200,22.352279
200.0,200,22.442686
200.0,200,22.61206
200.0,200,22.707408
200.0,200,22.782414
200.0,200,22.869309
200.0,200,22.964962
200.0,200,23.153567
165.0,165,23.24205
179.0,179,23.326956
200.0,200,23.41805
200.0,200,23.500666
200.0,200,23.685586
200.0,200,23.771091
149.0,149,23.838922
200.0,200,23.940515
200.0,200,24.041988
200.0,200,24.139066
200.0,200,24.31022
200.0,200,24.387733
198.0,198,24.469339
189.0,189,24.565631
200.0,200,24.666528
200.0,200,24.864592
200.0,200,24.955462
200.0,200,25.030022
200.0,200,25.11693
200.0,200,25.191826
200.0,200,25.382709
200.0,200,25.485592
200.0,200,25.584942
200.0,200,25.67983
200.0,200,25.779045
175.0,175,25.948813
200.0,200,26.039798
200.0,200,26.139022
193.0,193,26.236018
173.0,173,26.323531
194.0,194,26.421037
200.0,200,26.606875
200.0,200,26.685817
179.0,179,26.763393
200.0,200,26.859342
200.0,200,26.953403
200.0,200,27.146846
146.0,146,27.219958
192.0,192,27.303779
200.0,200,27.387785
200.0,200,27.46608
182.0,182,27.629098
174.0,174,27.712324
145.0,145,27.779224
151.0,151,27.856299
175.0,175,27.942654
200.0,200,28.047238
200.0,200,28.234683
172.0,172,28.303323
200.0,200,28.378014
200.0,200,28.456468
200.0,200,28.543005
149.0,149,28.619346
200.0,200,28.821336
200.0,200,28.91996
200.0,200,29.021492
200.0,200,29.100942
175.0,175,29.17185
200.0,200,29.356214
192.0,192,29.454482
180.0,180,29.543992
200.0,200,29.647343
182.0,182,29.737859
197.0,197,29.903326
200.0,200,29.987922
200.0,200,30.073223
200.0,200,30.161904
200.0,200,30.262429
196.0,196,30.361006
200.0,200,30.565474
200.0,200,30.641568
200.0,200,30.731765
195.0,195,30.809037
200.0,200,30.905603
200.0,200,31.099988
190.0,190,31.187247
200.0,200,31.274207
200.0,200,31.374504
200.0,200,31.45416
200.0,200,31.627684
200.0,200,31.718477
200.0,200,31.805498
200.0,200,31.906555
200.0,200,32.007822
200.0,200,32.184368
200.0,200,32.268444
200.0,200,32.3508
200.0,200,32.443754
200.0,200,32.536857
200.0,200,32.735215
200.0,200,32.826424
200.0,200,32.914335
200.0,200,33.010803
200.0,200,33.092045
200.0,200,33.277276
200.0,200,33.354778
200.0,200,33.4361
200.0,200,33.537238
200.0,200,33.635811
200.0,200,33.829238
181.0,181,33.900938
195.0,195,33.998512
200.0,200,34.092982
200.0,200,34.175619
200.0,200,34.271646
200.0,200,34.461666
200.0,200,34.550281
126.0,126,34.605853
200.0,200,34.684671
200.0,200,34.777886
200.0,200,34.954128
200.0,200,35.036096
200.0,200,35.128223
200.0,200,35.219759
200.0,200,35.320824
200.0,200,35.499601
200.0,200,35.583687
200.0,200,35.667862
200.0,200,35.744167
200.0,200,35.830486
200.0,200,36.027721
200.0,200,36.120795
200.0,200,36.203101
200.0,200,36.284042
200.0,200,36.364071
200.0,200,36.525669
200.0,200,36.605464
200.0,200,36.695642
200.0,200,36.783088
200.0,200,36.871476
200.0,200,36.959859
200.0,200,37.122458
200.0,200,37.201712
200.0,200,37.289296
200.0,200,37.365502
200.0,200,37.448398
200.0,200,37.651636
200.0,200,37.754191
200.0,200,37.854351
200.0,200,37.930931
200.0,200,38.018487
200.0,200,38.18534
200.0,200,38.283883
142.0,142,38.354587
200.0,200,38.457683
200.0,200,38.560057
200.0,200,38.729216
200.0,200,38.829192
200.0,200,38.916258
200.0,200,38.999255
200.0,200,39.096005
200.0,200,39.270309
200.0,200,39.351968
196.0,196,39.433054
200.0,200,39.514767
200.0,200,39.599093
200.0,200,39.76219
200.0,200,39.854982
200.0,200,39.954764
200.0,200,40.052145
200.0,200,40.152655
200.0,200,40.238329
200.0,200,40.417694
200.0,200,40.501128
200.0,200,40.577899
200.0,200,40.677005
200.0,200,40.778048
200.0,200,40.97795
200.0,200,41.054436
200.0,200,41.136602
200.0,200,41.235868
200.0,200,41.313917
200.0,200,41.498002
200.0,200,41.583439
200.0,200,41.679827
200.0,200,41.773931
200.0,200,41.851604
200.0,200,42.03717
200.0,200,42.131284
200.0,200,42.217274
200.0,200,42.303326
200.0,200,42.390851
200.0,200,42.585449
200.0,200,42.66593
200.0,200,42.750555
200.0,200,42.846602
200.0,200,42.94073
200.0,200,43.126098
200.0,200,43.226363
200.0,200,43.323795
200.0,200,43.415825
200.0,200,43.499447
200.0,200,43.67559
200.0,200,43.750429
200.0,200,43.831278
200.0,200,43.919994
200.0,200,44.008556
200.0,200,44.203482
200.0,200,44.29318
200.0,200,44.371767
200.0,200,44.478764
200.0,200,44.560046
200.0,200,44.642561
200.0,200,44.836965
200.0,200,44.937394
200.0,200,45.038546
200.0,200,45.126068
200.0,200,45.20036
200.0,200,45.385556
200.0,200,45.476332
200.0,200,45.57459
200.0,200,45.678134
200.0,200,45.77982
200.0,200,45.958731
200.0,200,46.038716
200.0,200,46.117597
200.0,200,46.195228
200.0,200,46.295373
200.0,200,46.484055
200.0,200,46.570331
200.0,200,46.668184
200.0,200,46.7454
200.0,200,46.829343
200.0,200,46.994136
200.0,200,47.079545
200.0,200,47.164809
200.0,200,47.251914
200.0,200,47.339731
200.0,200,47.518159
200.0,200,47.597831
200.0,200,47.679837
200.0,200,47.766095
200.0,200,47.84957
200.0,200,48.047787
200.0,200,48.127097
200.0,200,48.210137
200.0,200,48.293749
200.0,200,48.383789
200.0,200,48.552372
200.0,200,48.63231
200.0,200,48.733679
200.0,200,48.836008
200.0,200,48.937623
200.0,200,49.04059
200.0,200,49.225525
200.0,200,49.309577
200.0,200,49.385024
200.0,200,49.474304
200.0,200,49.570256
200.0,200,49.766722
200.0,200,49.868141
200.0,200,49.949919
200.0,200,50.028497
200.0,200,50.113471
200.0,200,50.303926
200.0,200,50.406549
200.0,200,50.509433
200.0,200,50.598444
200.0,200,50.679661
200.0,200,50.89363
200.0,200,50.97143
200.0,200,51.055728
200.0,200,51.154512
200.0,200,51.248046
200.0,200,51.42591
200.0,200,51.505001
200.0,200,51.580296
200.0,200,51.67028
200.0,200,51.750559
200.0,200,51.939513
200.0,200,52.040988
200.0,200,52.142884
200.0,200,52.233732
200.0,200,52.325155
200.0,200,52.50446
200.0,200,52.588167
200.0,200,52.687487
200.0,200,52.789256
200.0,200,52.894592
200.0,200,53.088424
200.0,200,53.168072
200.0,200,53.257114
