# {"t_start": 1541100844.3280404, "env_id": "LunarLander-v2"} 
r,l,t
-273.401111,100,22.103791
-102.925692,98,22.1849
-75.736562,67,22.237987
-79.583115,89,22.310005
-98.523067,67,22.362308
-220.879112,100,22.440221
-253.870126,100,22.521695
-80.341107,128,22.629808
-226.109056,106,22.71726
-219.941522,79,22.780925
-351.159738,140,22.896453
-120.351622,68,22.949713
-100.570171,95,23.025721
-188.593224,112,23.117805
-102.746542,92,23.191548
-101.259198,69,23.245909
-86.160793,63,23.296376
-119.144549,87,23.364026
-155.76065,77,23.831188
-181.439322,92,23.90456
-158.125401,81,23.969421
-104.018879,74,24.027508
-283.420876,100,24.109255
-73.813269,77,24.170562
-131.801599,105,24.258601
-83.680522,57,24.302736
-107.906888,111,24.392491
-238.797343,65,24.444884
-128.571789,112,24.536978
-259.928472,89,24.608148
-97.146686,68,24.662261
-96.281668,107,24.748657
-124.488399,95,24.82492
-131.488045,100,24.906383
-68.105439,72,24.963744
-150.964624,97,25.041651
-176.398415,62,25.091469
-159.068289,146,25.213914
-149.080264,99,25.294015
-236.550379,102,25.376131
-206.263664,77,25.437944
-96.766075,93,25.512312
-76.696342,77,25.573092
-127.43715,114,25.665818
-80.813166,90,25.737815
-88.951796,81,25.803304
-180.314664,116,25.896718
-162.294189,101,25.977054
-111.04041,71,26.033353
-226.211457,121,26.132982
2.227841,125,26.236312
3.796425,101,26.31805
-7.743173,72,26.375716
-186.974425,68,26.430446
-190.960356,72,26.487593
-161.090115,94,26.563728
-35.950577,110,26.655595
-167.369408,104,26.739439
-59.323301,70,26.795954
-126.499363,92,26.869138
-88.816754,107,26.957096
-194.06835,124,27.060604
-331.776128,81,27.125941
-242.171655,101,27.62173
-110.439224,82,27.688791
-173.00947,109,27.777488
-440.400972,98,27.857479
-93.226434,57,27.902921
-111.043119,116,27.996284
-96.091307,76,28.05712
-81.837158,72,28.113448
-113.033179,88,28.183483
-224.939198,109,28.273177
-74.757493,65,28.324787
-85.352339,62,28.374461
-62.594183,66,28.426512
-89.65939,124,28.528876
7.277751,128,28.63554
-237.065369,80,28.697964
-200.208914,155,28.833741
-170.888755,99,28.913267
-147.678657,108,29.002797
-125.366604,70,29.058821
-79.973857,69,29.113113
-163.848182,88,29.183353
-190.950262,97,29.26202
-277.041591,135,29.374569
-318.967892,111,29.465029
-80.862612,80,29.530712
-166.310871,67,29.583977
-112.373209,91,29.658125
-123.464195,81,29.722597
-183.406835,75,29.783729
-194.288496,110,29.875938
-80.741222,76,29.935347
-104.709725,63,29.985076
-99.995923,104,30.069315
-189.363376,114,30.163477
