entropy,meankl,entloss,EpRewMean,EpThisIter,ev_tdlam_before,EpisodesSoFar,TimestepsSoFar,surrgain,EpLenMean,optimgain,TimeElapsed
0.5736994,0.00082052394,0.0,197.125,5,0.4750346541404724,636,76725,0.0035337857,197.125,0.0035337857,40.880910873413086
0.57210326,0.00076547754,0.0,197.125,5,0.3667528033256531,641,77725,0.0042553293,197.125,0.0042553293,41.450510025024414
0.5688832,0.00081573625,0.0,195.7,6,-0.19329845905303955,647,78753,0.0064421985,195.7,0.0064421985,42.00860524177551
0.5763398,0.0006892332,0.0,193.575,6,0.058580219745635986,653,79868,0.004126676,193.575,0.004126676,42.54809284210205
0.57396793,0.00072951295,0.0,193.575,5,0.2853693962097168,658,80868,0.0034541006,193.575,0.0034541006,43.10855555534363
0.5726343,0.00063405355,0.0,193.575,5,0.10866761207580566,663,81868,0.004657992,193.575,0.004657992,43.64258122444153
0.5675869,0.0004498078,0.0,193.575,5,0.3642922639846802,668,82868,0.0034648557,193.575,0.0034648557,44.17284822463989
0.57854664,0.0007097243,0.0,193.575,5,0.3322504758834839,673,83868,0.0028902444,193.575,0.0028902444,44.69772219657898
0.55506533,0.000651925,0.0,192.15,5,0.33356010913848877,678,84811,0.0059981644,192.15,0.0059981644,45.20649290084839
0.57351524,0.0007948372,0.0,192.125,6,0.1310597062110901,684,85982,0.0042182803,192.125,0.0042182803,45.771811962127686
0.5484429,0.0005539189,0.0,194.5,5,0.43407851457595825,689,86933,0.0046726954,194.5,0.0046726954,46.30128765106201
0.5589584,0.0005318936,0.0,196.625,5,0.45010483264923096,694,87933,0.0022436625,196.625,0.0022436625,46.85866737365723
0.5692178,0.0007216922,0.0,195.3,6,0.05449908971786499,700,89080,0.0056395135,195.3,0.0056395135,47.422903060913086
0.59316885,0.0008240921,0.0,195.3,5,0.23754090070724487,705,90080,0.0037456937,195.3,0.0037456937,47.9603226184845
0.5860125,0.0005079254,0.0,195.3,5,0.44575363397598267,710,91080,0.0023933682,195.3,0.0023933682,48.484254598617554
0.59295714,0.0008801253,0.0,196.725,5,0.4112354516983032,715,92080,0.0044129957,196.725,0.0044129957,49.03399872779846
0.575628,0.00061413203,0.0,196.725,5,0.3050673007965088,720,93080,0.0036263044,196.725,0.0036263044,49.61112356185913
0.59355843,0.00074023625,0.0,197.45,5,0.30497342348098755,725,94080,0.0036236248,197.45,0.0036236248,50.12746715545654
0.57041574,0.00071553705,0.0,198.675,5,0.5311769247055054,730,95080,0.0050539197,198.675,0.0050539197,50.70522856712341
0.5787667,0.00084389606,0.0,193.65,7,0.3663230538368225,737,96226,0.010272634,193.65,0.010272634,51.27314567565918
0.5658694,0.0006881164,0.0,193.65,5,0.465051531791687,742,97226,0.003012968,193.65,0.003012968,51.797075033187866
0.59568655,0.0005007372,0.0,193.65,5,0.4633764624595642,747,98226,0.0021709763,193.65,0.0021709763,52.32677245140076
0.5769109,0.0005584307,0.0,193.65,5,0.3979839086532593,752,99226,0.0036718117,193.65,0.0036718117,52.8727662563324
0.58588326,0.00071135315,0.0,193.2,5,0.5267128944396973,757,100208,0.0037751738,193.2,0.0037751738,53.37272572517395
