EpRewMean,TimestepsSoFar,entloss,entropy,EpThisIter,optimgain,meankl,TimeElapsed,surrgain,ev_tdlam_before,EpisodesSoFar,EpLenMean
194.8,91126,0.0,0.5649041,6,0.0042733224,0.0009821865,71.53505802154541,0.0042733224,0.18816572427749634,741,194.8
194.8,92126,0.0,0.5809251,5,0.0024450673,0.0007884477,72.37335419654846,0.0024450673,0.4982776641845703,746,194.8
194.8,93126,0.0,0.57223165,5,0.0027537816,0.00077844434,73.12470173835754,0.0027537816,0.07578754425048828,751,194.8
199.25,94126,0.0,0.5937047,5,0.003484971,0.0010230623,74.01133942604065,0.003484971,0.422211229801178,756,199.25
199.25,95126,0.0,0.58860457,5,0.0025040938,0.0006746582,74.79754900932312,0.0025040938,0.3998901844024658,761,199.25
199.25,96126,0.0,0.57809526,5,0.0035194014,0.00082203443,75.65292692184448,0.0035194014,0.37218767404556274,766,199.25
199.25,97126,0.0,0.5800334,5,0.003704797,0.00089235086,76.45873856544495,0.003704797,0.20950061082839966,771,199.25
200.0,98126,0.0,0.5635998,5,0.0023526507,0.0004800773,77.28878927230835,0.0023526507,0.3415234088897705,776,200.0
199.025,99287,0.0,0.56440663,6,0.006470342,0.00083759456,78.10218667984009,0.006470342,0.459153413772583,782,199.025
199.025,100287,0.0,0.57699174,5,0.0043178517,0.0008005712,78.89045429229736,0.0043178517,0.21851801872253418,787,199.025
