# {"t_start": 1539261360.1928504, "env_id": "CartPole-v0"} 
r,l,t
47.0,47,8.324845
73.0,73,8.353997
98.0,98,8.402546
45.0,45,8.420846
69.0,69,8.449381
94.0,94,8.48892
191.0,191,8.580342
25.0,25,8.591179
100.0,100,8.986069
131.0,131,9.040456
68.0,68,9.067797
128.0,128,9.122066
69.0,69,9.155889
51.0,51,9.18124
74.0,74,9.217639
21.0,21,9.228358
127.0,127,9.289272
103.0,103,9.339944
41.0,41,9.359131
18.0,18,9.366604
20.0,20,9.374734
50.0,50,9.396007
106.0,106,9.768071
67.0,67,9.79365
77.0,77,9.823191
92.0,92,9.857975
113.0,113,9.901265
130.0,130,9.949665
127.0,127,9.996472
98.0,98,10.033555
133.0,133,10.091583
31.0,31,10.103378
98.0,98,10.140172
48.0,48,10.513736
151.0,151,10.578623
83.0,83,10.611278
78.0,78,10.642383
25.0,25,10.652372
170.0,170,10.722235
70.0,70,10.749898
46.0,46,10.768232
111.0,111,10.814451
134.0,134,10.875862
73.0,73,10.916533
131.0,131,11.358331
138.0,138,11.411769
159.0,159,11.473867
148.0,148,11.532398
118.0,118,11.580207
200.0,200,11.66211
109.0,109,11.707203
87.0,87,11.740683
200.0,200,12.217378
91.0,91,12.253751
167.0,167,12.320555
30.0,30,12.332975
156.0,156,12.395225
101.0,101,12.437459
147.0,147,12.499733
138.0,138,12.925673
122.0,122,12.986363
200.0,200,13.062885
132.0,132,13.115998
23.0,23,13.125866
33.0,33,13.139626
154.0,154,13.202527
131.0,131,13.255332
200.0,200,13.337451
145.0,145,13.776247
200.0,200,13.855979
151.0,151,13.915487
200.0,200,13.990252
191.0,191,14.06559
151.0,151,14.128531
133.0,133,14.534712
200.0,200,14.614356
150.0,150,14.673831
200.0,200,14.751824
166.0,166,14.81361
194.0,194,15.228339
192.0,192,15.313494
149.0,149,15.382484
177.0,177,15.449884
181.0,181,15.518011
200.0,200,15.594533
200.0,200,16.037968
187.0,187,16.134675
200.0,200,16.269962
191.0,191,16.380063
167.0,167,16.487525
200.0,200,16.993007
200.0,200,17.086292
157.0,157,17.159626
120.0,120,17.208875
200.0,200,17.311228
200.0,200,17.398661
183.0,183,17.8699
200.0,200,17.959834
200.0,200,18.045233
200.0,200,18.133907
200.0,200,18.216753
187.0,187,18.296942
74.0,74,18.690807
200.0,200,18.777268
182.0,182,18.855016
14.0,14,18.861504
200.0,200,18.954745
200.0,200,19.051444
200.0,200,19.511357
168.0,168,19.601853
200.0,200,19.69837
197.0,197,19.781306
200.0,200,19.863382
200.0,200,19.954929
200.0,200,20.42995
172.0,172,20.507588
167.0,167,20.581459
200.0,200,20.672746
182.0,182,20.752973
189.0,189,21.232717
200.0,200,21.324987
200.0,200,21.412335
175.0,175,21.482325
200.0,200,21.564832
179.0,179,22.020487
163.0,163,22.09603
181.0,181,22.168579
200.0,200,22.249593
200.0,200,22.330739
139.0,139,22.389441
200.0,200,22.842384
200.0,200,22.924122
171.0,171,22.996104
200.0,200,23.077814
200.0,200,23.158613
200.0,200,23.601432
200.0,200,23.687779
200.0,200,23.766214
200.0,200,23.849357
200.0,200,23.940659
200.0,200,24.03354
200.0,200,24.475749
200.0,200,24.553375
200.0,200,24.634994
200.0,200,24.712159
200.0,200,24.790749
200.0,200,25.235219
137.0,137,25.295631
200.0,200,25.378328
