meankl,surrgain,EpLenMean,TimeElapsed,optimgain,EpisodesSoFar,entropy,EpRewMean,EpThisIter,ev_tdlam_before,TimestepsSoFar,entloss
0.00032379522,0.0033889874,195.775,23.938245058059692,0.0033889874,508,0.56945217,195.775,5,0.20684289932250977,45029,0.0
0.0006625551,0.0039157923,195.775,24.44463586807251,0.0039157923,513,0.575969,195.775,5,0.08323913812637329,46029,0.0
0.0006623564,0.004232393,195.725,24.973483324050903,0.004232393,518,0.58280826,195.725,5,-0.022987961769104004,47020,0.0
0.00072636164,0.0044085965,195.15,25.499123096466064,0.0044085965,523,0.5861392,195.15,5,0.19452446699142456,47997,0.0
0.00074887543,0.0056783515,195.15,26.009601831436157,0.0056783515,528,0.5800668,195.15,5,0.14813649654388428,48997,0.0
0.00054592214,0.0027415645,192.475,26.51715874671936,0.0027415645,534,0.5732875,192.475,6,0.14885175228118896,50090,0.0
0.00076505286,0.0071934033,192.475,27.055898666381836,0.0071934033,539,0.58400184,192.475,5,0.13834553956985474,51090,0.0
0.0006531118,0.008802392,190.275,27.585747003555298,0.008802392,545,0.57395977,190.275,6,-0.10739707946777344,52040,0.0
0.00071363896,0.0052265027,189.775,28.1201651096344,0.0052265027,551,0.5835291,189.775,6,0.29400360584259033,53220,0.0
0.0006089997,0.0058025825,189.25,28.64299464225769,0.0058025825,556,0.5809749,189.25,5,0.3571017384529114,54199,0.0
0.0008115445,0.005832626,189.475,29.165897607803345,0.005832626,561,0.5856159,189.475,5,0.32819437980651855,55199,0.0
0.00067507755,0.0046068016,190.05,29.6405611038208,0.0046068016,566,0.5756645,190.05,5,0.07997298240661621,56199,0.0
0.0004562697,0.0034674844,192.55,30.11619544029236,0.0034674844,571,0.58714986,192.55,5,-0.22661423683166504,57192,0.0
0.0005643144,0.0047430396,191.35,30.64450168609619,0.0047430396,577,0.58296597,191.35,6,0.15621834993362427,58344,0.0
0.0007976877,0.0047345976,192.325,31.185434818267822,0.0047345976,582,0.57096374,192.325,5,0.15961778163909912,59324,0.0
0.0009236708,0.0062173726,197.1,31.69471526145935,0.0062173726,587,0.58179307,197.1,5,0.2700154781341553,60324,0.0
0.0005865165,0.005505152,198.125,32.22697377204895,0.005505152,592,0.57276946,198.125,5,0.2905842661857605,61324,0.0
0.0007651448,0.00716161,197.925,32.76422190666199,0.00716161,597,0.58545464,197.925,5,0.40843403339385986,62316,0.0
0.0005950318,0.003207215,197.925,33.27185821533203,0.003207215,602,0.5840955,197.925,5,0.22262215614318848,63316,0.0
