# {"t_start": 1539259246.4729233, "env_id": "CartPole-v0"} 
r,l,t
17.0,17,0.986024
32.0,32,0.998596
60.0,60,1.023235
12.0,12,1.028388
10.0,10,1.032446
57.0,57,1.055317
26.0,26,1.065864
13.0,13,1.070949
19.0,19,1.078681
26.0,26,1.089149
24.0,24,1.105356
20.0,20,1.117481
17.0,17,1.128627
14.0,14,1.137154
26.0,26,1.147825
27.0,27,1.162899
12.0,12,1.169011
13.0,13,1.174362
25.0,25,1.184434
20.0,20,1.199071
30.0,30,1.210891
11.0,11,1.216677
15.0,15,1.226638
16.0,16,1.234663
26.0,26,1.245567
16.0,16,1.252606
18.0,18,1.263968
17.0,17,1.273216
14.0,14,1.27929
11.0,11,1.283974
19.0,19,1.292309
19.0,19,1.306043
13.0,13,1.313276
44.0,44,1.335476
19.0,19,1.350055
18.0,18,1.35864
22.0,22,1.367593
12.0,12,1.3756
33.0,33,1.39432
22.0,22,1.403348
15.0,15,1.409775
21.0,21,1.424132
19.0,19,1.432524
19.0,19,1.440051
29.0,29,1.456316
19.0,19,1.464598
17.0,17,1.471664
11.0,11,1.476198
16.0,16,1.684219
31.0,31,1.697122
19.0,19,1.705366
12.0,12,1.710513
20.0,20,1.718965
38.0,38,1.733686
26.0,26,1.74495
11.0,11,1.749612
20.0,20,1.758286
13.0,13,1.764259
14.0,14,1.770854
14.0,14,1.776403
22.0,22,1.785211
47.0,47,1.80356
57.0,57,1.825004
32.0,32,1.838335
19.0,19,1.846219
28.0,28,1.857151
11.0,11,1.862081
16.0,16,1.868413
18.0,18,1.875899
17.0,17,1.882701
26.0,26,1.892536
10.0,10,1.896512
30.0,30,1.907853
15.0,15,1.914133
22.0,22,1.92406
16.0,16,1.930868
61.0,61,1.957585
39.0,39,1.975734
15.0,15,1.982715
13.0,13,1.988645
32.0,32,2.003457
38.0,38,2.020477
22.0,22,2.031266
31.0,31,2.045303
35.0,35,2.060989
13.0,13,2.066467
10.0,10,2.070823
18.0,18,2.079251
16.0,16,2.087358
43.0,43,2.105094
14.0,14,2.110904
24.0,24,2.20925
22.0,22,2.218967
20.0,20,2.22838
11.0,11,2.233521
22.0,22,2.243758
43.0,43,2.261865
41.0,41,2.279524
41.0,41,2.300058
22.0,22,2.311132
15.0,15,2.318601
16.0,16,2.32668
28.0,28,2.341133
22.0,22,2.352257
37.0,37,2.370768
18.0,18,2.379914
39.0,39,2.399257
53.0,53,2.422187
23.0,23,2.431715
31.0,31,2.444107
30.0,30,2.45606
14.0,14,2.461608
67.0,67,2.487988
34.0,34,2.501459
25.0,25,2.511444
56.0,56,2.534055
12.0,12,2.539044
14.0,14,2.544809
21.0,21,2.553365
18.0,18,2.562058
33.0,33,2.575199
13.0,13,2.580653
26.0,26,2.590924
30.0,30,2.602657
24.0,24,2.61273
19.0,19,2.620347
16.0,16,2.626743
12.0,12,2.631691
26.0,26,2.641838
27.0,27,2.733094
36.0,36,2.748106
20.0,20,2.75568
22.0,22,2.764125
22.0,22,2.77254
11.0,11,2.776806
44.0,44,2.794012
16.0,16,2.800179
30.0,30,2.811657
22.0,22,2.820485
17.0,17,2.827012
70.0,70,2.854245
32.0,32,2.870028
9.0,9,2.874547
17.0,17,2.88289
9.0,9,2.887373
48.0,48,2.910331
18.0,18,2.917916
17.0,17,2.925664
23.0,23,2.936544
19.0,19,2.943983
17.0,17,2.951224
32.0,32,2.96567
18.0,18,2.973545
15.0,15,2.9804
24.0,24,2.991159
36.0,36,3.007133
14.0,14,3.01355
26.0,26,3.024438
21.0,21,3.0335
18.0,18,3.041814
21.0,21,3.051481
59.0,59,3.077506
29.0,29,3.092251
26.0,26,3.105773
36.0,36,3.121495
20.0,20,3.130168
33.0,33,3.147281
34.0,34,3.166882
23.0,23,3.179565
32.0,32,3.294895
43.0,43,3.31296
33.0,33,3.326572
38.0,38,3.341491
39.0,39,3.356756
57.0,57,3.378925
18.0,18,3.386639
36.0,36,3.400908
25.0,25,3.410705
14.0,14,3.416326
19.0,19,3.423774
17.0,17,3.430494
23.0,23,3.439617
38.0,38,3.454488
44.0,44,3.472507
25.0,25,3.482496
84.0,84,3.516531
14.0,14,3.522481
19.0,19,3.533237
9.0,9,3.538475
13.0,13,3.545909
55.0,55,3.570676
14.0,14,3.576986
42.0,42,3.594307
34.0,34,3.608894
34.0,34,3.623104
15.0,15,3.629671
12.0,12,3.635506
71.0,71,3.662553
21.0,21,3.670937
17.0,17,3.678521
20.0,20,3.686682
37.0,37,3.703888
14.0,14,3.710752
55.0,55,3.845387
59.0,59,3.875795
20.0,20,3.885706
23.0,23,3.897542
23.0,23,3.909496
77.0,77,3.948027
93.0,93,3.994685
28.0,28,4.006097
37.0,37,4.022051
48.0,48,4.042068
45.0,45,4.06009
51.0,51,4.08011
15.0,15,4.086313
54.0,54,4.107857
25.0,25,4.117871
45.0,45,4.135962
92.0,92,4.174897
11.0,11,4.180736
11.0,11,4.186239
31.0,31,4.199588
31.0,31,4.213364
35.0,35,4.228152
15.0,15,4.234881
45.0,45,4.258899
12.0,12,4.266107
27.0,27,4.278102
35.0,35,4.404295
24.0,24,4.417493
41.0,41,4.435079
61.0,61,4.461982
49.0,49,4.483939
14.0,14,4.492075
35.0,35,4.508581
104.0,104,4.552722
13.0,13,4.559301
77.0,77,4.596945
21.0,21,4.607962
12.0,12,4.613267
17.0,17,4.620434
16.0,16,4.627169
11.0,11,4.632489
38.0,38,4.650394
25.0,25,4.662413
41.0,41,4.681753
49.0,49,4.70495
22.0,22,4.716297
92.0,92,4.761469
63.0,63,4.79364
61.0,61,4.822504
39.0,39,4.837751
112.0,112,4.968069
31.0,31,4.981102
23.0,23,4.990517
17.0,17,4.997746
