meankl,entloss,surrgain,optimgain,EpThisIter,TimestepsSoFar,ev_tdlam_before,TimeElapsed,EpLenMean,EpRewMean,EpisodesSoFar,entropy
0.0008726289,0.0,0.0028283002,0.0028283002,5,64411,0.1411646008491516,35.156487464904785,190.7,190.7,601,0.59721196
0.0010698063,0.0,0.0062800413,0.0062800413,5,65411,0.47810423374176025,35.66175723075867,190.7,190.7,606,0.5761384
0.0007896223,0.0,0.0017203039,0.0017203039,5,66411,-0.2617543935775757,36.22096228599548,194.05,194.05,611,0.58622324
0.000594876,0.0,0.0030947635,0.0030947635,5,67411,0.19968557357788086,36.7701153755188,200.0,200.0,616,0.5807722
0.0007379382,0.0,0.0022454737,0.0022454737,5,68411,0.22230833768844604,37.289605379104614,200.0,200.0,621,0.5911749
0.0008312733,0.0,0.0034448882,0.0034448882,6,69567,0.22329550981521606,37.86112833023071,198.9,198.9,627,0.58270156
0.0006883509,0.0,0.0018521836,0.0018521836,5,70567,-0.42435169219970703,38.44988441467285,198.9,198.9,632,0.5966184
0.00055707427,0.0,0.0031384535,0.0031384535,5,71567,0.14573532342910767,38.972299337387085,198.9,198.9,637,0.5855785
0.00067503436,0.0,0.0057830685,0.0057830685,5,72550,0.6662068665027618,39.552634716033936,198.475,198.475,642,0.58561087
0.0006861061,0.0,0.0018587888,0.0018587888,5,73550,0.21454787254333496,40.08114838600159,198.475,198.475,647,0.6009825
0.0008926926,0.0,0.002620237,0.002620237,6,74749,0.5258504748344421,40.6161162853241,198.45,198.45,653,0.5849259
0.00078024133,0.0,0.0048513496,0.0048513496,5,75749,0.6199924051761627,41.16481614112854,198.45,198.45,658,0.57442886
0.00078569364,0.0,0.0032103756,0.0032103756,5,76668,0.544994592666626,41.70986270904541,196.425,196.425,663,0.5759938
0.0007656269,0.0,0.002136511,0.002136511,5,77668,0.4224831461906433,42.262012243270874,197.525,197.525,668,0.58162606
0.0009220225,0.0,0.004502693,0.004502693,5,78668,0.3802434802055359,42.847068786621094,197.525,197.525,673,0.57614565
0.00076495344,0.0,0.0045721424,0.0045721424,6,79868,-0.08187901973724365,43.416287899017334,197.525,197.525,679,0.58397543
0.0008075725,0.0,0.003576423,0.003576423,5,80868,0.35899150371551514,44.00562763214111,197.95,197.95,684,0.5750162
0.0006632314,0.0,0.003218989,0.003218989,5,81868,0.4789072871208191,44.563800573349,197.95,197.95,689,0.5818209
0.00070123497,0.0,0.0017873412,0.0017873412,5,82868,0.6339873373508453,45.11845684051514,197.975,197.975,694,0.58658254
0.0006940189,0.0,0.002034342,0.002034342,5,83868,0.6022076308727264,45.6510226726532,197.975,197.975,699,0.5917175
0.00076380954,0.0,0.0074663907,0.0074663907,6,84918,0.4052020311355591,46.17832565307617,196.25,196.25,705,0.5592195
0.0006287818,0.0,0.0019823206,0.0019823206,5,85918,0.48873162269592285,46.72560477256775,196.25,196.25,710,0.5920121
0.0006835973,0.0,0.0043552513,0.0043552513,5,86918,0.8069195747375488,47.283467054367065,196.25,196.25,715,0.5882275
0.0007747304,0.0,0.0051742904,0.0051742904,6,88035,0.45593416690826416,47.852057695388794,194.175,194.175,721,0.5687686
0.0007960551,0.0,0.0061991923,0.0061991923,5,88903,0.5148669183254242,48.43191385269165,190.875,190.875,726,0.5625825
0.00068966707,0.0,0.0068977987,0.0068977987,6,90011,0.5326824486255646,48.96394968032837,188.575,188.575,732,0.55638003
0.0008429416,0.0,0.0021814834,0.0021814834,5,91011,0.6349146664142609,49.491204261779785,188.575,188.575,737,0.58484334
0.00077559095,0.0,0.0037692634,0.0037692634,5,92011,0.6708481311798096,50.078243017196655,189.35,189.35,742,0.5844557
0.0007383033,0.0,0.00250884,0.00250884,5,93011,-0.16484296321868896,50.66626262664795,192.325,192.325,747,0.59106195
0.0008035808,0.0,0.006071617,0.006071617,7,94179,0.17584002017974854,51.250558376312256,186.525,186.525,754,0.5673203
0.0006249589,0.0,0.0029840237,0.0029840237,5,95179,0.20515549182891846,51.817328691482544,186.525,186.525,759,0.5709715
0.00092881796,0.0,0.0027559474,0.0027559474,5,96179,0.06130838394165039,52.40374803543091,188.6,188.6,764,0.590085
0.0008647021,0.0,0.0047580227,0.0047580227,5,97179,0.6556702256202698,52.988524436950684,191.9,191.9,769,0.5662794
0.0009941305,0.0,0.0030997247,0.0030997247,5,98179,0.6084423959255219,53.528213024139404,194.2,194.2,774,0.5868063
0.000630048,0.0,0.0026480833,0.0026480833,5,99179,0.2217024564743042,54.11519169807434,194.2,194.2,779,0.5976361
0.00078142696,0.0,0.0040862877,0.0040862877,5,100179,0.3081628680229187,54.66729116439819,194.2,194.2,784,0.59242886
