meankl,EpisodesSoFar,EpLenMean,optimgain,entropy,ev_tdlam_before,TimeElapsed,TimestepsSoFar,EpRewMean,EpThisIter,entloss,surrgain
0.0007883223,489,191.8,0.0069806175,0.5877162,0.004921913146972656,22.91935920715332,42843,191.8,5,0.002938581,0.0040420364
0.0008489557,495,191.875,0.0069371155,0.5955648,0.2304123044013977,23.45429277420044,44008,191.875,6,0.0029778238,0.0039592916
0.0008770218,500,191.525,0.0059057167,0.5987592,0.17391890287399292,24.029353618621826,44994,191.525,5,0.0029937958,0.002911921
0.0006358761,505,193.875,0.0072815875,0.59908205,0.07546883821487427,24.545259475708008,45994,193.875,5,0.0029954102,0.0042861775
0.0007373528,510,191.775,0.009607595,0.59227073,0.47052228450775146,25.061280965805054,46910,191.775,5,0.0029613536,0.006646242
0.0008213926,516,193.325,0.0062748576,0.60512686,0.35868608951568604,25.5835599899292,48087,193.325,6,0.0030256342,0.0032492233
0.0004917486,521,190.6,0.006337735,0.59521115,0.5031612515449524,26.11226224899292,48978,190.6,5,0.0029760557,0.003361679
0.0008018438,527,192.75,0.006549049,0.6153426,0.31112003326416016,26.655556678771973,50153,192.75,6,0.003076713,0.0034723359
0.0008308405,532,191.85,0.0064181695,0.60301304,0.11437922716140747,27.170643091201782,51082,191.85,5,0.003015065,0.0034031041
0.00091478863,538,188.825,0.007873679,0.60540736,0.17497384548187256,27.685592651367188,52161,188.825,6,0.0030270368,0.0048466423
0.00075998675,545,180.975,0.009749965,0.58033603,0.32257694005966187,28.21412706375122,53233,180.975,7,0.00290168,0.006848285
0.0006309512,550,179.4,0.008333848,0.58446753,-0.023180127143859863,28.759887218475342,54086,179.4,5,0.0029223375,0.0054115104
0.0008463175,556,179.975,0.0071711666,0.5928879,0.25082916021347046,29.29169225692749,55286,179.975,6,0.0029644393,0.0042067273
0.0006885355,561,182.7,0.0062639713,0.6070792,0.2174978256225586,29.828542709350586,56286,182.7,5,0.0030353959,0.0032285755
0.00054426264,566,182.975,0.00629574,0.6050288,0.2851695418357849,30.336835145950317,57272,182.975,5,0.0030251439,0.0032705963
0.000800991,571,183.725,0.008278862,0.6022778,0.38276875019073486,30.8635356426239,58231,183.725,5,0.003011389,0.005267473
0.0006209039,577,184.175,0.0074543646,0.5833198,0.06554561853408813,31.404783964157104,59328,184.175,6,0.002916599,0.004537766
0.00065577694,583,186.6,0.005947211,0.59093845,0.30407869815826416,31.952959775924683,60385,186.6,6,0.002954692,0.0029925187
0.0007901493,588,191.8,0.00720272,0.5968764,0.2971143126487732,32.46840763092041,61358,191.8,5,0.0029843817,0.004218338
0.0008567438,593,191.8,0.007783605,0.5895395,0.21544098854064941,32.99566984176636,62358,191.8,5,0.0029476976,0.004835907
0.0007154357,599,187.55,0.008571975,0.60138476,0.25774264335632324,33.557729721069336,63388,187.55,6,0.0030069237,0.0055650515
0.001018923,605,185.0,0.009324317,0.5918516,0.4065362215042114,34.1006224155426,64472,185.0,6,0.002959258,0.006365059
0.0007560708,610,183.425,0.00776982,0.5740286,0.3109835982322693,34.65500831604004,65409,183.425,5,0.002870143,0.004899677
