surrgain,entloss,EpThisIter,meankl,ev_tdlam_before,EpLenMean,entropy,TimeElapsed,EpRewMean,optimgain,EpisodesSoFar,TimestepsSoFar
0.004898181,0.0,5,0.00073350524,-0.008142471313476562,191.2,0.60213566,24.181009769439697,191.2,0.004898181,510,44881
0.005188578,0.0,6,0.00089567865,-0.01683509349822998,190.475,0.6006582,24.716546297073364,190.475,0.005188578,516,45997
0.0068612224,0.0,5,0.0006769139,-0.0112687349319458,192.75,0.5924799,25.263561487197876,192.75,0.0068612224,521,46978
0.006416577,0.0,6,0.00076931086,-0.01879298686981201,191.45,0.59120667,25.801370859146118,191.45,0.006416577,527,48126
0.0049123466,0.0,5,0.0006790369,-0.017564892768859863,189.0,0.5758765,26.3413405418396,189.0,0.0049123466,532,49028
0.0027536992,0.0,6,0.0006163281,-0.012097597122192383,189.875,0.59051824,26.848461627960205,189.875,0.0027536992,538,50176
0.0039687008,0.0,5,0.0005259627,-0.01600658893585205,187.6,0.5965768,27.376569271087646,187.6,0.0039687008,543,51038
0.0020004795,0.0,6,0.00070990884,-0.017326712608337402,187.575,0.58467066,27.92188286781311,187.575,0.0020004795,549,52184
0.004532701,0.0,5,0.0011511915,-0.01627671718597412,188.9,0.58888185,28.456488132476807,188.9,0.004532701,554,53184
0.0051511787,0.0,5,0.0007928963,-0.016330242156982422,187.95,0.5826782,28.998420000076294,187.95,0.0051511787,559,54115
0.0041770856,0.0,5,0.00087962893,-0.019114971160888672,188.425,0.5929843,29.531753301620483,188.425,0.0041770856,564,55115
0.0033465642,0.0,6,0.00058670086,-0.02061009407043457,189.35,0.58607453,30.061613082885742,189.35,0.0033465642,570,56232
0.003434332,0.0,6,0.0005295304,-0.013269186019897461,188.975,0.5931336,30.582180738449097,188.975,0.003434332,576,57335
0.0038852273,0.0,5,0.00068239344,-0.008783936500549316,190.525,0.57057816,31.10678195953369,190.525,0.0038852273,581,58270
0.0038041994,0.0,5,0.00090870156,-0.015149235725402832,190.8,0.59523034,31.627986669540405,190.8,0.0038041994,586,59270
0.0032950998,0.0,6,0.0006296154,-0.015908002853393555,190.05,0.5815699,32.168052673339844,190.05,0.0032950998,592,60386
0.0038808656,0.0,5,0.00089081004,-0.011603474617004395,191.775,0.5848992,32.70474147796631,191.775,0.0038808656,597,61386
0.0060626995,0.0,5,0.0005827956,-0.015834689140319824,190.575,0.587788,33.26222062110901,190.575,0.0060626995,602,62338
0.005761104,0.0,6,0.00094206526,-0.016856789588928223,188.1,0.58421564,33.83795237541199,188.1,0.005761104,608,63416
0.0047098612,0.0,5,0.00060939934,-0.01839303970336914,189.05,0.5916095,34.35506558418274,189.05,0.0047098612,613,64394
0.005379582,0.0,5,0.0009399395,-0.016125798225402832,190.925,0.58139545,34.88982009887695,190.925,0.005379582,618,65372
0.005400496,0.0,6,0.0007238219,-0.01468515396118164,191.2,0.5660049,35.4075129032135,191.2,0.005400496,624,66518
0.0041373326,0.0,5,0.0007010821,-0.005980730056762695,191.525,0.58190155,35.9180474281311,191.525,0.0041373326,629,67518
0.00870845,0.0,6,0.0008569961,-0.006388187408447266,190.375,0.56730616,36.476869344711304,190.375,0.00870845,635,68601
0.0039524143,0.0,5,0.00079793227,-0.01198279857635498,190.5,0.58510375,37.02550458908081,190.5,0.0039524143,640,69582
0.0056692325,0.0,5,0.0008233794,-0.01278984546661377,191.0,0.55608904,37.57046914100647,191.0,0.0056692325,645,70545
0.005045994,0.0,5,0.0008517997,-0.01509857177734375,193.15,0.57074,38.13263177871704,193.15,0.005045994,650,71542
0.0038266242,0.0,6,0.00074277015,-0.0043822526931762695,192.325,0.5572778,38.66510891914368,192.325,0.0038266242,656,72665
0.0040893666,0.0,5,0.0007353877,-0.007027983665466309,193.6,0.5741339,39.190743923187256,193.6,0.0040893666,661,73662
0.005160482,0.0,5,0.00075427134,-0.009530305862426758,193.425,0.56664026,39.724366903305054,193.425,0.005160482,666,74655
0.0032851272,0.0,5,0.00073261926,-0.013452410697937012,193.425,0.5535277,40.25498175621033,193.425,0.0032851272,671,75655
0.0035722065,0.0,5,0.0007034081,-0.008363008499145508,195.5,0.56160873,40.79476451873779,195.5,0.0035722065,676,76621
0.0046346416,0.0,6,0.0007587441,-0.007748961448669434,196.475,0.57377297,41.32310914993286,196.475,0.0046346416,682,77804
0.0035535214,0.0,5,0.0005460258,-0.012345314025878906,195.85,0.57327473,41.882147789001465,195.85,0.0035535214,687,78776
0.0030347584,0.0,5,0.00060871895,-0.011186718940734863,195.725,0.57751125,42.410107374191284,195.725,0.0030347584,692,79771
0.0035615857,0.0,6,0.00055469247,-0.01278984546661377,195.2,0.5771823,42.9261257648468,195.2,0.0035615857,698,80870
0.0045289677,0.0,5,0.0008708454,-0.005689740180969238,194.7,0.57206917,43.47763991355896,194.7,0.0045289677,703,81843
0.0062451586,0.0,5,0.0006623521,-0.008605003356933594,192.8,0.57119733,44.003249406814575,192.8,0.0062451586,708,82767
0.0030924217,0.0,6,0.00038516504,-0.009702205657958984,193.65,0.57608724,44.54334568977356,193.65,0.0030924217,714,83967
0.0030221539,0.0,5,0.0004757088,-0.00861215591430664,194.075,0.59038424,45.07718372344971,194.075,0.0030221539,719,84967
0.0041789766,0.0,5,0.0008241703,-0.004287600517272949,194.775,0.5814424,45.57862734794617,194.775,0.0041789766,724,85967
0.005598628,0.0,5,0.0008195782,-0.004784107208251953,193.95,0.5593668,46.11629343032837,193.95,0.005598628,729,86934
0.004718068,0.0,5,0.00079656823,-0.009452104568481445,193.625,0.5749673,46.63283944129944,193.625,0.004718068,734,87916
0.0024793064,0.0,5,0.00054446084,-0.006758689880371094,196.15,0.57377183,47.148953437805176,196.15,0.0024793064,739,88916
0.005962889,0.0,6,0.0009835481,-0.007540464401245117,198.6,0.5652364,47.685142040252686,198.6,0.005962889,745,90111
0.0038336385,0.0,5,0.000814404,-0.007466673851013184,198.6,0.5739625,48.22339415550232,198.6,0.0038336385,750,91111
0.0034404814,0.0,5,0.0006151943,-0.006725430488586426,196.475,0.5830338,48.76152420043945,196.475,0.0034404814,755,92026
0.004611964,0.0,6,0.0009543646,-0.0077362060546875,193.025,0.5721303,49.28493547439575,193.025,0.004611964,761,93088
0.0026509676,0.0,5,0.00084318,-0.005548596382141113,191.8,0.55587876,49.807302713394165,191.8,0.0026509676,766,94039
0.007597809,0.0,6,0.00064841675,-0.0008581876754760742,192.25,0.5531856,50.33516025543213,192.25,0.007597809,772,95206
0.006433568,0.0,5,0.00070429035,-0.0034646987915039062,189.75,0.5606184,50.86692667007446,189.75,0.006433568,777,96106
0.007660942,0.0,6,0.0008358717,-0.004251360893249512,189.025,0.5551646,51.37010192871094,189.025,0.007660942,783,97272
0.0053943424,0.0,5,0.0007876619,-0.0008244514465332031,185.65,0.54652274,51.89884829521179,185.65,0.0053943424,788,98137
0.0052563073,0.0,6,0.00073240255,-0.005695819854736328,186.3,0.57418215,52.421305656433105,186.3,0.0052563073,794,99278
0.0041332617,0.0,5,0.00080508227,-0.0025833845138549805,187.65,0.55548453,52.93391537666321,187.65,0.0041332617,799,100252
