# {"env_id": "LunarLander-v2", "t_start": 1541100897.7366796} 
r,l,t
-93.345,66,21.723812
-192.075656,82,21.789027
-155.749013,154,21.929284
-182.991075,101,22.012488
-355.639267,86,22.085032
-128.153008,94,22.163067
-137.742285,97,22.242562
-5.530269,102,22.328915
-94.628135,114,22.423608
-159.429916,103,22.510879
-326.784085,92,22.587622
-166.73402,61,22.638537
-171.49268,74,22.699209
-92.788608,77,22.761233
-188.881898,137,22.877491
-212.487273,92,22.954267
16.858375,95,23.034787
54.630165,78,23.099322
-98.881966,64,23.152052
-104.27447,88,23.223376
-132.109308,106,23.312106
-144.618121,83,23.380246
-151.613518,101,23.465606
-326.715015,131,23.57839
-84.99228,70,23.636443
-181.768712,78,23.700532
-109.982384,79,23.764696
-104.411329,76,24.25265
-136.364832,112,24.346764
-107.239768,70,24.403013
-191.237165,81,24.471306
-114.522379,67,24.524972
-74.706015,72,24.586058
-134.075566,98,24.670245
-106.327127,56,24.714969
-144.231569,126,24.822494
-66.826552,76,24.886189
-117.35699,92,24.96573
-195.01296,110,25.05731
-89.355069,61,25.107087
-92.741846,103,25.192681
-142.324505,97,25.273223
-168.953852,92,25.350086
-139.818265,103,25.435461
-49.019604,64,25.487997
-115.16693,102,25.574949
-152.401849,88,25.645675
-141.071946,116,25.743016
-181.51406,121,25.846172
-44.365873,93,25.923518
-242.613407,74,25.986917
-25.771247,87,26.059595
-102.6282,86,26.128963
-95.351126,59,26.176916
-124.702769,90,26.274595
-107.57234,63,26.324927
-93.014315,63,26.377332
-105.819611,81,26.443997
-195.692936,78,26.507143
-136.994493,121,26.608832
-93.601508,72,26.66918
-150.97813,124,26.773517
-176.940989,100,26.87511
-93.285629,75,26.937483
-122.945817,100,27.0212
-71.620478,65,27.074378
-223.54872,107,27.167293
-217.486985,96,27.246207
-241.226343,110,27.339381
-120.019748,72,27.398057
-64.028905,68,27.455266
-121.970079,82,27.523772
-420.654837,123,27.630544
-86.097047,83,28.139667
-115.77904,125,28.247483
-122.278895,71,28.30562
-84.764648,62,28.357029
-354.536906,103,28.444769
-77.030158,66,28.499853
-161.559884,121,28.6013
-113.306646,95,28.67926
-98.572682,84,28.74895
-33.483841,69,28.806006
-89.4539,68,28.862819
25.985564,136,28.981488
-172.209162,110,29.073455
-54.604856,123,29.178693
-124.399933,105,29.266219
-87.440783,71,29.324533
-105.957857,90,29.399948
-160.836558,97,29.480949
-133.545632,65,29.533364
-184.813846,116,29.632149
-117.30457,94,29.710311
-65.841513,64,29.76268
-103.806646,92,29.83779
-152.816778,64,29.890684
-355.963196,132,30.005118
-295.642133,93,30.082766
-167.290649,96,30.163961
-72.627971,86,30.23672
-83.150567,60,30.286233
-112.151853,133,30.401888
-100.021365,80,30.469908
-177.287867,75,30.532551
-141.040152,79,30.597632
-189.035149,102,30.682314
-148.589522,62,30.7331
-106.535303,100,30.816939
-122.932403,116,30.913202
-95.305695,69,30.970119
-123.170278,100,31.052301
-117.228855,110,31.142474
-107.435585,127,31.251829
-188.291648,96,31.331717
-89.243775,57,31.377842
-128.831174,77,31.440398
-51.198169,62,31.49136
-59.668968,66,31.972914
-187.811791,122,32.077788
-111.967953,107,32.169319
-79.057682,101,32.253294
-96.371274,68,32.308744
-237.869816,90,32.384541
-108.677427,70,32.441361
-123.471775,100,32.524054
-87.961239,96,32.602595
-90.198474,69,32.660247
-89.24793,68,32.716385
-91.204562,63,32.767282
-108.210096,57,32.813002
-107.329241,63,32.864288
-21.501006,85,32.936961
-95.155003,101,33.022369
-111.225701,94,33.100801
-68.146144,74,33.162659
-81.869006,64,33.216039
-84.056611,74,33.276493
39.021811,90,33.353197
-138.301605,109,33.443935
-162.157257,123,33.547838
-126.65258,110,33.640678
-148.613066,119,33.740741
-165.669484,133,33.85599
-155.003644,116,33.953889
-135.733669,108,34.044051
-91.111504,79,34.109491
-127.681518,106,34.196467
-324.750337,113,34.29155
-227.109399,125,34.395431
-112.47553,113,34.491935
-104.76142,76,34.555371
-115.225568,112,34.648558
-86.116219,76,34.711426
-230.530817,91,34.788629
-124.817254,117,34.885443
-173.769195,86,34.956099
-54.610284,65,35.010032
-122.475231,110,35.104145
-109.004214,67,35.158682
-103.77067,69,35.215944
-164.820912,90,35.290176
-114.250597,87,35.363151
-61.839981,81,35.846664
-244.122008,114,35.943513
-81.235655,67,35.997967
-173.471009,130,36.112724
-117.024124,101,36.19866
-133.351079,70,36.257351
-177.125355,69,36.313185
-96.914798,85,36.385172
-156.914726,120,36.488067
-114.533362,107,36.57804
-124.105109,99,36.661917
-102.866459,71,36.721242
-30.457186,118,36.82181
-126.64172,91,36.907424
-119.541548,130,37.017157
-27.894573,118,37.117077
-126.910649,139,37.237969
-156.180215,88,37.311956
-150.359647,87,37.38473
-48.947368,85,37.456315
-260.574721,126,37.566512
-246.525483,112,37.661134
-96.352752,74,37.721451
-99.491107,67,37.776796
-330.687884,132,37.889573
-24.725732,163,38.032114
-178.461618,102,38.117846
-112.291548,111,38.21385
-102.708035,77,38.277637
-120.929828,97,38.359082
-80.630432,70,38.416347
-160.644293,127,38.525896
-170.877585,120,38.627475
-119.122243,75,38.688914
-103.440288,99,38.771409
-106.461125,101,38.85541
-76.50289,74,38.916421
-109.77599,110,39.008024
-110.871402,107,39.09922
-376.245528,109,39.191019
-97.553065,95,39.691905
-129.009071,71,39.750461
-121.853004,97,39.831694
-94.574276,88,39.904304
-119.681915,66,39.958076
-126.404971,122,40.061176
-113.247819,71,40.119663
-129.767563,79,40.186112
-109.333596,73,40.246485
-144.959269,132,40.360106
-97.062533,108,40.451796
-131.637642,85,40.522147
-114.665349,78,40.588539
-94.210236,120,40.690395
-87.604602,58,40.737953
-81.641624,70,40.796141
-104.995403,65,40.849409
-102.879817,68,40.905435
-114.215072,89,40.978877
-149.084612,83,41.04858
-124.091317,102,41.135161
-82.317812,69,41.19265
-81.603859,72,41.252197
-161.622763,124,41.357839
-117.022902,120,41.462819
-123.174458,93,41.540566
-90.553247,89,41.615098
-117.202758,115,41.711746
-80.883832,66,41.76656
-96.344724,93,41.84565
-124.512931,117,41.947063
-125.092537,79,42.012019
-95.656515,109,42.105232
-107.271052,67,42.160344
-125.235512,74,42.22238
-94.85428,70,42.280069
-89.712415,74,42.341575
-99.811848,68,42.396906
-126.504296,100,42.479962
-73.327667,67,42.535685
-114.564798,85,42.604541
-88.998842,63,42.656044
-147.01299,76,42.719618
-87.795195,75,42.78223
-199.249119,107,42.874563
-302.718172,134,42.991533
-66.795416,81,43.060511
-161.36849,93,43.566371
-300.586298,129,43.677933
-122.784117,89,43.754267
-51.093761,75,43.815465
-235.208653,114,43.911872
-112.328156,149,44.040268
-51.71404,130,44.152838
-78.910365,59,44.201009
-102.442624,96,44.280677
-77.952428,59,44.329314
-156.628687,131,44.441362
8.365318,133,44.557588
-106.493225,102,44.643589
-146.210531,94,44.721723
-93.35647,109,44.812049
-124.696539,82,44.880879
-115.640737,63,44.932886
-246.289794,92,45.009368
-123.934034,104,45.096805
-90.042592,71,45.155659
-138.275554,69,45.210967
-129.166817,64,45.26362
-172.24741,120,45.364533
-88.981175,129,45.477224
-111.621379,75,45.538399
-90.734522,58,45.586227
-67.391314,68,45.643699
-149.141455,112,45.741251
-143.037075,114,45.837621
-97.055176,102,45.924944
-115.168949,108,46.017699
-100.597535,89,46.093246
-120.446946,100,46.176111
-99.586241,77,46.240296
-133.74353,79,46.305944
-157.356984,128,46.415296
-166.072306,114,46.513461
-100.004234,115,46.613475
-130.340534,98,46.695613
-87.134068,59,46.74454
-292.359007,93,46.823411
-82.303974,75,46.88485
-120.160321,105,46.974997
-74.488877,133,47.5265
-111.987333,78,47.593156
-149.007501,86,47.666662
-87.100581,64,47.719452
-120.589738,112,47.813471
-155.402109,112,47.909415
-163.237349,88,47.982379
-116.978347,82,48.050879
-41.286386,66,48.106
-197.295044,94,48.183444
-189.155899,109,48.276642
-187.973957,79,48.341962
-151.999746,124,48.448981
-69.4456,101,48.535949
-96.502698,82,48.60459
-141.785374,74,48.666298
-139.565114,62,48.718536
-205.771931,113,48.816593
-131.33621,63,48.86909
-231.942348,114,48.968467
-135.911796,91,49.045172
-105.667454,69,49.101922
-136.805558,81,49.168359
-137.012493,87,49.240233
-161.039975,96,49.322281
-109.803221,67,49.378417
-107.435229,92,49.458045
-149.148091,121,49.561875
-112.295093,112,49.65704
-273.681787,130,49.773737
-121.033428,122,49.880826
-104.808908,91,49.9552
-188.720822,125,50.060652
-89.742415,64,50.113207
-109.455948,96,50.193158
-76.671677,72,50.25272
-92.608524,63,50.304833
-154.09401,116,50.403701
-127.891675,92,50.48177
-120.414774,71,50.541351
-2.542714,124,50.65064
-95.822068,68,50.707018
-99.455926,82,50.77509
-264.44693,108,50.868752
-142.064259,107,51.387001
-89.568588,84,51.456952
-124.282577,111,51.551489
-105.365919,76,51.61474
-195.548167,104,51.702928
-83.978975,115,51.799706
-95.285358,64,51.851671
-9.108904,135,51.968828
-138.177107,110,52.062067
-93.826328,80,52.13017
-105.447954,90,52.205377
-68.083092,112,52.299394
-125.73428,87,52.37275
-128.682818,87,52.443719
-105.73513,65,52.497313
-134.445596,89,52.569441
-95.24684,109,52.663486
-87.130453,72,52.723574
-155.24587,103,52.809662
-105.454099,89,52.88468
-84.807172,116,52.983982
-86.837821,85,53.055543
2.511157,75,53.119238
-121.623961,110,53.212595
-67.529267,59,53.260231
-64.519079,140,53.38026
-82.830825,70,53.437653
-107.983791,66,53.491119
-132.317432,87,53.562454
-87.564937,131,53.674339
-118.086729,72,53.734727
-149.587501,123,53.840574
-105.061126,90,53.914994
-80.228775,58,53.962628
-87.497715,101,54.048449
-92.847421,81,54.115723
-74.137093,119,54.21649
-73.840386,55,54.261138
-90.457035,76,54.324067
-130.070179,116,54.422128
-86.222399,74,54.482846
-88.454392,58,54.530389
-246.685181,119,54.632241
-221.983829,126,54.73875
-79.614218,84,55.230834
-54.799082,64,55.28313
