entropy,EpThisIter,ev_tdlam_before,optimgain,EpRewMean,EpisodesSoFar,entloss,TimestepsSoFar,meankl,surrgain,EpLenMean,TimeElapsed
0.51581573,5,0.6715173721313477,0.012261574,185.1,512,0.0,67447,0.004586244,0.012261574,185.1,36.658114433288574
0.51868737,5,0.5169950425624847,0.012259378,189.65,517,0.0,68431,0.005954325,0.012259378,189.65,37.23066520690918
0.5144748,6,0.2582036256790161,0.011498442,189.65,523,0.0,69631,0.004953752,0.011498442,189.65,37.79322624206543
0.5132201,5,0.35091084241867065,0.0073600425,189.7,528,0.0,70631,0.0023716255,0.0073600425,189.7,38.33095574378967
0.5034675,5,0.5461545884609222,0.0063239695,190.275,533,0.0,71631,0.0027918348,0.0063239695,190.275,38.878756046295166
0.5090604,5,0.143466055393219,0.0064519383,190.275,538,0.0,72631,0.004253929,0.0064519383,190.275,39.4533486366272
0.50148565,5,0.3141476511955261,0.009916967,190.075,543,0.0,73559,0.004151037,0.009916967,190.075,39.983938217163086
0.5310874,5,0.06758105754852295,0.0057758633,197.6,548,0.0,74559,0.0048064296,0.0057758633,197.6,40.53084921836853
0.5296389,6,0.34384143352508545,0.013246151,197.8,554,0.0,75759,0.0037972098,0.013246151,197.8,41.066277265548706
0.5146918,5,0.24658042192459106,0.007906506,198.2,559,0.0,76759,0.0039826403,0.007906506,198.2,41.60573410987854
0.5277634,5,0.2714310884475708,0.011289386,198.2,564,0.0,77759,0.0043741143,0.011289386,198.2,42.18097686767578
0.5018026,6,0.33171337842941284,0.011806509,195.2,570,0.0,78839,0.006342463,0.011806509,195.2,42.76416611671448
0.54590106,5,0.7201078236103058,0.012393641,195.2,575,0.0,79839,0.0047098445,0.012393641,195.2,43.325037717819214
0.51811403,5,0.5582961142063141,0.010710666,195.1,580,0.0,80835,0.0042140875,0.010710666,195.1,43.84723949432373
0.52715164,5,0.5487789213657379,0.0086738905,196.9,585,0.0,81835,0.003564255,0.0086738905,196.9,44.38105392456055
0.5399197,5,0.5363504588603973,0.008860835,196.9,590,0.0,82835,0.003891828,0.008860835,196.9,44.95443248748779
0.5194941,5,0.2679661512374878,0.013025471,196.9,595,0.0,83835,0.0039856075,0.013025471,196.9,45.50933361053467
0.5422158,5,0.44481533765792847,0.007926684,196.9,600,0.0,84835,0.00363969,0.007926684,196.9,46.098031520843506
0.5445174,5,0.4109865427017212,0.012340238,196.9,605,0.0,85835,0.004414348,0.012340238,196.9,46.68946409225464
0.53935504,6,0.4027065634727478,0.013343086,199.9,611,0.0,87035,0.0043565705,0.013343086,199.9,47.19967603683472
0.5330993,5,0.4846498370170593,0.0104448525,197.425,616,0.0,87936,0.0030403272,0.0104448525,197.425,47.74817132949829
0.53065777,5,0.5575028955936432,0.009200028,197.525,621,0.0,88936,0.0028682335,0.009200028,197.525,48.310720443725586
0.51554656,5,0.6785367727279663,0.01088055,197.525,626,0.0,89936,0.004056225,0.01088055,197.525,48.815956115722656
