ev_tdlam_before,surrgain,EpLenMean,entropy,TimeElapsed,EpThisIter,entloss,EpRewMean,TimestepsSoFar,optimgain,meankl,EpisodesSoFar
0.9948688358999789,0.0040827496,175.875,0.57875764,24.749383449554443,6,0.0,175.875,46036,0.0040827496,0.0012228638,617
0.9908962249755859,0.0033972235,177.175,0.58375573,25.281632661819458,5,0.0,177.175,47011,0.0033972235,0.0008459573,622
0.9956884584389627,0.0060907677,173.2,0.57644045,25.829012155532837,6,0.0,173.2,48009,0.0060907677,0.00081596524,628
0.9929455704987049,0.0035532224,175.45,0.5858911,26.384580373764038,6,0.0,175.45,49088,0.0035532224,0.0010761129,634
0.9805892277508974,0.003932342,176.225,0.57474875,26.885210752487183,6,0.0,176.225,50118,0.003932342,0.0009663612,640
0.9975335355848074,0.011127414,175.35,0.5883086,27.449499130249023,6,0.0,175.35,51137,0.011127414,0.0009872944,646
0.9970336938276887,0.0076986877,174.125,0.59426594,28.002315998077393,6,0.0,174.125,52131,0.0076986877,0.00077622815,652
0.9847604017704725,0.0029728222,170.125,0.5635507,28.510172128677368,7,0.0,170.125,53241,0.0029728222,0.0007112153,659
0.9970290779601783,0.009218529,168.2,0.5908457,29.051801204681396,6,0.0,168.2,54249,0.009218529,0.00059359823,665
0.9815401677042246,0.0039406233,168.85,0.5904658,29.607267141342163,5,0.0,168.85,55113,0.0039406233,0.00060170423,670
0.9458660557866096,0.0070787533,170.475,0.571331,30.10768461227417,6,0.0,170.475,56253,0.0070787533,0.0007809324,676
0.9942958545871079,0.0071491348,171.175,0.5836524,30.646677017211914,6,0.0,171.175,57288,0.0071491348,0.0006345717,682
0.9594668820500374,0.01091806,173.25,0.57468593,31.170912742614746,5,0.0,173.25,58238,0.01091806,0.00058146525,687
0.9673709534108639,0.003999018,174.475,0.5759452,31.712251901626587,6,0.0,174.475,59303,0.003999018,0.00072579156,693
0.9797795228660107,0.005423911,177.05,0.570966,32.284114360809326,6,0.0,177.05,60323,0.005423911,0.00079830125,699
0.9969301547389477,0.008642243,178.025,0.57435906,32.80693340301514,6,0.0,178.025,61370,0.008642243,0.0008328558,705
0.9832863602787256,0.008017372,178.05,0.58014137,33.2946400642395,6,0.0,178.05,62431,0.008017372,0.0008817591,711
0.9749116506427526,0.010081744,175.95,0.5662323,33.77769136428833,6,0.0,175.95,63459,0.010081744,0.00085218926,717
0.990358660928905,0.007735932,175.8,0.5691672,34.32129979133606,6,0.0,175.8,64495,0.007735932,0.00074765406,723
0.9823458436876535,0.0064926557,173.975,0.58437574,34.853148460388184,6,0.0,173.975,65523,0.0064926557,0.00090601074,729
0.9926211247220635,0.010792385,173.45,0.5684869,35.39490103721619,5,0.0,173.45,66441,0.010792385,0.0010444622,734
