EpRewMean,entropy,EpThisIter,TimestepsSoFar,EpisodesSoFar,meankl,ev_tdlam_before,TimeElapsed,surrgain,entloss,optimgain,EpLenMean
184.05,0.5872419,6,84930,722,0.0007566279,-0.0003597736358642578,45.982887506484985,0.0047125146,0.0,0.0047125146,184.05
179.475,0.5719259,6,85947,728,0.0006274353,-9.799003601074219e-05,46.55063319206238,0.0042839614,0.0,0.0042839614,179.475
182.7,0.57741874,5,86863,733,0.0008373461,-0.0002149343490600586,47.08039879798889,0.004821946,0.0,0.004821946,182.7
183.5,0.5754143,6,88014,739,0.0008481981,-0.00025582313537597656,47.57909107208252,0.0064662434,0.0,0.0064662434,183.5
183.925,0.5745076,5,88990,744,0.00079676433,-0.00026226043701171875,48.13888192176819,0.0066969395,0.0,0.0066969395,183.925
183.1,0.58124936,5,89957,749,0.0009840976,-0.00030481815338134766,48.661362409591675,0.0045607584,0.0,0.0045607584,183.1
184.725,0.57348263,6,91131,755,0.0007041496,-0.00016069412231445312,49.20731973648071,0.0044115186,0.0,0.0044115186,184.725
187.2,0.5923638,5,92131,760,0.00068947405,-0.00021958351135253906,49.76551127433777,0.0030754653,0.0,0.0030754653,187.2
193.45,0.57390857,5,93115,765,0.000567212,-0.00021255016326904297,50.279574155807495,0.0040171584,0.0,0.0040171584,193.45
196.3,0.58661544,5,94115,770,0.0006991995,-0.0002046823501586914,50.836007833480835,0.006115268,0.0,0.006115268,196.3
193.35,0.57569075,6,95148,776,0.000857162,-0.0001684427261352539,51.333921670913696,0.0052101077,0.0,0.0052101077,193.35
191.925,0.5635897,5,96091,781,0.00073643087,-0.0002079010009765625,51.91422939300537,0.0047108144,0.0,0.0047108144,191.925
190.65,0.56262195,6,97216,787,0.0008793392,-0.00023233890533447266,52.490726470947266,0.0060850433,0.0,0.0060850433,190.65
192.125,0.59278595,5,98216,792,0.00078288745,-0.00020420551300048828,53.044429063797,0.0046060355,0.0,0.0046060355,192.125
191.1,0.57652605,5,99175,797,0.0007255627,-0.0001747608184814453,53.59911012649536,0.005038638,0.0,0.005038638,191.1
191.5,0.565382,5,100175,802,0.0008757487,-0.0002206563949584961,54.15005421638489,0.004439761,0.0,0.004439761,191.5
