EpRewMean,entloss,entropy,EpLenMean,ev_tdlam_before,meankl,EpThisIter,EpisodesSoFar,TimestepsSoFar,TimeElapsed,surrgain,optimgain
169.625,0.061903574,0.6190357,169.625,0.007764041423797607,0.0007881023,5,492,43894,23.582296133041382,0.005233383,0.06713696
172.475,0.060303476,0.60303473,172.475,0.00662839412689209,0.00045595202,6,498,45008,24.15699315071106,0.0024923207,0.062795796
177.975,0.06068767,0.6068767,177.975,0.09746068716049194,0.00079395354,6,504,46067,24.738727569580078,0.0028549149,0.06354258
184.35,0.060531426,0.60531425,184.35,0.007124841213226318,0.00065457553,5,509,47002,25.3258056640625,0.0034080413,0.06393947
177.425,0.05981184,0.5981184,177.425,0.0304526686668396,0.0006501251,7,516,48125,25.88678789138794,0.0044676797,0.06427952
178.525,0.05993382,0.5993382,178.525,0.0038849711418151855,0.0006528527,5,521,49033,26.497416019439697,0.002306058,0.062239878
175.5,0.060283847,0.60283846,175.5,0.014526724815368652,0.0006274461,7,528,50114,27.10170555114746,0.002764704,0.06304855
174.9,0.06150301,0.6150301,174.9,0.07195299863815308,0.00083060586,5,533,51090,27.66590642929077,0.0032158163,0.06471883
170.95,0.059826996,0.59826994,170.95,8.809566497802734e-05,0.00088383985,6,539,52046,28.199825286865234,0.0046830974,0.06451009
171.475,0.059632637,0.59632635,171.475,0.024074673652648926,0.0010188785,6,545,53126,28.77842426300049,0.005645031,0.065277666
172.125,0.06042784,0.6042784,172.125,0.006057381629943848,0.0006745993,6,551,54210,29.33078408241272,0.0023261306,0.06275397
165.2,0.05917662,0.5917662,165.2,0.05985760688781738,0.0007911254,8,559,55241,29.905561447143555,0.0070114606,0.06618808
165.0,0.06126375,0.6126375,165.0,0.10894042253494263,0.0009002433,6,565,56294,30.459164142608643,0.0035253598,0.06478911
167.075,0.060095876,0.60095876,167.075,0.029111504554748535,0.00066837994,5,570,57173,31.026491403579712,0.008611745,0.06870762
163.125,0.05967194,0.5967194,163.125,0.031918227672576904,0.0007418223,6,576,58215,31.565516471862793,0.004361931,0.064033866
170.925,0.061324406,0.61324406,170.925,0.04195636510848999,0.00076427293,5,581,59215,32.146751403808594,0.0034057791,0.06473018
166.65,0.060072523,0.60072523,166.65,0.08242762088775635,0.0006568931,7,588,60386,32.72471475601196,0.008142878,0.0682154
168.8,0.06074629,0.6074629,168.8,0.24075573682785034,0.0007566667,6,594,61384,33.2459557056427,0.004763991,0.06551028
176.675,0.059958875,0.59958875,176.675,0.08310163021087646,0.000652082,5,599,62308,33.802700996398926,0.0044799945,0.06443887
178.225,0.05989228,0.5989228,178.225,0.2739247679710388,0.0009818496,6,605,63423,34.36261868476868,0.005742488,0.065634765
178.925,0.0606442,0.606442,178.925,-0.0036929845809936523,0.0004492608,5,610,64330,34.88866066932678,0.0035363014,0.0641805
182.75,0.05857677,0.5857677,182.75,0.07014995813369751,0.0008988773,6,616,65525,35.43270134925842,0.0064858636,0.065062635
176.2,0.058676947,0.58676946,176.2,0.08189630508422852,0.00053750933,6,622,66463,36.03094124794006,0.006175261,0.06485221
178.975,0.05982784,0.5982784,178.975,0.07032769918441772,0.0008717169,6,628,67545,36.562023401260376,0.004626562,0.06445441
181.825,0.0603611,0.603611,181.825,-0.008339762687683105,0.0008785175,5,633,68508,37.09256362915039,0.004207915,0.06456901
184.125,0.060673278,0.6067328,184.125,0.3295357823371887,0.00090103666,5,638,69473,37.67349934577942,0.0065671336,0.06724041
177.425,0.05842508,0.5842508,177.425,-0.04653608798980713,0.0007553471,7,645,70520,38.241858959198,0.006991039,0.06541612
172.625,0.0576621,0.576621,172.625,-0.004106402397155762,0.00053018646,7,652,71635,38.788459062576294,0.004224728,0.06188683
164.475,0.057482827,0.57482827,164.475,0.008109688758850098,0.00081653445,7,659,72591,39.372511863708496,0.008187806,0.06567063
168.2,0.059377264,0.59377265,168.2,0.04890376329421997,0.0007715939,5,664,73591,39.943177700042725,0.0039237295,0.063301
