EpLenMean,optimgain,EpisodesSoFar,EpRewMean,TimeElapsed,entloss,meankl,surrgain,entropy,ev_tdlam_before,TimestepsSoFar,EpThisIter
196.6,0.0054941475,740,196.6,43.77986741065979,0.0,0.0006658031,0.0054941475,0.54933476,5.269050598144531e-05,91026,5
196.875,0.0052036354,745,196.875,44.2926812171936,0.0,0.00081875053,0.0052036354,0.55415714,-3.266334533691406e-05,92005,5
194.475,0.008046964,751,194.475,44.77348303794861,0.0,0.0009011051,0.008046964,0.5589016,8.51750373840332e-05,93109,6
194.475,0.007806903,756,194.475,45.24174356460571,0.0,0.00089631556,0.007806903,0.5535642,3.62396240234375e-05,94109,5
194.475,0.004423771,761,194.475,45.71879768371582,0.0,0.000714644,0.004423771,0.58055246,6.67572021484375e-06,95109,5
192.15,0.0050713215,767,192.15,46.2056348323822,0.0,0.00066194567,0.0050713215,0.5469313,0.0001652240753173828,96190,6
192.15,0.0035818066,772,192.15,46.686655044555664,0.0,0.0008276714,0.0035818066,0.56621826,-6.16312026977539e-05,97190,5
194.1,0.006762489,777,194.1,47.15430808067322,0.0,0.0009752929,0.006762489,0.5623354,0.00016325712203979492,98190,5
194.1,0.0060984315,782,194.1,47.625828981399536,0.0,0.00057226577,0.0060984315,0.5378437,0.0001398921012878418,99190,5
195.325,0.0053928727,787,195.325,48.1237907409668,0.0,0.00088795344,0.0053928727,0.5583983,8.100271224975586e-05,100190,5
