total_timesteps,value_loss,nupdates,policy_entropy,explained_variance,fps
5,12.210195541381836,1,0.6931465864181519,-0.16864120960235596,71
500,11.090428352355957,100,0.6931469440460205,0.009235739707946777,900
1000,10.955156326293945,200,0.6931445002555847,0.022869765758514404,989
1500,7.2862725257873535,300,0.693142294883728,-0.04074215888977051,990
2000,8.517605781555176,400,0.6929980516433716,-0.07515597343444824,1003
2500,10.97812271118164,500,0.6930946707725525,0.007853567600250244,1020
3000,10.248671531677246,600,0.6928027868270874,-0.0036634206771850586,1030
3500,10.173556327819824,700,0.6917628645896912,0.13642573356628418,1035
4000,6.4613800048828125,800,0.6911705136299133,0.23154962062835693,1044
4500,9.97490406036377,900,0.6901465654373169,-0.2746584415435791,1052
5000,8.339674949645996,1000,0.6868188381195068,-0.07232439517974854,1053
5500,5.132513999938965,1100,0.6166707277297974,0.15125435590744019,1057
6000,4.0202507972717285,1200,0.6832078695297241,-0.13557851314544678,1045
6500,5.475139141082764,1300,0.6905374526977539,0.20687544345855713,1046
7000,7.428137302398682,1400,0.6851597428321838,-0.34237802028656006,1049
7500,6.09495735168457,1500,0.6884523630142212,-0.1457691192626953,1049
8000,4.444182395935059,1600,0.691861629486084,0.10957956314086914,1050
8500,445.9607849121094,1700,0.6909716725349426,0.11158627271652222,1052
9000,4.077931880950928,1800,0.6815081834793091,-0.0034254789352416992,1054
9500,3.5050384998321533,1900,0.6914965510368347,-0.0007756948471069336,1055
10000,3.2177977561950684,2000,0.6875945329666138,-0.00029015541076660156,1054
10500,1914.881591796875,2100,0.691572904586792,0.40088343620300293,1056
11000,2.8628063201904297,2200,0.6552637815475464,0.009682238101959229,1056
11500,2.8141353130340576,2300,0.692386269569397,-0.19199109077453613,1057
12000,0.6183537244796753,2400,0.6882466077804565,0.5036152005195618,1057
12500,1056.1131591796875,2500,0.6822818517684937,0.09803885221481323,1056
13000,0.904213547706604,2600,0.6895335912704468,0.599313497543335,1056
13500,0.5543997883796692,2700,0.6912181377410889,0.11159259080886841,1055
14000,3.822697401046753,2800,0.6823888421058655,-2.868535041809082,1057
14500,2.233977794647217,2900,0.6928665637969971,-1.2308945655822754,1054
15000,3.290700912475586,3000,0.6870030164718628,-5.357356071472168,1053
15500,0.5322480201721191,3100,0.6900612115859985,-1.0176780223846436,1054
16000,0.5187268257141113,3200,0.6929279565811157,0.08866232633590698,1055
16500,1.4614222049713135,3300,0.689224362373352,-2.5483858585357666,1057
17000,1.1185976266860962,3400,0.6763659119606018,-0.31185078620910645,1057
17500,0.8980177044868469,3500,0.6663382649421692,0.15573471784591675,1058
18000,1701.0279541015625,3600,0.6607075929641724,0.19908452033996582,1058
18500,1.5609571933746338,3700,0.6895134449005127,-2.481612205505371,1059
19000,9.376165390014648,3800,0.6883164048194885,-2.8515987396240234,1060
19500,2.182494640350342,3900,0.6837034225463867,-8.832841873168945,1060
20000,0.48956331610679626,4000,0.692949652671814,-0.08122193813323975,1060
20500,18.884891510009766,4100,0.6885185241699219,-0.6070364713668823,1060
21000,0.7465641498565674,4200,0.690783679485321,-8.246399879455566,1061
21500,0.526819109916687,4300,0.6917866468429565,-1.2532610893249512,1061
22000,0.5387541055679321,4400,0.6908694505691528,-3.203960418701172,1062
22500,3996.117919921875,4500,0.6846621036529541,0.06309723854064941,1063
23000,0.2723113000392914,4600,0.6930131912231445,-0.36350786685943604,1062
23500,4886.54443359375,4700,0.5848552584648132,0.16919249296188354,1064
24000,0.07100634276866913,4800,0.6915781497955322,0.35157662630081177,1064
24500,0.11498261988162994,4900,0.6907294988632202,-1.5261051654815674,1064
25000,0.015135714784264565,5000,0.6927631497383118,0.17111581563949585,1065
25500,0.5974746346473694,5100,0.6920505166053772,0.5988598465919495,1065
26000,7.423166751861572,5200,0.6821606755256653,-6.591791152954102,1065
26500,0.0511862151324749,5300,0.6930014491081238,-0.028157472610473633,1065
27000,0.4400818943977356,5400,0.6829081773757935,-18.82439613342285,1066
27500,52.365150451660156,5500,0.6644338965415955,-39.03694534301758,1067
28000,11.977453231811523,5600,0.6875224709510803,-16.909934997558594,1068
28500,0.03934807330369949,5700,0.692592442035675,-0.005335569381713867,1068
29000,5.123429775238037,5800,0.6473990082740784,-49.266658782958984,1069
29500,0.08886449784040451,5900,0.6917798519134521,-2.950500249862671,1070
30000,4.020037651062012,6000,0.6711221933364868,-429.62640380859375,1070
30500,0.1451137214899063,6100,0.6884652972221375,-31.659439086914062,1070
31000,8608.3076171875,6200,0.6610801219940186,0.4517650008201599,1070
31500,0.017492901533842087,6300,0.6909193396568298,-3.2344889640808105,1070
32000,1.3281819820404053,6400,0.680361807346344,-40.50448226928711,1068
32500,0.9720284342765808,6500,0.67591792345047,-60.86131286621094,1069
33000,0.19756153225898743,6600,0.6911154985427856,-47.25148010253906,1069
33500,1.792284607887268,6700,0.6780916452407837,-149.91551208496094,1069
34000,0.022076711058616638,6800,0.678608775138855,-5.238049507141113,1070
34500,0.08397457748651505,6900,0.6897607445716858,-26.32237434387207,1070
35000,0.12139678001403809,7000,0.6877007484436035,-34.547725677490234,1070
35500,2.915807008743286,7100,0.643902599811554,-1012.1293334960938,1070
36000,5.375306606292725,7200,0.5739067792892456,-447.1078186035156,1071
36500,0.044160038232803345,7300,0.6651533246040344,-40.385589599609375,1071
37000,0.7768831849098206,7400,0.5997617840766907,-156.45864868164062,1072
37500,0.002126817824319005,7500,0.6863471269607544,-2.7875308990478516,1072
38000,3.0163230895996094,7600,0.4626404345035553,-204.19290161132812,1072
38500,1.025477409362793,7700,0.6828632950782776,-81.80876922607422,1072
39000,7174.6572265625,7800,0.6181632280349731,0.026681721210479736,1073
39500,0.25518998503685,7900,0.6507784128189087,-288.84161376953125,1073
40000,0.04231780767440796,8000,0.6917780637741089,-30.18059730529785,1073
40500,0.40931639075279236,8100,0.6400813460350037,-242.88720703125,1073
41000,0.4704510569572449,8200,0.6448162794113159,-256.9545593261719,1073
41500,0.01639903336763382,8300,0.6858252286911011,-19.40846824645996,1074
42000,0.22881655395030975,8400,0.5606712102890015,-172.94061279296875,1074
42500,0.09193520992994308,8500,0.64854896068573,-95.74267578125,1074
43000,0.4558309018611908,8600,0.5868381261825562,-235.70545959472656,1074
43500,0.039253152906894684,8700,0.6494481563568115,-71.25288391113281,1074
44000,0.16091416776180267,8800,0.6650189161300659,-239.1231231689453,1075
44500,0.11371253430843353,8900,0.6167511940002441,-1626.8514404296875,1075
45000,0.0008789185667410493,9000,0.6642125844955444,-0.32908058166503906,1076
45500,0.0146185252815485,9100,0.5979006290435791,-3.272273063659668,1076
46000,0.029637524858117104,9200,0.6125242710113525,-4.775618553161621,1076
46500,0.06372611969709396,9300,0.672946572303772,-317.4735412597656,1076
47000,0.011722509749233723,9400,0.6719337701797485,-5518.875,1077
47500,0.08633488416671753,9500,0.5116767287254333,-102824.7265625,1077
48000,0.03480050712823868,9600,0.6392167806625366,-766.9622802734375,1077
48500,0.01456704456359148,9700,0.580947995185852,-2206.725830078125,1078
49000,0.012819290161132812,9800,0.686994194984436,-13.508638381958008,1078
49500,0.04620088264346123,9900,0.553470253944397,-96.22006225585938,1079
50000,0.0095374695956707,10000,0.6535336375236511,-1.2875916957855225,1079
50500,5830.32080078125,10100,0.5131745934486389,-0.005741715431213379,1079
51000,0.011875728145241737,10200,0.5447181463241577,-52.60633850097656,1080
51500,0.027800917625427246,10300,0.5950459837913513,-46.89033889770508,1080
52000,0.016660720109939575,10400,0.5629224181175232,-8.229097366333008,1080
52500,0.0011141514405608177,10500,0.6629489660263062,0.46300870180130005,1080
53000,0.002976949792355299,10600,0.6750319600105286,0.2555903196334839,1080
53500,0.0033327280543744564,10700,0.6170096397399902,-7.67672061920166,1080
54000,0.006737588904798031,10800,0.5931354761123657,-41.017066955566406,1081
54500,0.002050400245934725,10900,0.6328020095825195,-113.15218353271484,1081
55000,9557.8837890625,11000,0.6099212765693665,0.04093962907791138,1081
