value_loss,nupdates,policy_entropy,explained_variance,fps,total_timesteps
8.990667343139648,1100,0.6887041926383972,-0.18892920017242432,1062,5500
5.300045490264893,1200,0.6848430037498474,0.06814038753509521,1064,6000
8.581427574157715,1300,0.6812256574630737,-0.23228836059570312,1065,6500
7.270416259765625,1400,0.6880322694778442,-0.058365583419799805,1065,7000
6.13456392288208,1500,0.6890360116958618,-0.009929776191711426,1067,7500
5.542799472808838,1600,0.6928160786628723,0.12681162357330322,1069,8000
4.867450714111328,1700,0.6554094552993774,0.010950624942779541,1071,8500
402.07537841796875,1800,0.688652515411377,0.0010796785354614258,1070,9000
444.2567443847656,1900,0.6762003302574158,0.04225790500640869,1069,9500
1001.3410034179688,2000,0.6658477783203125,0.011136949062347412,1070,10000
2.8544230461120605,2100,0.6659876108169556,0.13406139612197876,1074,10500
3.433903932571411,2200,0.6926409602165222,0.10072964429855347,1074,11000
1000.5125732421875,2300,0.6875452399253845,0.09156596660614014,1076,11500
2.2991323471069336,2400,0.6864960789680481,0.14929604530334473,1075,12000
2.791046619415283,2500,0.6929413080215454,-0.005851149559020996,1074,12500
2.6431281566619873,2600,0.6282039880752563,-0.0030900239944458008,1074,13000
536.9642944335938,2700,0.6885571479797363,0.001799941062927246,1075,13500
2.0014522075653076,2800,0.6771471500396729,0.055230557918548584,1075,14000
1.9701602458953857,2900,0.6888672709465027,-0.021466732025146484,1075,14500
1.653821587562561,3000,0.6651556491851807,0.12592267990112305,1072,15000
1.6400293111801147,3100,0.6898188591003418,-0.05799829959869385,1071,15500
1.2823474407196045,3200,0.692585825920105,0.005242526531219482,1071,16000
1.0361688137054443,3300,0.6874829530715942,0.16007518768310547,1071,16500
1.1362669467926025,3400,0.5498903393745422,0.012489080429077148,1071,17000
0.9766049385070801,3500,0.6921294331550598,0.8807137459516525,1072,17500
1866.0947265625,3600,0.6739802360534668,0.03318887948989868,1072,18000
1995.645751953125,3700,0.5961756706237793,0.018667399883270264,1072,18500
0.839215099811554,3800,0.6907869577407837,-0.24898099899291992,1072,19000
0.14190052449703217,3900,0.6931431889533997,-0.021800637245178223,1073,19500
1060.9659423828125,4000,0.6917999386787415,0.09295523166656494,1074,20000
0.7363045811653137,4100,0.6921501159667969,-1.1813952922821045,1075,20500
0.2798416018486023,4200,0.6929059624671936,0.7571701854467392,1074,21000
3775.379638671875,4300,0.6807347536087036,0.009923279285430908,1075,21500
2.535867214202881,4400,0.6917302012443542,-10.402235984802246,1075,22000
0.23959524929523468,4500,0.6923232674598694,-0.3412494659423828,1075,22500
1.2154455184936523,4600,0.6745713353157043,-11.6630859375,1076,23000
0.29039710760116577,4700,0.6928149461746216,-0.6785370111465454,1076,23500
0.2382829189300537,4800,0.6876896023750305,-1.5934996604919434,1077,24000
0.15305909514427185,4900,0.691967248916626,-0.15564191341400146,1076,24500
6932.35693359375,5000,0.6873973608016968,0.42109841108322144,1077,25000
0.13037563860416412,5100,0.6777106523513794,-0.050643205642700195,1078,25500
35.66918182373047,5200,0.6078068614006042,-226.25540161132812,1078,26000
2.0157523155212402,5300,0.6901146173477173,-51.313350677490234,1078,26500
0.034444451332092285,5400,0.6856091022491455,-0.1148911714553833,1078,27000
0.33184438943862915,5500,0.6927531957626343,-7.955748558044434,1079,27500
3179.382080078125,5600,0.692179799079895,0.006422579288482666,1079,28000
0.7151140570640564,5700,0.6890624165534973,-15.79281234741211,1079,28500
0.06864814460277557,5800,0.6930126547813416,0.42513567209243774,1080,29000
0.08859267830848694,5900,0.6866737604141235,-0.4003736972808838,1080,29500
0.033188290894031525,6000,0.6845040321350098,-0.08889281749725342,1080,30000
1.252509355545044,6100,0.6876301169395447,-102.57067108154297,1080,30500
1.2233127355575562,6200,0.678776204586029,-0.8146485090255737,1080,31000
0.2637651562690735,6300,0.6859537363052368,-26.273204803466797,1081,31500
0.015218416228890419,6400,0.6931259036064148,-1.2123761177062988,1080,32000
0.08545197546482086,6500,0.6924646496772766,-0.5622454881668091,1080,32500
4924.6884765625,6600,0.682528555393219,0.053105831146240234,1080,33000
14.747594833374023,6700,0.6460626721382141,-1054.4368896484375,1080,33500
0.04442552849650383,6800,0.6920751333236694,-2.850369691848755,1080,34000
0.6899493932723999,6900,0.6921876668930054,-72.62998962402344,1080,34500
4444.509765625,7000,0.5676050782203674,0.15099471807479858,1080,35000
2.2773725986480713,7100,0.6677376627922058,-205.0906219482422,1080,35500
0.04350628703832626,7200,0.6882703900337219,-3.5647664070129395,1081,36000
3208.48779296875,7300,0.6689331531524658,0.09248489141464233,1081,36500
0.03904605656862259,7400,0.6906237602233887,-5.326192378997803,1081,37000
0.09109374135732651,7500,0.6829937100410461,-5.586305141448975,1081,37500
0.16198639571666718,7600,0.6697186231613159,-26.636341094970703,1081,38000
