explained_variance,value_loss,total_timesteps,fps,nupdates,policy_entropy
-0.14371395111083984,11.345833778381348,5,81,1,0.6931471824645996
-0.0033670663833618164,11.734149932861328,500,943,100,0.6931470036506653
0.005605518817901611,10.471596717834473,1000,988,200,0.6931105256080627
-0.2537381649017334,5.27039098739624,1500,1013,300,0.6929681301116943
0.07938766479492188,10.1231689453125,2000,1036,400,0.6929183602333069
-0.04825162887573242,10.930887222290039,2500,1049,500,0.6930267214775085
-0.015091657638549805,9.731375694274902,3000,1041,600,0.6930108070373535
0.0057582855224609375,11.013738632202148,3500,1048,700,0.6876484155654907
-0.0021327733993530273,9.524535179138184,4000,1053,800,0.6879698634147644
0.06903105974197388,7.728753566741943,4500,1060,900,0.6755965948104858
-0.060669660568237305,8.19962215423584,5000,1060,1000,0.6839839220046997
0.09964394569396973,6.739887237548828,5500,1063,1100,0.6847580075263977
0.014626860618591309,5.794788360595703,6000,1067,1200,0.6861593127250671
-0.030614614486694336,5.5117082595825195,6500,1069,1300,0.6926077604293823
0.0023265480995178223,184.83877563476562,7000,1069,1400,0.6855520009994507
0.04111039638519287,4.520342826843262,7500,1070,1500,0.6896325945854187
-0.010474324226379395,4.311737060546875,8000,1069,1600,0.6926131248474121
0.01631748676300049,284.5821228027344,8500,1068,1700,0.6924648880958557
-0.027364611625671387,3.7164015769958496,9000,1069,1800,0.6752606630325317
0.006624579429626465,715.8870849609375,9500,1070,1900,0.5503491163253784
0.012401342391967773,402.4392395019531,10000,1071,2000,0.6930968761444092
0.2030687928199768,1.558659315109253,10500,1072,2100,0.6928691864013672
0.012012720108032227,1413.014404296875,11000,1073,2200,0.6813862919807434
0.7441180646419525,2.685575008392334,11500,1073,2300,0.6896979212760925
0.01893371343612671,2755.009521484375,12000,1072,2400,0.691095232963562
-0.07600700855255127,2.0347094535827637,12500,1072,2500,0.690675675868988
0.010811328887939453,678.7601318359375,13000,1071,2600,0.6891500353813171
-0.13220751285552979,1.512279748916626,13500,1072,2700,0.6921532154083252
-0.6202149391174316,1.7090409994125366,14000,1073,2800,0.6906123757362366
0.1070486307144165,0.7646097540855408,14500,1072,2900,0.6910209655761719
0.05013853311538696,0.4748873710632324,15000,1073,3000,0.6818177700042725
-0.9830195903778076,1.9417186975479126,15500,1073,3100,0.6826874017715454
-0.00899207592010498,0.913650631904602,16000,1074,3200,0.6923070549964905
0.09265965223312378,0.45741862058639526,16500,1075,3300,0.6930530667304993
0.1202506422996521,0.3435031473636627,17000,1075,3400,0.6929787397384644
-2.9126241207122803,1.0658012628555298,17500,1075,3500,0.6667064428329468
-8.093716621398926,3.463141679763794,18000,1076,3600,0.6885987520217896
-0.18983685970306396,0.4789563715457916,18500,1076,3700,0.6881861686706543
0.2063540816307068,5788.8134765625,19000,1076,3800,0.6854113340377808
0.2296246886253357,0.32843300700187683,19500,1075,3900,0.6842525601387024
-0.38500821590423584,0.3491879105567932,20000,1075,4000,0.6869155764579773
-2.108433485031128,0.17830054461956024,20500,1076,4100,0.6827327013015747
-4.003916263580322,1.0934618711471558,21000,1076,4200,0.6893888711929321
0.015592634677886963,5634.1611328125,21500,1075,4300,0.6816834211349487
0.020233511924743652,5655.640625,22000,1075,4400,0.6753746271133423
0.5830272734165192,0.13820990920066833,22500,1076,4500,0.6894645690917969
0.20839053392410278,0.026327243074774742,23000,1076,4600,0.6907188296318054
-10.626969337463379,0.5792229175567627,23500,1076,4700,0.6860411763191223
-9.401267051696777,0.17600487172603607,24000,1076,4800,0.6914994120597839
-280.4987487792969,22.529800415039062,24500,1077,4900,0.618324875831604
-2.0763325691223145,0.02380271628499031,25000,1078,5000,0.6676044464111328
-3.7940545082092285,0.134159654378891,25500,1079,5100,0.673827052116394
-3.298497200012207,3.6449851989746094,26000,1080,5200,0.6913127899169922
0.02887517213821411,6806.9296875,26500,1080,5300,0.6185975074768066
-254.72146606445312,1.7647342681884766,27000,1080,5400,0.6772351264953613
0.01184779405593872,5283.19677734375,27500,1080,5500,0.6742770075798035
-0.1883174180984497,0.05549756437540054,28000,1081,5600,0.6914917230606079
-161.65635681152344,0.49826645851135254,28500,1081,5700,0.6785463094711304
-23.136627197265625,0.07728715240955353,29000,1082,5800,0.6865609288215637
