policy_entropy,value_loss,explained_variance,total_timesteps,fps,nupdates
0.6777399778366089,20.870464324951172,-36.92536544799805,31000,1081,6200
0.6930478811264038,0.008912811055779457,-0.621788501739502,31500,1081,6300
0.6931086778640747,0.02637181617319584,0.43261098861694336,32000,1081,6400
0.690892219543457,8581.201171875,-0.3882094621658325,32500,1082,6500
0.6739370822906494,15.502779006958008,-39.18238067626953,33000,1083,6600
0.6413717865943909,6884.45947265625,0.035993754863739014,33500,1083,6700
0.6689748764038086,0.16580021381378174,-74.94573211669922,34000,1083,6800
0.5583014488220215,7805.6650390625,-6.70879602432251,34500,1084,6900
0.6881128549575806,0.0030296207405626774,0.10498487949371338,35000,1084,7000
0.6711261868476868,7079.8310546875,0.02012866735458374,35500,1084,7100
0.6872299313545227,3.958775043487549,-36.68415451049805,36000,1085,7200
0.6511204838752747,0.6376778483390808,-234.39698791503906,36500,1085,7300
0.655365526676178,8847.833984375,0.33092576265335083,37000,1085,7400
0.663554310798645,3605.42431640625,0.03897738456726074,37500,1085,7500
0.6041033864021301,2.3229873180389404,-633.0011596679688,38000,1086,7600
0.6895025372505188,0.5485979318618774,-275.1244812011719,38500,1086,7700
0.6931048631668091,0.15786154568195343,-0.7917705774307251,39000,1086,7800
0.692313551902771,0.3614954650402069,-2.6291756629943848,39500,1086,7900
0.5704704523086548,2910.7734375,0.19369357824325562,40000,1086,8000
0.6923076510429382,0.08341367542743683,-11.743735313415527,40500,1087,8100
0.6889035701751709,0.19149737060070038,-34.362335205078125,41000,1087,8200
0.56108558177948,46.744529724121094,-455.2550964355469,41500,1087,8300
0.4953581392765045,8190.09228515625,0.4294629693031311,42000,1087,8400
0.6629285216331482,6695.8564453125,0.04289519786834717,42500,1087,8500
0.6920174360275269,1.0354547500610352,-10.253165245056152,43000,1087,8600
0.6925660371780396,0.13097505271434784,-3.2525720596313477,43500,1087,8700
0.6586508750915527,0.2693636417388916,-51.83526611328125,44000,1088,8800
0.6794610023498535,1.2430710792541504,-205.6575469970703,44500,1088,8900
0.6837205290794373,0.7639052271842957,-5.771182537078857,45000,1088,9000
0.685141384601593,0.04597979038953781,-11.84921646118164,45500,1088,9100
0.6915978193283081,0.7127605676651001,-1.48966646194458,46000,1089,9200
