nupdates,policy_entropy,total_timesteps,explained_variance,fps,value_loss
11300,0.5022057294845581,56500,-5.430235385894775,1098,0.0017022410174831748
11400,0.48413023352622986,57000,0.004752218723297119,1098,5656.330078125
11500,0.4583534598350525,57500,-16.05980682373047,1099,0.011090598069131374
11600,0.5538755655288696,58000,-10.911521911621094,1099,0.021636420860886574
11700,0.6312153935432434,58500,-6.151857852935791,1099,0.0007271705544553697
11800,0.6262667775154114,59000,-1.2340610027313232,1099,0.0016841139877215028
11900,0.5879796743392944,59500,-11.498370170593262,1099,0.00371425854973495
12000,0.5904611349105835,60000,-2.211766481399536,1100,0.001492359209805727
12100,0.5822890996932983,60500,-1.473168134689331,1100,0.0007900696946308017
12200,0.5547976493835449,61000,-11.68719482421875,1100,0.0008833720348775387
12300,0.5849016904830933,61500,0.008840739727020264,1100,1925.830322265625
12400,0.5852859616279602,62000,-0.4176819324493408,1099,0.0002566945331636816
12500,0.6140443086624146,62500,-2.9359748363494873,1099,0.0015963580226525664
12600,0.6212126016616821,63000,0.12449979782104492,1100,0.0010447179665789008
12700,0.5569716691970825,63500,-7.329371452331543,1100,0.0017001088708639145
12800,0.6156498789787292,64000,-0.7101126909255981,1100,0.0012295270571485162
12900,0.5289446711540222,64500,-23.318500518798828,1100,0.0040914202108979225
13000,0.49578970670700073,65000,-3.699486255645752,1100,0.004609183873981237
13100,0.6115166544914246,65500,-0.476587176322937,1100,0.0013991392916068435
13200,0.5503665208816528,66000,-9.76545524597168,1100,0.0053741419687867165
13300,0.5353940725326538,66500,-17.410186767578125,1100,0.0039922334253787994
13400,0.6072207689285278,67000,0.0952194333076477,1100,0.0006387577159330249
13500,0.49785318970680237,67500,-0.3137073516845703,1101,0.0005120540736243129
13600,0.6378310918807983,68000,-2.952625036239624,1101,0.0019658845849335194
13700,0.4899989068508148,68500,-10.729516983032227,1101,0.0027275625616312027
13800,0.5600817203521729,69000,-0.3746354579925537,1101,0.00039860629476606846
13900,0.5092026591300964,69500,-17.770130157470703,1101,0.001913060201331973
14000,0.5602997541427612,70000,-1.953009843826294,1101,0.001174193574115634
14100,0.6142356991767883,70500,-4.3632493019104,1101,0.00040811867802403867
14200,0.6178383827209473,71000,-0.5202200412750244,1101,0.00014352794096339494
14300,0.5762639045715332,71500,-1.1558418273925781,1101,0.0004828849923796952
14400,0.6062328219413757,72000,-0.014728426933288574,1101,9224.3564453125
14500,0.577147364616394,72500,-3.0052661895751953,1101,0.003109367797151208
14600,0.6237286925315857,73000,0.7246030271053314,1101,3.314473360660486e-05
14700,0.28772687911987305,73500,-33.29230880737305,1102,0.018966171890497208
14800,0.5554013252258301,74000,-1.8268895149230957,1102,0.0010873021092265844
14900,0.5623714327812195,74500,-8.282464981079102,1102,0.0013683626893907785
15000,0.5300378203392029,75000,-2.290238857269287,1102,0.0008154907263815403
15100,0.6440263986587524,75500,-0.4941980838775635,1102,0.013099903240799904
15200,0.4946841299533844,76000,-5.776748180389404,1102,0.0005639849114231765
15300,0.5090245604515076,76500,-1.7195031642913818,1103,0.0020553923677653074
15400,0.5797687768936157,77000,-7.296415328979492,1103,0.0035545937716960907
15500,0.6332030296325684,77500,-4.398121356964111,1103,0.0004122151876799762
15600,0.5873432755470276,78000,-1.7727148532867432,1103,0.0009317462099716067
15700,0.6238827705383301,78500,-1.455601453781128,1103,0.0002483174321241677
15800,0.6261128187179565,79000,-2.739751100540161,1103,0.0051481821574270725
15900,0.5813732743263245,79500,-12.0789213180542,1103,0.005106521304696798
16000,0.5677567720413208,80000,0.22343319654464722,1103,0.0002831373712979257
16100,0.5494345426559448,80500,-4.679285049438477,1103,0.0013766109477728605
16200,0.626084566116333,81000,-9.656120300292969,1104,0.0009156534215435386
16300,0.5419578552246094,81500,0.5035479664802551,1104,9.813749056775123e-05
16400,0.43041568994522095,82000,-0.00018787384033203125,1104,9215.001953125
16500,0.6070672869682312,82500,-1.531367301940918,1104,0.0009806725429371
16600,0.6261385679244995,83000,0.04676443338394165,1104,9301.0693359375
16700,0.5809231996536255,83500,-1.0692260265350342,1104,0.00047519587678834796
16800,0.37565192580223083,84000,-0.630897045135498,1104,0.0021191213745623827
16900,0.5771715044975281,84500,0.35126227140426636,1105,0.0003657517081592232
17000,0.6211506128311157,85000,-0.912550687789917,1104,0.0010580385569483042
17100,0.6105703711509705,85500,0.05905771255493164,1105,0.002385628642514348
17200,0.6311479806900024,86000,0.7813352644443512,1104,0.001024625962600112
17300,0.5108112096786499,86500,0.6222023963928223,1104,0.00024894633679650724
17400,0.5134618878364563,87000,-13.715702056884766,1105,0.055029772222042084
17500,0.5371910333633423,87500,-9.930658340454102,1104,0.009038540534675121
17600,0.6032822728157043,88000,-0.8276584148406982,1105,0.0013626364525407553
17700,0.6467189192771912,88500,-2.0178704261779785,1105,0.02503838576376438
17800,0.3980514109134674,89000,-2.7623190879821777,1105,0.003881769720464945
17900,0.5214696526527405,89500,-9.917232513427734,1105,0.00933039654046297
18000,0.614484965801239,90000,-12.623638153076172,1105,0.016623232513666153
18100,0.5817028284072876,90500,-31.889644622802734,1105,0.009317876771092415
18200,0.4479198455810547,91000,-17.402786254882812,1105,0.18369832634925842
18300,0.5898879170417786,91500,0.15514183044433594,1105,0.00036785940756089985
18400,0.6166520118713379,92000,-0.8621710538864136,1105,0.0012740229722112417
18500,0.5009148120880127,92500,-0.4160027503967285,1105,0.000646134139969945
18600,0.6176861524581909,93000,-0.031755685806274414,1105,0.0036361725069582462
18700,0.6670737266540527,93500,-4.314844131469727,1105,0.06630074232816696
18800,0.5603159070014954,94000,-3.9169740676879883,1105,0.012410575523972511
18900,0.6186184883117676,94500,-6.622976303100586,1105,0.024927835911512375
19000,0.6303304433822632,95000,-0.87943434715271,1106,0.004493847489356995
19100,0.5618038177490234,95500,0.3245943784713745,1105,0.0004138337098993361
19200,0.3557330369949341,96000,-16.737585067749023,1106,0.06442488729953766
19300,0.6428428888320923,96500,-0.9696093797683716,1106,0.00419741403311491
19400,0.5469528436660767,97000,-15.337015151977539,1106,0.019891725853085518
19500,0.5710681676864624,97500,-3.2935566902160645,1106,0.004922955296933651
19600,0.6351999044418335,98000,0.5123492181301117,1106,0.00023233247338794172
19700,0.6457462310791016,98500,0.3048590421676636,1106,0.0021355622448027134
19800,0.5782495141029358,99000,-0.39311110973358154,1106,0.004113701172173023
19900,0.6486438512802124,99500,0.5993519723415375,1106,0.002243942813947797
20000,0.5802072286605835,100000,-0.398806095123291,1106,0.00238526938483119
