entloss,EpThisIter,optimgain,surrgain,ev_tdlam_before,EpLenMean,entropy,TimeElapsed,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl
0.0,11,0.05248131,0.05248131,-0.0011299848556518555,126.175,0.50747484,25.367579460144043,471,46054,126.175,0.10113129
0.0,5,0.04210054,0.04210054,0.08034592866897583,137.85,0.5064609,25.936411380767822,476,46907,137.85,0.08153644
0.0,16,0.015729502,0.015729502,0.029808521270751953,116.275,0.4913801,26.52456283569336,492,48102,116.275,0.047798738
0.0,12,0.012103191,0.012103191,0.015101194381713867,91.425,0.50723374,27.063889026641846,504,49073,91.425,0.080537155
0.0,14,0.02949309,0.02949309,-0.0021212100982666016,75.1,0.4846332,27.63528299331665,518,50133,75.1,0.04913029
0.0,13,0.04213147,0.04213147,-0.1312934160232544,78.55,0.4853791,28.26387929916382,531,51188,78.55,0.081500635
0.0,10,0.021111816,0.021111816,-0.15279364585876465,86.975,0.48676693,28.867016792297363,541,52206,86.975,0.11786635
0.0,13,0.034690496,0.034690496,0.005517423152923584,83.9,0.54765594,29.40945029258728,554,53226,83.9,0.13710627
0.0,21,0.04463977,0.04463977,0.038441240787506104,67.9,0.56356484,29.966552019119263,575,54236,67.9,0.04622913
0.0,11,0.0601039,0.0601039,0.07196325063705444,63.725,0.47439018,30.553539514541626,586,55217,63.725,0.10189688
0.0,6,0.04287505,0.04287505,0.02664017677307129,78.35,0.50732964,31.11136293411255,592,56263,78.35,0.05234912
0.0,5,0.015145079,0.015145079,0.010959088802337646,97.15,0.51766926,31.64474654197693,597,57263,97.15,0.025342299
0.0,9,0.025763229,0.025763229,0.19979161024093628,114.125,0.45656216,32.20454287528992,606,58307,114.125,0.13792005
0.0,8,0.042325154,0.042325154,0.17527633905410767,131.225,0.5059733,32.74167227745056,614,59348,131.225,0.053754166
0.0,8,0.029048372,0.029048372,0.25242823362350464,138.0,0.46000892,33.35076427459717,622,60351,138.0,0.03441889
0.0,7,0.046744503,0.046744503,0.0299837589263916,137.5,0.46091563,33.94658041000366,629,61317,137.5,0.049671307
0.0,5,0.031803146,0.031803146,0.11600327491760254,141.35,0.4188655,34.535268783569336,634,62317,141.35,0.08960268
