# {"t_start": 1539259890.9728131, "env_id": "CartPole-v0"} 
r,l,t
141.0,141,12.905505
200.0,200,12.980491
110.0,110,13.025625
100.0,100,13.148912
99.0,99,13.1949
85.0,85,13.237669
93.0,93,13.284982
93.0,93,13.331992
149.0,149,13.407031
99.0,99,13.457162
93.0,93,13.503062
90.0,90,13.547902
88.0,88,13.592107
135.0,135,13.745237
44.0,44,13.762514
106.0,106,13.810645
89.0,89,13.84452
13.0,13,13.849462
92.0,92,13.883575
88.0,88,13.917917
30.0,30,13.930573
148.0,148,13.997264
14.0,14,14.00765
107.0,107,14.074172
136.0,136,14.143165
58.0,58,14.175225
10.0,10,14.181323
200.0,200,14.395588
200.0,200,14.492832
200.0,200,14.591874
200.0,200,14.69738
200.0,200,14.797986
94.0,94,14.843286
24.0,24,14.959845
74.0,74,14.996111
15.0,15,15.003088
12.0,12,15.009322
190.0,190,15.089411
15.0,15,15.09591
152.0,152,15.168836
13.0,13,15.174778
26.0,26,15.185737
14.0,14,15.192962
44.0,44,15.212551
18.0,18,15.219764
19.0,19,15.227828
18.0,18,15.236361
54.0,54,15.262537
22.0,22,15.271863
12.0,12,15.278108
55.0,55,15.30365
27.0,27,15.315159
11.0,11,15.322112
10.0,10,15.327489
39.0,39,15.344973
23.0,23,15.354393
13.0,13,15.359723
24.0,24,15.370587
104.0,104,15.506336
198.0,198,15.58884
195.0,195,15.686168
200.0,200,15.780512
185.0,185,15.871853
167.0,167,15.947507
159.0,159,16.120613
10.0,10,16.124925
22.0,22,16.135034
10.0,10,16.139137
147.0,147,16.200635
145.0,145,16.263814
10.0,10,16.268535
12.0,12,16.273272
149.0,149,16.331325
14.0,14,16.336713
22.0,22,16.346305
23.0,23,16.355794
106.0,106,16.402764
19.0,19,16.411919
183.0,183,16.496983
200.0,200,16.69225
200.0,200,16.7922
187.0,187,16.872899
200.0,200,16.956101
137.0,137,17.014344
157.0,157,17.080204
200.0,200,17.256083
200.0,200,17.350314
200.0,200,17.440831
200.0,200,17.542159
200.0,200,17.644072
200.0,200,17.821378
200.0,200,17.901617
200.0,200,17.979339
200.0,200,18.069862
200.0,200,18.171708
171.0,171,18.35864
200.0,200,18.460098
200.0,200,18.539158
200.0,200,18.632922
200.0,200,18.736675
200.0,200,18.932508
200.0,200,19.033304
200.0,200,19.136436
200.0,200,19.240086
200.0,200,19.321214
200.0,200,19.496744
200.0,200,19.577499
200.0,200,19.657581
200.0,200,19.74052
200.0,200,19.815668
200.0,200,19.992154
200.0,200,20.072289
200.0,200,20.151863
200.0,200,20.236464
200.0,200,20.320413
200.0,200,20.495946
155.0,155,20.567131
200.0,200,20.665987
200.0,200,20.769168
127.0,127,20.833277
200.0,200,20.926652
200.0,200,21.095298
200.0,200,21.17457
200.0,200,21.261656
200.0,200,21.346324
200.0,200,21.434254
200.0,200,21.624091
81.0,81,21.661383
200.0,200,21.760943
200.0,200,21.838151
127.0,127,21.885281
200.0,200,21.963432
200.0,200,22.146078
200.0,200,22.239258
200.0,200,22.356235
200.0,200,22.460805
200.0,200,22.557967
200.0,200,22.773865
187.0,187,22.866691
200.0,200,22.96294
200.0,200,23.065879
200.0,200,23.155972
200.0,200,23.242835
74.0,74,23.376714
107.0,107,23.420364
41.0,41,23.436675
100.0,100,23.477166
75.0,75,23.510316
63.0,63,23.539743
200.0,200,23.639192
51.0,51,23.668419
60.0,60,23.697475
93.0,93,23.739413
64.0,64,23.769164
30.0,30,23.783605
76.0,76,23.823738
200.0,200,24.035549
182.0,182,24.122555
122.0,122,24.178129
157.0,157,24.247745
177.0,177,24.33004
96.0,96,24.396461
200.0,200,24.587704
150.0,150,24.664792
200.0,200,24.759569
200.0,200,24.856063
200.0,200,24.945464
50.0,50,24.971887
200.0,200,25.178572
200.0,200,25.272404
200.0,200,25.360546
200.0,200,25.452233
200.0,200,25.55199
200.0,200,25.747047
118.0,118,25.811357
102.0,102,25.855287
95.0,95,25.892956
130.0,130,25.946526
31.0,31,25.961275
142.0,142,26.019446
73.0,73,26.048692
72.0,72,26.076944
107.0,107,26.12149
83.0,83,26.15712
200.0,200,26.357443
169.0,169,26.442869
143.0,143,26.515023
200.0,200,26.606308
141.0,141,26.660585
200.0,200,26.829617
22.0,22,26.84019
39.0,39,26.856022
84.0,84,26.889345
43.0,43,26.907521
144.0,144,26.974155
33.0,33,26.992285
126.0,126,27.056508
89.0,89,27.101672
45.0,45,27.124739
120.0,120,27.185532
26.0,26,27.199044
95.0,95,27.246451
53.0,53,27.273062
20.0,20,27.282392
56.0,56,27.31018
76.0,76,27.436478
78.0,78,27.466276
26.0,26,27.476758
72.0,72,27.505533
93.0,93,27.55329
45.0,45,27.576778
94.0,94,27.620425
66.0,66,27.649557
75.0,75,27.678299
129.0,129,27.731412
123.0,123,27.781182
94.0,94,27.824644
147.0,147,27.989034
30.0,30,28.001556
27.0,27,28.013617
37.0,37,28.029338
82.0,82,28.066125
133.0,133,28.132644
102.0,102,28.181705
58.0,58,28.208973
96.0,96,28.255642
85.0,85,28.294446
26.0,26,28.307201
115.0,115,28.354396
43.0,43,28.37372
79.0,79,28.410444
66.0,66,28.538014
41.0,41,28.559471
61.0,61,28.591832
79.0,79,28.628823
72.0,72,28.675332
131.0,131,28.737637
52.0,52,28.766688
101.0,101,28.810379
149.0,149,28.868363
76.0,76,28.903223
90.0,90,28.953783
81.0,81,29.006541
56.0,56,29.038921
60.0,60,29.182231
137.0,137,29.266879
42.0,42,29.292506
93.0,93,29.333547
74.0,74,29.367877
118.0,118,29.424604
104.0,104,29.470723
143.0,143,29.543329
146.0,146,29.607327
101.0,101,29.654827
57.0,57,29.77979
191.0,191,29.857929
126.0,126,29.906943
73.0,73,29.938593
15.0,15,29.94621
200.0,200,30.033479
38.0,38,30.048053
131.0,131,30.101952
37.0,37,30.117004
10.0,10,30.121171
45.0,45,30.142899
11.0,11,30.148387
86.0,86,30.192481
68.0,68,30.323642
44.0,44,30.346316
39.0,39,30.366112
20.0,20,30.376237
31.0,31,30.390255
18.0,18,30.397919
14.0,14,30.403851
41.0,41,30.423054
19.0,19,30.432647
41.0,41,30.453166
17.0,17,30.461677
164.0,164,30.545674
15.0,15,30.552065
49.0,49,30.571481
23.0,23,30.580659
40.0,40,30.597494
41.0,41,30.613667
87.0,87,30.647773
19.0,19,30.656439
83.0,83,30.692554
137.0,137,30.754378
38.0,38,30.85958
105.0,105,30.903639
74.0,74,30.932997
186.0,186,31.008048
85.0,85,31.056425
84.0,84,31.10286
23.0,23,31.115231
22.0,22,31.125388
55.0,55,31.153326
175.0,175,31.243533
134.0,134,31.305034
200.0,200,31.505745
200.0,200,31.604229
200.0,200,31.692086
200.0,200,31.781048
114.0,114,31.83183
132.0,132,31.893158
200.0,200,32.060334
200.0,200,32.139102
200.0,200,32.217866
200.0,200,32.303395
200.0,200,32.392616
139.0,139,32.565736
88.0,88,32.608221
99.0,99,32.660798
94.0,94,32.701186
200.0,200,32.789669
57.0,57,32.815585
136.0,136,32.877266
125.0,125,32.932971
106.0,106,32.97845
84.0,84,33.106339
114.0,114,33.15246
93.0,93,33.19413
200.0,200,33.274752
200.0,200,33.356392
103.0,103,33.403698
60.0,60,33.431714
187.0,187,33.515968
200.0,200,33.708668
104.0,104,33.758309
83.0,83,33.805557
86.0,86,33.848892
63.0,63,33.879226
179.0,179,33.963162
88.0,88,34.012817
200.0,200,34.109809
200.0,200,34.314058
200.0,200,34.416528
71.0,71,34.452277
39.0,39,34.471976
56.0,56,34.500566
200.0,200,34.591994
200.0,200,34.684885
200.0,200,34.874676
200.0,200,34.971817
200.0,200,35.061736
200.0,200,35.15738
200.0,200,35.250316
174.0,174,35.440025
157.0,157,35.509301
141.0,141,35.578933
51.0,51,35.606001
200.0,200,35.703956
179.0,179,35.782229
200.0,200,35.870286
200.0,200,36.063751
19.0,19,36.074015
200.0,200,36.174417
173.0,173,36.257161
166.0,166,36.341462
200.0,200,36.435395
200.0,200,36.610889
200.0,200,36.706539
121.0,121,36.76716
200.0,200,36.867475
193.0,193,36.964159
200.0,200,37.047544
124.0,124,37.182194
56.0,56,37.2058
48.0,48,37.22578
51.0,51,37.247006
44.0,44,37.265278
92.0,92,37.303353
59.0,59,37.326581
80.0,80,37.362017
44.0,44,37.383856
82.0,82,37.425746
71.0,71,37.46209
125.0,125,37.524643
88.0,88,37.566385
75.0,75,37.603261
37.0,37,37.717565
33.0,33,37.733639
59.0,59,37.763457
29.0,29,37.778046
57.0,57,37.803395
104.0,104,37.844904
41.0,41,37.860319
59.0,59,37.882538
37.0,37,37.897075
43.0,43,37.913453
49.0,49,37.932122
68.0,68,37.966035
37.0,37,37.982224
55.0,55,38.004357
59.0,59,38.026959
51.0,51,38.045837
40.0,40,38.060697
38.0,38,38.075217
37.0,37,38.089127
40.0,40,38.104469
85.0,85,38.230413
59.0,59,38.254053
66.0,66,38.280312
72.0,72,38.307722
47.0,47,38.330951
92.0,92,38.378709
82.0,82,38.420999
103.0,103,38.473762
28.0,28,38.487928
13.0,13,38.494062
80.0,80,38.534784
51.0,51,38.560705
113.0,113,38.613067
57.0,57,38.635057
25.0,25,38.644672
34.0,34,38.657894
60.0,60,38.680265
49.0,49,38.792876
65.0,65,38.827218
83.0,83,38.858413
55.0,55,38.888118
52.0,52,38.908515
56.0,56,38.929684
28.0,28,38.940208
48.0,48,38.961246
64.0,64,38.994184
56.0,56,39.022644
32.0,32,39.040267
50.0,50,39.061342
34.0,34,39.078845
70.0,70,39.113926
25.0,25,39.126557
53.0,53,39.153123
61.0,61,39.182756
46.0,46,39.206022
76.0,76,39.241893
49.0,49,39.26446
48.0,48,39.381435
58.0,58,39.405201
49.0,49,39.42529
53.0,53,39.446435
52.0,52,39.467225
49.0,49,39.486784
39.0,39,39.50269
47.0,47,39.521547
62.0,62,39.545899
59.0,59,39.570702
41.0,41,39.590386
55.0,55,39.613252
44.0,44,39.631519
48.0,48,39.650944
62.0,62,39.676141
67.0,67,39.703983
63.0,63,39.730011
40.0,40,39.746648
45.0,45,39.769467
44.0,44,39.792139
42.0,42,39.912538
40.0,40,39.932796
50.0,50,39.958045
55.0,55,39.985669
41.0,41,40.00636
104.0,104,40.059042
132.0,132,40.127493
53.0,53,40.154279
40.0,40,40.175133
83.0,83,40.215056
63.0,63,40.239023
142.0,142,40.293442
100.0,100,40.331282
60.0,60,40.355252
179.0,179,40.507908
91.0,91,40.544251
190.0,190,40.619534
158.0,158,40.693379
115.0,115,40.739191
112.0,112,40.783745
68.0,68,40.810729
54.0,54,40.832154
158.0,158,40.991686
52.0,52,41.015412
147.0,147,41.072971
50.0,50,41.093034
165.0,165,41.156869
191.0,191,41.234944
177.0,177,41.303542
45.0,45,41.321903
156.0,156,41.47201
193.0,193,41.547803
69.0,69,41.574197
135.0,135,41.629214
172.0,172,41.694304
86.0,86,41.726665
109.0,109,41.773218
101.0,101,41.822145
41.0,41,41.84073
41.0,41,41.857109
161.0,161,42.007942
172.0,172,42.072587
107.0,107,42.113262
149.0,149,42.168966
153.0,153,42.22794
78.0,78,42.257061
176.0,176,42.342595
90.0,90,42.485696
159.0,159,42.567052
85.0,85,42.609138
156.0,156,42.66891
169.0,169,42.732072
140.0,140,42.790414
168.0,168,42.853041
131.0,131,42.995975
92.0,92,43.036736
12.0,12,43.042998
157.0,157,43.123712
122.0,122,43.185679
133.0,133,43.253693
139.0,139,43.325096
120.0,120,43.386548
129.0,129,43.441957
120.0,120,43.572418
29.0,29,43.586043
11.0,11,43.592149
35.0,35,43.610949
15.0,15,43.616934
12.0,12,43.621545
29.0,29,43.632637
16.0,16,43.638861
10.0,10,43.64275
14.0,14,43.648247
11.0,11,43.652599
13.0,13,43.6578
17.0,17,43.664658
27.0,27,43.675146
25.0,25,43.685135
33.0,33,43.697888
15.0,15,43.70394
11.0,11,43.708478
26.0,26,43.718651
15.0,15,43.724732
28.0,28,43.735726
12.0,12,43.741195
12.0,12,43.745936
28.0,28,43.758076
18.0,18,43.766463
141.0,141,43.830457
13.0,13,43.83642
17.0,17,43.843718
26.0,26,43.854717
42.0,42,43.872814
30.0,30,43.887628
31.0,31,43.903774
26.0,26,43.917046
34.0,34,43.932513
20.0,20,43.940761
31.0,31,43.956671
29.0,29,43.970201
23.0,23,43.980684
33.0,33,43.995981
13.0,13,44.001478
9.0,9,44.005151
10.0,10,44.009195
10.0,10,44.013223
13.0,13,44.018468
35.0,35,44.126055
56.0,56,44.15196
11.0,11,44.157065
11.0,11,44.162277
20.0,20,44.171851
11.0,11,44.176858
28.0,28,44.191003
38.0,38,44.209918
26.0,26,44.221161
12.0,12,44.226213
14.0,14,44.231796
14.0,14,44.237249
17.0,17,44.24429
17.0,17,44.2508
21.0,21,44.259197
123.0,123,44.305894
127.0,127,44.355577
21.0,21,44.364559
12.0,12,44.369583
105.0,105,44.411764
15.0,15,44.418314
116.0,116,44.463164
9.0,9,44.466992
23.0,23,44.476019
23.0,23,44.485114
14.0,14,44.490791
28.0,28,44.501642
130.0,130,44.654673
139.0,139,44.725297
112.0,112,44.781815
143.0,143,44.842063
138.0,138,44.91004
29.0,29,44.923032
159.0,159,45.01063
106.0,106,45.051948
159.0,159,45.207966
92.0,92,45.245918
29.0,29,45.25681
130.0,130,45.305357
134.0,134,45.358582
132.0,132,45.416437
151.0,151,45.484139
10.0,10,45.48854
10.0,10,45.492525
38.0,38,45.509534
134.0,134,45.570766
136.0,136,45.631289
93.0,93,45.775253
94.0,94,45.822509
117.0,117,45.866565
109.0,109,45.907521
126.0,126,45.956889
115.0,115,46.004164
119.0,119,46.048146
103.0,103,46.086759
97.0,97,46.122864
142.0,142,46.278123
146.0,146,46.34804
151.0,151,46.419628
124.0,124,46.481769
125.0,125,46.539009
144.0,144,46.605777
132.0,132,46.658301
120.0,120,46.702855
116.0,116,46.843732
11.0,11,46.84849
10.0,10,46.85256
126.0,126,46.903649
10.0,10,46.907823
13.0,13,46.913978
82.0,82,46.947674
110.0,110,47.000099
12.0,12,47.005672
117.0,117,47.063353
14.0,14,47.069691
11.0,11,47.074457
107.0,107,47.129007
14.0,14,47.135779
111.0,111,47.19271
10.0,10,47.198035
114.0,114,47.256184
150.0,150,47.425225
150.0,150,47.484826
166.0,166,47.548441
150.0,150,47.615636
134.0,134,47.666099
115.0,115,47.709773
134.0,134,47.772923
121.0,121,47.940183
172.0,172,48.027683
130.0,130,48.093312
97.0,97,48.134105
196.0,196,48.211688
166.0,166,48.277754
200.0,200,48.356148
10.0,10,48.360292
174.0,174,48.517365
200.0,200,48.603002
200.0,200,48.692566
200.0,200,48.78207
172.0,172,48.85968
165.0,165,49.032684
49.0,49,49.052315
47.0,47,49.070248
200.0,200,49.150388
53.0,53,49.171696
80.0,80,49.205676
200.0,200,49.285473
28.0,28,49.296599
200.0,200,49.387611
28.0,28,49.399019
200.0,200,49.571903
169.0,169,49.658072
152.0,152,49.735951
200.0,200,49.836547
169.0,169,49.902568
199.0,199,50.080003
168.0,168,50.148235
88.0,88,50.19142
130.0,130,50.244842
88.0,88,50.27973
29.0,29,50.291254
162.0,162,50.355299
117.0,117,50.401519
25.0,25,50.411491
126.0,126,50.462644
200.0,200,50.644371
200.0,200,50.722909
200.0,200,50.812963
200.0,200,50.918078
200.0,200,51.011102
146.0,146,51.191307
125.0,125,51.250545
200.0,200,51.347679
129.0,129,51.415917
94.0,94,51.463832
177.0,177,51.547803
112.0,112,51.601697
200.0,200,51.782722
24.0,24,51.795202
195.0,195,51.890102
25.0,25,51.900741
32.0,32,51.919636
179.0,179,52.00455
181.0,181,52.092492
25.0,25,52.105746
128.0,128,52.176589
200.0,200,52.378821
94.0,94,52.420675
181.0,181,52.517797
200.0,200,52.625862
27.0,27,52.638043
54.0,54,52.66236
200.0,200,52.74578
193.0,193,52.82281
137.0,137,52.986325
200.0,200,53.073333
127.0,127,53.123597
200.0,200,53.203532
187.0,187,53.277919
200.0,200,53.365205
37.0,37,53.47223
200.0,200,53.568934
200.0,200,53.665882
200.0,200,53.767687
200.0,200,53.863027
200.0,200,53.959766
200.0,200,54.141389
200.0,200,54.232596
200.0,200,54.318843
200.0,200,54.421253
200.0,200,54.523591
200.0,200,54.725682
200.0,200,54.813382
200.0,200,54.898299
200.0,200,54.981384
200.0,200,55.067965
200.0,200,55.2617
200.0,200,55.364919
200.0,200,55.46326
200.0,200,55.560939
200.0,200,55.653704
