EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
271.6666666666667,-109.287704,15,15,5.2898850440979,4075,0.0,5.673177,-0.003840804100036621,0.04357308,0.0635039,0.0635039
391.6,-111.70882,5,20,10.297521352767944,7832,0.0,5.6530814,-0.09227824211120605,0.057273827,0.038452223,0.038452223
379.93548387096774,-117.2292,11,31,15.399717330932617,11778,0.0,5.658024,0.015622198581695557,0.03606856,0.062229685,0.062229685
342.5,-120.82231,12,43,20.524060487747192,15448,0.0,5.59011,0.048488736152648926,0.05808568,0.06985503,0.06985503
327.225,-126.660324,14,57,25.63131356239319,18921,0.0,5.624006,0.09393972158432007,0.0492948,0.06028988,0.06028988
262.15,-124.326416,16,73,30.789108276367188,24571,0.0,5.637691,0.20423513650894165,0.040425412,0.043454915,0.043454915
343.55,-127.436035,5,78,35.834744691848755,28218,0.0,5.57169,0.2804901599884033,0.048829317,0.0580586,0.0580586
391.9,-122.985916,8,86,40.811970710754395,32600,0.0,5.5676255,0.3346211910247803,0.036075257,0.045709215,0.045709215
359.225,-119.55266,21,107,46.015310525894165,36831,0.0,5.523443,0.31757110357284546,0.047436506,0.054536857,0.054536857
267.475,-117.95201,12,119,51.12041163444519,39610,0.0,5.490807,0.23967522382736206,0.042354506,0.037816115,0.037816115
251.3,-120.99719,15,134,56.238792419433594,44959,0.0,5.485668,0.4678666591644287,0.047044136,0.064512596,0.064512596
293.0,-121.35825,18,152,61.38776183128357,48920,0.0,5.463463,0.5135893821716309,0.045113374,0.059185464,0.059185464
271.725,-121.85481,9,161,66.3868978023529,53120,0.0,5.4529524,0.5772722661495209,0.03988384,0.066146865,0.066146865
288.15,-120.182144,14,175,71.47079205513,56759,0.0,5.4620857,0.6161431968212128,0.04751483,0.07615234,0.07615234
344.3,-120.01262,7,182,76.45304846763611,60861,0.0,5.4609556,0.6467604637145996,0.042881414,0.056989394,0.056989394
404.45,-118.90657,7,189,81.50361442565918,64513,0.0,5.451327,0.4480065107345581,0.057484996,0.063908614,0.063908614
509.825,-117.12563,3,192,86.48952198028564,69313,0.0,5.345289,-2.6995413303375244,0.054201968,0.06027098,0.06027098
513.275,-114.67439,9,201,91.53145217895508,73651,0.0,5.356446,0.48900163173675537,0.050396286,0.06660128,0.06660128
523.75,-117.55532,11,212,96.53844261169434,77253,0.0,5.339599,0.6338375508785248,0.055217095,0.056806736,0.056806736
447.975,-119.17861,13,225,101.5675437450409,80585,0.0,5.3488073,0.7105469405651093,0.051406726,0.13937902,0.13937902
360.8,-120.586205,11,236,106.6070773601532,85905,0.0,5.3443913,0.6415208578109741,0.05440841,0.06527631,0.06527631
250.375,-119.864296,22,258,111.74408221244812,89829,0.0,5.363212,0.724359542131424,0.052472726,0.067592144,0.067592144
210.65,-120.56187,13,271,116.78787088394165,92709,0.0,5.369214,0.7454489767551422,0.04368504,0.067052275,0.067052275
