EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
271.6666666666667,-109.287704,15,15,5.32994818687439,4075,0.0,5.678308,-0.0008034706115722656,0.084094666,0.08851246,0.08851246
351.95454545454544,-112.593285,7,22,10.38524317741394,7743,0.0,5.677962,0.07575029134750366,0.10056462,0.07284458,0.07284458
330.1081081081081,-110.47322,15,37,15.542484045028687,12214,0.0,5.6542964,0.09920793771743774,0.12293653,0.09078704,0.09078704
305.3,-111.421555,17,54,20.73029613494873,16220,0.0,5.6684403,0.139398455619812,0.0959837,0.08287367,0.08287367
208.825,-112.47789,22,76,25.997106075286865,20433,0.0,5.6401362,0.24349427223205566,0.08921588,0.068202384,0.068202384
282.275,-112.53584,9,85,31.110289812088013,24291,0.0,5.629394,0.45644688606262207,0.12182925,0.10171634,0.10171634
283.075,-116.78306,11,96,36.23855400085449,28099,0.0,5.633078,0.31837165355682373,0.12201078,0.099174045,0.099174045
317.275,-115.99905,12,108,41.47675180435181,32152,0.0,5.636214,0.5074822306632996,0.07946799,0.06115242,0.06115242
274.6,-114.48421,19,127,46.70442533493042,36810,0.0,5.635657,0.5588740408420563,0.0996476,0.07245517,0.07245517
279.3,-111.261086,11,138,51.8416166305542,40940,0.0,5.6267943,0.6714247763156891,0.08442959,0.053281426,0.053281426
311.775,-113.89187,9,147,56.977094411849976,44562,0.0,5.618587,0.5878019034862518,0.12556319,0.05851815,0.05851815
341.825,-120.25557,13,160,62.1770875453949,48432,0.0,5.6209364,0.5960856676101685,0.08761342,0.07681931,0.07681931
397.45,-126.84702,13,173,67.40291833877563,53232,0.0,5.603045,0.6261741518974304,0.0928707,0.089367725,0.089367725
369.05,-127.00726,7,180,72.49248886108398,56031,0.0,5.615317,0.7183803915977478,0.14138067,0.07239102,0.07239102
362.0,-121.572556,14,194,77.70683670043945,61436,0.0,5.5954795,0.7063128054141998,0.098562516,0.0759937,0.0759937
413.4,-119.24502,5,199,82.79589605331421,64898,0.0,5.568028,0.7638248801231384,0.09583901,0.080800444,0.080800444
448.85,-118.03284,6,205,87.88620281219482,68531,0.0,5.56576,0.6807935237884521,0.09444871,0.0821067,0.0821067
550.025,-115.42776,4,209,93.01681566238403,73400,0.0,5.579084,0.7604465335607529,0.13095328,0.09014073,0.09014073
599.875,-112.27458,2,211,98.00856113433838,76600,0.0,5.5383096,0.6038212776184082,0.08170682,0.04746684,0.04746684
89.85,-113.68314,41,252,103.56103253364563,81794,0.0,5.537111,0.6003411710262299,0.08006834,0.07670913,0.07670913
162.75,-113.97817,12,264,108.70257520675659,85942,0.0,5.5744634,0.8691632598638535,0.076641195,0.09678784,0.09678784
206.825,-115.5543,24,288,113.99109077453613,89685,0.0,5.575861,0.8335966020822525,0.096740134,0.085353285,0.085353285
282.55,-115.062256,2,290,119.01725387573242,92885,0.0,5.5786185,0.013871073722839355,0.07344991,0.15732606,0.15732606
393.95,-113.41701,3,293,124.02441620826721,97685,0.0,5.57928,-0.46398961544036865,0.09390122,0.09400192,0.09400192
470.05,-112.708824,2,295,129.0224757194519,100885,0.0,5.5543566,-0.20110952854156494,0.09166786,0.08469337,0.08469337
69.775,-111.066795,49,344,134.55352067947388,106439,0.0,5.5462303,0.2834056615829468,0.1333842,0.085797355,0.085797355
119.75,-110.80597,12,356,139.65112805366516,109411,0.0,5.525076,0.6876748502254486,0.09009768,0.062174104,0.062174104
233.8,-112.355515,3,359,144.5952615737915,114122,0.0,5.570085,0.7730865329504013,0.09502113,0.0969607,0.0969607
311.825,-111.70502,2,361,149.60238909721375,117322,0.0,5.575213,0.07965445518493652,0.029716004,0.060890272,0.060890272
427.275,-110.925095,3,364,154.62659311294556,122122,0.0,5.555594,-0.5848439931869507,0.04860577,0.04802595,0.04802595
505.5,-110.09432,4,368,159.63663792610168,125447,0.0,5.502358,0.7986988723278046,0.10778892,0.074983396,0.074983396
617.325,-107.94525,14,382,164.8026704788208,131036,0.0,5.49632,0.9097073450684547,0.122183,0.11161295,0.11161295
682.35,-109.35109,2,384,169.8275363445282,133733,0.0,5.4381437,0.8887634500861168,0.10683009,0.05436226,0.05436226
748.975,-110.08745,9,393,174.9207706451416,139135,0.0,5.4440913,0.8615932315587997,0.029794794,0.05586342,0.05586342
824.8,-109.7853,2,395,179.93056058883667,142335,0.0,5.46941,-0.7180560827255249,0.14014691,0.24474552,0.24474552
828.55,-108.09076,4,399,184.96275997161865,147264,0.0,5.471592,0.7893867790699005,0.037196457,0.012940537,0.012940537
828.55,-108.09674,2,401,189.963032245636,150464,0.0,5.4648385,-0.6239328384399414,0.026284777,1.2076654,1.2076654
